drug_name,id,type,arg1,arg2
VIMIZIM,RL7,Effect,M61,M59
VIMIZIM,RL8,Hypothetical,M63,M62
VIMIZIM,RL9,Effect,M65,M64
VIMIZIM,RL10,Effect,M100,M99
VIMIZIM,RL11,Hypothetical,M100,M98
BEPREVE,RL1,Effect,M2,M1
BEPREVE,RL2,Effect,M7,M6
PRISTIQ,RL1,Effect,M105,M109
PRISTIQ,RL2,Negated,M107,M106
PRISTIQ,RL3,Negated,M108,M106
PRISTIQ,RL4,Effect,M113,M112
PRISTIQ,RL5,Effect,M116,M115
PRISTIQ,RL6,Effect,M118,M117
PRISTIQ,RL7,Effect,M120,M119
PRISTIQ,RL8,Hypothetical,M128,M127
PRISTIQ,RL9,Hypothetical,M129,M127
PRISTIQ,RL10,Negated,M131,M130
PRISTIQ,RL11,Negated,M132,M130
PRISTIQ,RL12,Hypothetical,M135,M137
PRISTIQ,RL13,Hypothetical,M136,M137
PRISTIQ,RL14,Hypothetical,M145,M144
PRISTIQ,RL15,Hypothetical,M147,M148
PRISTIQ,RL16,Hypothetical,M157,M156
PRISTIQ,RL17,Hypothetical,M158,M156
PRISTIQ,RL18,Hypothetical,M160,M159
PRISTIQ,RL19,Hypothetical,M161,M159
PRISTIQ,RL20,Hypothetical,M162,M159
PRISTIQ,RL21,Negated,M164,M163
PRISTIQ,RL22,Hypothetical,M165,M166
PRISTIQ,RL23,Negated,M171,M170
PRISTIQ,RL24,Hypothetical,M173,M174
PRISTIQ,RL25,Hypothetical,M175,M187
PRISTIQ,RL26,Hypothetical,M176,M187
PRISTIQ,RL27,Hypothetical,M177,M187
PRISTIQ,RL28,Hypothetical,M178,M187
PRISTIQ,RL29,Hypothetical,M179,M187
PRISTIQ,RL30,Hypothetical,M180,M187
PRISTIQ,RL31,Hypothetical,M181,M187
PRISTIQ,RL32,Hypothetical,M182,M187
PRISTIQ,RL33,Hypothetical,M183,M187
PRISTIQ,RL34,Hypothetical,M184,M187
PRISTIQ,RL35,Hypothetical,M185,M187
PRISTIQ,RL36,Hypothetical,M186,M187
PRISTIQ,RL37,Negated,M188,M190
PRISTIQ,RL38,Negated,M189,M190
PRISTIQ,RL39,Hypothetical,M192,M191
PRISTIQ,RL40,Hypothetical,M194,M193
PRISTIQ,RL41,Hypothetical,M195,M193
PRISTIQ,RL42,Effect,M198,M197
PRISTIQ,RL43,Hypothetical,M198,M196
PRISTIQ,RL44,Hypothetical,M201,M200
PRISTIQ,RL45,Hypothetical,M202,M200
PRISTIQ,RL46,Hypothetical,M203,M200
PRISTIQ,RL47,Hypothetical,M204,M200
PRISTIQ,RL48,Hypothetical,M205,M200
PRISTIQ,RL49,Hypothetical,M206,M200
PRISTIQ,RL50,Hypothetical,M207,M200
PRISTIQ,RL51,Hypothetical,M208,M200
PRISTIQ,RL52,Hypothetical,M209,M200
PRISTIQ,RL53,Hypothetical,M210,M200
PRISTIQ,RL54,Hypothetical,M211,M200
PRISTIQ,RL55,Hypothetical,M212,M200
PRISTIQ,RL56,Hypothetical,M213,M200
PRISTIQ,RL57,Hypothetical,M214,M200
PRISTIQ,RL58,Hypothetical,M215,M200
PRISTIQ,RL59,Hypothetical,M216,M200
PRISTIQ,RL60,Hypothetical,M217,M200
PRISTIQ,RL61,Hypothetical,M218,M200
PRISTIQ,RL62,Hypothetical,M219,M200
PRISTIQ,RL63,Hypothetical,M220,M200
PRISTIQ,RL64,Hypothetical,M221,M200
PRISTIQ,RL65,Hypothetical,M222,M200
PRISTIQ,RL66,Hypothetical,M223,M200
PRISTIQ,RL67,Effect,M227,M226
PRISTIQ,RL68,Hypothetical,M229,M228
PRISTIQ,RL69,Hypothetical,M231,M230
PRISTIQ,RL70,Hypothetical,M232,M233
PRISTIQ,RL71,Hypothetical,M234,M233
PRISTIQ,RL72,Hypothetical,M235,M233
PRISTIQ,RL73,Hypothetical,M236,M233
PRISTIQ,RL74,Hypothetical,M237,M233
PRISTIQ,RL75,Hypothetical,M239,M233
PRISTIQ,RL76,Effect,M239,M238
PRISTIQ,RL77,Hypothetical,M242,M241
PRISTIQ,RL78,Hypothetical,M244,M246
PRISTIQ,RL79,Hypothetical,M245,M246
PRISTIQ,RL80,Hypothetical,M258,M259
PRISTIQ,RL81,Hypothetical,M264,M265
PRISTIQ,RL82,Hypothetical,M274,M273
PRISTIQ,RL83,Hypothetical,M281,M283
PRISTIQ,RL84,Hypothetical,M282,M283
TAFINLAR,RL1,Effect,M8,M7
TAFINLAR,RL2,Effect,M10,M9
TAFINLAR,RL3,Effect,M64,M63
TAFINLAR,RL4,Effect,M65,M63
TAFINLAR,RL5,Effect,M70,M71
TAFINLAR,RL6,Effect,M77,M76
TAFINLAR,RL7,Effect,M182,M183
TAFINLAR,RL8,Effect,M184,M185
TAFINLAR,RL9,Hypothetical,M188,M190
TAFINLAR,RL10,Hypothetical,M189,M190
TAFINLAR,RL11,Hypothetical,M192,M193
TAFINLAR,RL12,Effect,M196,M195
TAFINLAR,RL13,Hypothetical,M196,M197
TAFINLAR,RL14,Hypothetical,M199,M201
TAFINLAR,RL15,Hypothetical,M200,M201
TAFINLAR,RL16,Effect,M205,M204
TAFINLAR,RL17,Effect,M208,M207
TAFINLAR,RL18,Hypothetical,M213,M212
TAFINLAR,RL19,Hypothetical,M214,M216
TAFINLAR,RL20,Hypothetical,M215,M216
TAFINLAR,RL21,Hypothetical,M239,M238
TAFINLAR,RL22,Hypothetical,M245,M246
TAFINLAR,RL23,Hypothetical,M247,M251
TAFINLAR,RL24,Effect,M249,M248
TAFINLAR,RL25,Hypothetical,M249,M251
TAFINLAR,RL26,Hypothetical,M250,M251
TAFINLAR,RL27,Effect,M254,M253
TAFINLAR,RL28,Hypothetical,M259,M260
TAFINLAR,RL29,Hypothetical,M267,M268
TAFINLAR,RL30,Effect,M274,M275
TAFINLAR,RL31,Effect,M276,M277
TAFINLAR,RL32,Effect,M278,M279
TAFINLAR,RL33,Effect,M280,M281
TAFINLAR,RL34,Hypothetical,M282,M284
TAFINLAR,RL35,Hypothetical,M283,M284
TAFINLAR,RL36,Hypothetical,M288,M290
TAFINLAR,RL37,Hypothetical,M289,M290
TAFINLAR,RL38,Effect,M295,M294
TAFINLAR,RL39,Hypothetical,M295,M302
TAFINLAR,RL40,Hypothetical,M296,M302
TAFINLAR,RL41,Hypothetical,M297,M302
TAFINLAR,RL42,Hypothetical,M298,M302
TAFINLAR,RL43,Hypothetical,M299,M302
TAFINLAR,RL44,Hypothetical,M300,M302
TAFINLAR,RL45,Hypothetical,M301,M302
TAFINLAR,RL46,Effect,M305,M306
TAFINLAR,RL47,Effect,M310,M309
TAFINLAR,RL48,Effect,M316,M317
TAFINLAR,RL49,Effect,M319,M318
TAFINLAR,RL50,Effect,M334,M333
TAFINLAR,RL51,Hypothetical,M334,M335
TAFINLAR,RL52,Effect,M340,M339
TAFINLAR,RL53,Hypothetical,M342,M343
TAFINLAR,RL54,Effect,M345,M344
TAFINLAR,RL55,Effect,M347,M346
TAFINLAR,RL56,Hypothetical,M349,M348
TAFINLAR,RL57,Hypothetical,M351,M350
TAFINLAR,RL58,Hypothetical,M352,M354
TAFINLAR,RL59,Hypothetical,M353,M354
MULTAQ,RL1,Hypothetical,M52,M51
MULTAQ,RL2,Hypothetical,M53,M51
MULTAQ,RL3,Hypothetical,M54,M51
MULTAQ,RL4,Hypothetical,M56,M55
MULTAQ,RL5,Hypothetical,M57,M55
MULTAQ,RL6,Hypothetical,M58,M55
MULTAQ,RL7,Hypothetical,M60,M59
MULTAQ,RL8,Hypothetical,M62,M61
MULTAQ,RL9,Hypothetical,M63,M61
MULTAQ,RL10,Hypothetical,M64,M61
MULTAQ,RL11,Hypothetical,M66,M65
MULTAQ,RL12,Hypothetical,M67,M65
MULTAQ,RL13,Hypothetical,M68,M65
MULTAQ,RL14,Hypothetical,M70,M69
MULTAQ,RL15,Hypothetical,M72,M71
MULTAQ,RL16,Hypothetical,M73,M71
MULTAQ,RL17,Hypothetical,M74,M71
MULTAQ,RL18,Hypothetical,M81,M80
MULTAQ,RL19,Hypothetical,M83,M82
MULTAQ,RL20,Hypothetical,M84,M82
MULTAQ,RL21,Hypothetical,M85,M82
MULTAQ,RL22,Hypothetical,M87,M86
MULTAQ,RL23,Hypothetical,M96,M98
MULTAQ,RL24,Hypothetical,M97,M98
MULTAQ,RL25,Effect,M100,M99
MULTAQ,RL26,Effect,M106,M107
MULTAQ,RL27,Hypothetical,M108,M109
TANZEUM,RL1,Hypothetical,M2,M1
TANZEUM,RL2,Effect,M35,M38
TANZEUM,RL3,Effect,M35,M37
TANZEUM,RL4,Effect,M35,M36
TANZEUM,RL5,Effect,M50,M51
TANZEUM,RL6,Effect,M55,M54
TANZEUM,RL7,Effect,M57,M56
TANZEUM,RL8,Effect,M62,M61
TANZEUM,RL9,Negated,M62,M59
TANZEUM,RL10,Effect,M62,M60
TANZEUM,RL11,Effect,M66,M65
TANZEUM,RL12,Effect,M68,M69
TANZEUM,RL13,Effect,M73,M72
TANZEUM,RL14,Negated,M78,M77
TANZEUM,RL15,Effect,M79,M80
TANZEUM,RL16,Effect,M81,M82
TANZEUM,RL17,Hypothetical,M88,M87
TANZEUM,RL18,Hypothetical,M90,M89
TANZEUM,RL19,Hypothetical,M92,M91
TANZEUM,RL20,Hypothetical,M92,M93
TANZEUM,RL21,Hypothetical,M95,M94
TANZEUM,RL22,Hypothetical,M95,M96
TANZEUM,RL23,Hypothetical,M98,M97
TANZEUM,RL24,Hypothetical,M99,M97
TANZEUM,RL25,Hypothetical,M100,M97
TANZEUM,RL26,Hypothetical,M102,M101
TANZEUM,RL27,Hypothetical,M104,M103
TANZEUM,RL28,Hypothetical,M104,M105
TANZEUM,RL29,Hypothetical,M107,M106
TANZEUM,RL30,Hypothetical,M107,M108
TANZEUM,RL31,Hypothetical,M110,M109
TANZEUM,RL32,Hypothetical,M111,M109
TANZEUM,RL33,Hypothetical,M112,M109
TANZEUM,RL34,Hypothetical,M119,M118
TANZEUM,RL35,Hypothetical,M119,M122
TANZEUM,RL36,Hypothetical,M120,M118
TANZEUM,RL37,Hypothetical,M120,M122
TANZEUM,RL38,Hypothetical,M121,M118
TANZEUM,RL39,Hypothetical,M121,M122
TANZEUM,RL40,Hypothetical,M124,M123
TANZEUM,RL41,Hypothetical,M124,M125
TANZEUM,RL42,Hypothetical,M127,M126
TANZEUM,RL43,Hypothetical,M128,M126
TANZEUM,RL44,Hypothetical,M130,M131
TANZEUM,RL45,Hypothetical,M132,M133
TANZEUM,RL46,Hypothetical,M137,M136
TANZEUM,RL47,Hypothetical,M139,M138
TANZEUM,RL48,Effect,M141,M140
TANZEUM,RL49,Hypothetical,M146,M145
TANZEUM,RL50,Hypothetical,M147,M145
BELEODAQ,RL1,Effect,M50,M49
BELEODAQ,RL2,Negated,M56,M55
BELEODAQ,RL3,Effect,M70,M67
BELEODAQ,RL4,Hypothetical,M75,M74
BELEODAQ,RL5,Hypothetical,M76,M74
BELEODAQ,RL6,Hypothetical,M80,M79
BELEODAQ,RL7,Hypothetical,M82,M81
BELEODAQ,RL8,Hypothetical,M83,M81
BELEODAQ,RL9,Hypothetical,M84,M81
BELEODAQ,RL10,Hypothetical,M85,M81
BELEODAQ,RL11,Hypothetical,M86,M81
BELEODAQ,RL12,Effect,M90,M87
BELEODAQ,RL13,Hypothetical,M94,M93
BELEODAQ,RL14,Hypothetical,M95,M93
BELEODAQ,RL15,Hypothetical,M96,M93
BELEODAQ,RL16,Hypothetical,M102,M101
BELEODAQ,RL17,Hypothetical,M104,M103
BELEODAQ,RL18,Hypothetical,M105,M103
HALAVEN,RL1,Effect,M54,M53
HALAVEN,RL2,Effect,M56,M55
HALAVEN,RL3,Effect,M62,M61
HALAVEN,RL4,Effect,M64,M63
HALAVEN,RL5,Effect,M66,M65
HALAVEN,RL6,Effect,M68,M67
HALAVEN,RL7,Effect,M72,M71
HALAVEN,RL8,Effect,M74,M73
HALAVEN,RL9,Effect,M76,M75
HALAVEN,RL10,Effect,M77,M75
HALAVEN,RL11,Hypothetical,M107,M108
HALAVEN,RL12,Effect,M111,M110
HALAVEN,RL13,Effect,M113,M112
HALAVEN,RL14,Effect,M116,M115
HALAVEN,RL15,Effect,M119,M118
HALAVEN,RL16,Effect,M120,M121
HALAVEN,RL17,Hypothetical,M126,M125
HALAVEN,RL18,Hypothetical,M127,M129
HALAVEN,RL19,Hypothetical,M128,M129
HALAVEN,RL20,Negated,M134,M133
XIAFLEX,RL1,Effect,M3,M2
XIAFLEX,RL2,Effect,M7,M6
XIAFLEX,RL3,Hypothetical,M13,M14
XIAFLEX,RL4,Hypothetical,M82,M83
XIAFLEX,RL5,Effect,M85,M84
XIAFLEX,RL6,Effect,M87,M90
XIAFLEX,RL7,Effect,M87,M91
XIAFLEX,RL8,Effect,M89,M90
XIAFLEX,RL9,Effect,M89,M91
XIAFLEX,RL10,Effect,M130,M129
XIAFLEX,RL11,Effect,M132,M131
XIAFLEX,RL12,Negated,M141,M140
XIAFLEX,RL13,Effect,M145,M144
XIAFLEX,RL14,Effect,M149,M148
XIAFLEX,RL15,Hypothetical,M157,M158
XIAFLEX,RL16,Effect,M160,M159
XIAFLEX,RL17,Hypothetical,M162,M161
XIAFLEX,RL18,Effect,M164,M163
XIAFLEX,RL19,Hypothetical,M164,M161
XIAFLEX,RL20,Effect,M168,M167
XIAFLEX,RL21,Hypothetical,M171,M172
XIAFLEX,RL22,Effect,M174,M173
XIAFLEX,RL23,Effect,M177,M176
XIAFLEX,RL24,Effect,M178,M176
XIAFLEX,RL25,Effect,M182,M181
XIAFLEX,RL26,Hypothetical,M184,M183
XIAFLEX,RL27,Hypothetical,M185,M183
XIAFLEX,RL28,Hypothetical,M186,M183
XIAFLEX,RL29,Hypothetical,M190,M193
XIAFLEX,RL30,Hypothetical,M191,M193
XIAFLEX,RL31,Hypothetical,M192,M193
XIAFLEX,RL32,Hypothetical,M195,M194
XIAFLEX,RL33,Hypothetical,M196,M194
XIAFLEX,RL34,Hypothetical,M197,M194
XIAFLEX,RL35,Hypothetical,M213,M214
XIAFLEX,RL36,Effect,M216,M215
XIAFLEX,RL37,Hypothetical,M217,M219
XIAFLEX,RL38,Hypothetical,M218,M219
XIAFLEX,RL39,Hypothetical,M221,M220
XIAFLEX,RL40,Hypothetical,M222,M220
XIAFLEX,RL41,Effect,M224,M223
XIAFLEX,RL42,Effect,M230,M229
XIAFLEX,RL43,Hypothetical,M230,M231
CIMZIA,RL1,Effect,M5,M4
CIMZIA,RL2,Effect,M78,M77
CIMZIA,RL3,Effect,M80,M79
CIMZIA,RL4,Effect,M92,M91
CIMZIA,RL5,Effect,M94,M93
CIMZIA,RL6,Effect,M96,M95
CIMZIA,RL7,Effect,M103,M102
CIMZIA,RL8,Negated,M103,M101
CIMZIA,RL9,Hypothetical,M115,M116
CIMZIA,RL10,Hypothetical,M144,M145
CIMZIA,RL11,Effect,M147,M146
CIMZIA,RL12,Hypothetical,M147,M154
CIMZIA,RL13,Hypothetical,M148,M154
CIMZIA,RL14,Hypothetical,M149,M154
CIMZIA,RL15,Hypothetical,M150,M154
CIMZIA,RL16,Hypothetical,M151,M154
CIMZIA,RL17,Hypothetical,M152,M154
CIMZIA,RL18,Hypothetical,M153,M154
CIMZIA,RL19,Effect,M157,M156
CIMZIA,RL20,Effect,M160,M159
CIMZIA,RL21,Effect,M164,M163
CIMZIA,RL22,Hypothetical,M164,M162
CIMZIA,RL23,Hypothetical,M166,M165
CIMZIA,RL24,Hypothetical,M180,M183
CIMZIA,RL25,Hypothetical,M182,M183
CIMZIA,RL26,Hypothetical,M188,M191
CIMZIA,RL27,Hypothetical,M189,M191
CIMZIA,RL28,Hypothetical,M190,M191
CIMZIA,RL29,Effect,M193,M192
CIMZIA,RL30,Effect,M197,M196
CIMZIA,RL31,Hypothetical,M197,M195
CIMZIA,RL32,Hypothetical,M198,M195
CIMZIA,RL33,Hypothetical,M199,M195
CIMZIA,RL34,Hypothetical,M200,M195
CIMZIA,RL35,Hypothetical,M201,M195
CIMZIA,RL36,Hypothetical,M202,M195
CIMZIA,RL37,Hypothetical,M203,M195
CIMZIA,RL38,Hypothetical,M204,M195
CIMZIA,RL39,Hypothetical,M205,M208
CIMZIA,RL40,Hypothetical,M206,M208
CIMZIA,RL41,Hypothetical,M207,M208
CIMZIA,RL42,Effect,M210,M209
CIMZIA,RL43,Hypothetical,M212,M214
CIMZIA,RL44,Hypothetical,M213,M214
CIMZIA,RL45,Hypothetical,M215,M217
CIMZIA,RL46,Hypothetical,M216,M217
CIMZIA,RL47,Hypothetical,M218,M221
CIMZIA,RL48,Effect,M220,M219
CIMZIA,RL49,Hypothetical,M220,M221
CIMZIA,RL50,Hypothetical,M223,M224
CIMZIA,RL51,Effect,M230,M229
CIMZIA,RL52,Hypothetical,M230,M228
CIMZIA,RL53,Hypothetical,M232,M231
CIMZIA,RL54,Hypothetical,M233,M248
CIMZIA,RL55,Hypothetical,M234,M248
CIMZIA,RL56,Hypothetical,M235,M248
CIMZIA,RL57,Hypothetical,M236,M248
CIMZIA,RL58,Hypothetical,M237,M248
CIMZIA,RL59,Hypothetical,M238,M248
CIMZIA,RL60,Hypothetical,M239,M248
CIMZIA,RL61,Hypothetical,M240,M248
CIMZIA,RL62,Hypothetical,M241,M248
CIMZIA,RL63,Hypothetical,M242,M248
CIMZIA,RL64,Hypothetical,M243,M248
CIMZIA,RL65,Hypothetical,M244,M248
CIMZIA,RL66,Hypothetical,M245,M248
CIMZIA,RL67,Hypothetical,M246,M248
CIMZIA,RL68,Hypothetical,M247,M248
CIMZIA,RL69,Hypothetical,M250,M249
CIMZIA,RL70,Hypothetical,M253,M254
CIMZIA,RL71,Negated,M257,M256
CIMZIA,RL72,Hypothetical,M258,M260
CIMZIA,RL73,Hypothetical,M259,M260
CIMZIA,RL74,Hypothetical,M268,M269
CIMZIA,RL75,Negated,M271,M272
CIMZIA,RL76,Hypothetical,M275,M274
CIMZIA,RL77,Hypothetical,M279,M281
CIMZIA,RL78,Hypothetical,M280,M281
CIMZIA,RL79,Hypothetical,M286,M285
CIMZIA,RL80,Hypothetical,M288,M285
CIMZIA,RL81,Hypothetical,M289,M285
CIMZIA,RL82,Hypothetical,M291,M290
CIMZIA,RL83,Hypothetical,M300,M301
CIMZIA,RL84,Hypothetical,M302,M301
CIMZIA,RL85,Hypothetical,M305,M304
CIMZIA,RL86,Hypothetical,M306,M304
CIMZIA,RL87,Hypothetical,M307,M304
CIMZIA,RL88,Hypothetical,M308,M304
CIMZIA,RL89,Hypothetical,M313,M315
CIMZIA,RL90,Hypothetical,M314,M315
CIMZIA,RL91,Effect,M318,M317
CIMZIA,RL92,Effect,M323,M322
CIMZIA,RL93,Hypothetical,M323,M324
CIMZIA,RL94,Effect,M327,M326
