drug_name,id,section,type,start,len,str
ZYTIGA,M15,S1,AdverseReaction,507,12,hypertension
ZYTIGA,M16,S1,AdverseReaction,521,7,dyspnea
ZYTIGA,M17,S1,AdverseReaction,530,23,urinary tract infection
ZYTIGA,M18,S1,AdverseReaction,558,9,contusion
ZYTIGA,M19,S1,AdverseReaction,625,6,anemia
ZYTIGA,M20,S1,AdverseReaction,633,29,elevated alkaline phosphatase
ZYTIGA,M21,S1,AdverseReaction,664,20,hypertriglyceridemia
ZYTIGA,M22,S1,AdverseReaction,686,11,lymphopenia
ZYTIGA,M23,S1,AdverseReaction,699,20,hypercholesterolemia
ZYTIGA,M24,S1,AdverseReaction,721,13,hyperglycemia
ZYTIGA,M25,S1,AdverseReaction,736,12,elevated AST
ZYTIGA,M26,S1,AdverseReaction,750,16,hypophosphatemia
ZYTIGA,M27,S1,AdverseReaction,768,12,elevated ALT
ZYTIGA,M28,S1,AdverseReaction,785,11,hypokalemia
ZYTIGA,M29,S1,AdverseReaction,1922,7,fatigue
ZYTIGA,M30,S1,AdverseReaction,1931,14,joint swelling
ZYTIGA,M31,S1,AdverseReaction,"1931,1949","5,10",joint discomfort
ZYTIGA,M32,S1,AdverseReaction,1961,5,edema
ZYTIGA,M33,S1,AdverseReaction,1968,9,hot flush
ZYTIGA,M34,S1,AdverseReaction,1979,8,diarrhea
ZYTIGA,M35,S1,AdverseReaction,1989,8,vomiting
ZYTIGA,M36,S1,AdverseReaction,1999,5,cough
ZYTIGA,M37,S1,AdverseReaction,2006,12,hypertension
ZYTIGA,M38,S1,AdverseReaction,2020,7,dyspnea
ZYTIGA,M39,S1,AdverseReaction,2029,23,urinary tract infection
ZYTIGA,M40,S1,AdverseReaction,2057,9,contusion
ZYTIGA,M41,S1,AdverseReaction,2238,6,anemia
ZYTIGA,M42,S1,AdverseReaction,2246,29,elevated alkaline phosphatase
ZYTIGA,M43,S1,AdverseReaction,2277,20,hypertriglyceridemia
ZYTIGA,M44,S1,AdverseReaction,2299,11,lymphopenia
ZYTIGA,M45,S1,AdverseReaction,2312,20,hypercholesterolemia
ZYTIGA,M46,S1,AdverseReaction,2334,13,hyperglycemia
ZYTIGA,M47,S1,AdverseReaction,2349,12,elevated AST
ZYTIGA,M48,S1,AdverseReaction,2363,16,hypophosphatemia
ZYTIGA,M49,S1,AdverseReaction,2381,12,elevated ALT
ZYTIGA,M50,S1,AdverseReaction,2398,11,hypokalemia
ZYTIGA,M51,S1,AdverseReaction,3381,14,Joint swelling
ZYTIGA,M52,S1,AdverseReaction,"3381,3396","5,10",Joint discomfort
ZYTIGA,M53,S1,AdverseReaction,3494,17,Muscle discomfort
ZYTIGA,M54,S1,AdverseReaction,3720,5,Edema
ZYTIGA,M55,S1,AdverseReaction,3946,9,Hot flush
ZYTIGA,M56,S1,AdverseReaction,4059,12,Hypertension
ZYTIGA,M57,S1,AdverseReaction,4285,8,Diarrhea
ZYTIGA,M58,S1,AdverseReaction,4398,9,Dyspepsia
ZYTIGA,M59,S1,AdverseReaction,4624,23,Urinary tract infection
ZYTIGA,M60,S1,AdverseReaction,4737,33,Upper respiratory tract infection
ZYTIGA,M61,S1,AdverseReaction,4974,5,Cough
ZYTIGA,M62,S1,AdverseReaction,5200,17,Urinary frequency
ZYTIGA,M63,S1,AdverseReaction,5313,8,Nocturia
ZYTIGA,M64,S1,AdverseReaction,5549,9,Fractures
ZYTIGA,M65,S1,AdverseReaction,5775,10,Arrhythmia
ZYTIGA,M66,S1,AdverseReaction,5888,10,Chest pain
ZYTIGA,M67,S1,AdverseReaction,5902,16,chest discomfort
ZYTIGA,M68,S1,AdverseReaction,6001,15,Cardiac failure
ZYTIGA,M69,S1,Severity,6187,7,Grade 3
ZYTIGA,M70,S1,Severity,"6187,6195","5,1",Grade 4
ZYTIGA,M71,S1,Severity,6187,9,Grade 3-4
ZYTIGA,M72,S1,AdverseReaction,6197,20,low serum phosphorus
ZYTIGA,M73,S1,AdverseReaction,6227,13,low potassium
ZYTIGA,M74,S1,AdverseReaction,6574,20,Hypertriglyceridemia
ZYTIGA,M75,S1,AdverseReaction,6687,8,High AST
ZYTIGA,M76,S1,AdverseReaction,6800,11,Hypokalemia
ZYTIGA,M77,S1,AdverseReaction,6913,16,Hypophosphatemia
ZYTIGA,M78,S1,AdverseReaction,7026,8,High ALT
ZYTIGA,M79,S1,AdverseReaction,7139,20,High Total Bilirubin
ZYTIGA,M80,S1,AdverseReaction,8161,7,Fatigue
ZYTIGA,M81,S1,AdverseReaction,8274,5,Edema
ZYTIGA,M82,S1,AdverseReaction,8387,7,Pyrexia
ZYTIGA,M83,S1,AdverseReaction,8624,14,Joint swelling
ZYTIGA,M84,S1,AdverseReaction,"8624,8639","5,10",Joint discomfort
ZYTIGA,M85,S1,AdverseReaction,8737,10,Groin pain
ZYTIGA,M86,S1,AdverseReaction,8963,12,Constipation
ZYTIGA,M87,S1,AdverseReaction,9076,8,Diarrhea
ZYTIGA,M88,S1,AdverseReaction,9189,9,Dyspepsia
ZYTIGA,M89,S1,AdverseReaction,9415,9,Hot flush
ZYTIGA,M90,S1,AdverseReaction,9528,12,Hypertension
ZYTIGA,M91,S1,AdverseReaction,9765,5,Cough
ZYTIGA,M92,S1,AdverseReaction,9878,7,Dyspnea
ZYTIGA,M93,S1,AdverseReaction,10104,8,Insomnia
ZYTIGA,M94,S1,AdverseReaction,10340,9,Contusion
ZYTIGA,M95,S1,AdverseReaction,10453,5,Falls
ZYTIGA,M96,S1,AdverseReaction,10679,33,Upper respiratory tract infection
ZYTIGA,M97,S1,AdverseReaction,10792,15,Nasopharyngitis
ZYTIGA,M98,S1,AdverseReaction,11018,9,Hematuria
ZYTIGA,M99,S1,AdverseReaction,11246,4,Rash
ZYTIGA,M100,S1,Severity,11529,7,Grade 3
ZYTIGA,M101,S1,Severity,"11529,11537","5,1",Grade 4
ZYTIGA,M102,S1,Severity,11529,9,Grade 3-4
ZYTIGA,M103,S1,AdverseReaction,11539,11,lymphopenia
ZYTIGA,M104,S1,AdverseReaction,11557,13,hyperglycemia
ZYTIGA,M105,S1,AdverseReaction,11580,29,high alanine aminotransferase
ZYTIGA,M106,S1,AdverseReaction,12072,11,Lymphopenia
ZYTIGA,M107,S1,AdverseReaction,12298,13,Hyperglycemia
ZYTIGA,M108,S1,AdverseReaction,12411,8,High ALT
ZYTIGA,M109,S1,AdverseReaction,12524,8,High AST
ZYTIGA,M110,S1,AdverseReaction,12637,13,Hypernatremia
ZYTIGA,M111,S1,AdverseReaction,12750,11,Hypokalemia
ZYTIGA,M112,S1,AdverseReaction,12957,15,cardiac failure
ZYTIGA,M113,S1,Severity,13088,7,Grade 3
ZYTIGA,M114,S1,Severity,"13088,13096","5,1",Grade 4
ZYTIGA,M115,S1,Severity,13088,9,Grade 3-4
ZYTIGA,M116,S1,AdverseReaction,13098,15,cardiac failure
ZYTIGA,M117,S1,AdverseReaction,13203,6,deaths
ZYTIGA,M118,S1,Severity,13211,7,Grade 3
ZYTIGA,M119,S1,Severity,"13211,13219","5,1",Grade 4
ZYTIGA,M120,S1,Severity,13211,9,Grade 3-4
ZYTIGA,M121,S1,AdverseReaction,13221,15,cardiac failure
ZYTIGA,M122,S1,Factor,13273,7,placebo
ZYTIGA,M123,S1,AdverseReaction,13331,5,death
ZYTIGA,M124,S1,AdverseReaction,13344,15,cardiac failure
ZYTIGA,M125,S1,Factor,13367,7,placebo
ZYTIGA,M126,S1,AdverseReaction,13420,11,arrhythmias
ZYTIGA,M127,S1,AdverseReaction,13420,11,arrhythmias
ZYTIGA,M128,S1,Severity,13437,7,grade 1
ZYTIGA,M129,S1,Severity,"13437,13448","5,1",grade 2
ZYTIGA,M130,S1,AdverseReaction,13465,5,death
ZYTIGA,M131,S1,AdverseReaction,13487,10,arrhythmia
ZYTIGA,M132,S1,AdverseReaction,13519,12,sudden death
ZYTIGA,M133,S1,Negation,13555,2,no
ZYTIGA,M134,S1,AdverseReaction,13558,6,deaths
ZYTIGA,M135,S1,Factor,13572,7,placebo
ZYTIGA,M136,S1,AdverseReaction,13606,6,deaths
ZYTIGA,M137,S1,AdverseReaction,13620,24,cardiorespiratory arrest
ZYTIGA,M138,S1,AdverseReaction,13677,6,deaths
ZYTIGA,M139,S1,Factor,13691,7,placebo
ZYTIGA,M140,S1,AdverseReaction,13705,19,Myocardial ischemia
ZYTIGA,M141,S1,AdverseReaction,13728,21,myocardial infarction
ZYTIGA,M142,S1,AdverseReaction,13757,5,death
ZYTIGA,M143,S1,Factor,13784,7,placebo
ZYTIGA,M144,S1,AdverseReaction,13803,6,deaths
ZYTIGA,M145,S1,AdverseReaction,14227,26,non-infectious pneumonitis
ZYTIGA,M146,S1,AdverseReaction,14312,8,myopathy
ZYTIGA,M147,S1,AdverseReaction,14332,14,rhabdomyolysis
ZYTIGA,M148,S2,AdverseReaction,50,24,Mineralocorticoid excess
ZYTIGA,M149,S2,AdverseReaction,499,28,Adrenocortical insufficiency
ZYTIGA,M150,S2,AdverseReaction,704,14,Hepatotoxicity
ZYTIGA,M151,S2,AdverseReaction,720,26,Increases in liver enzymes
ZYTIGA,M152,S2,Factor,1018,3,may
ZYTIGA,M153,S2,AdverseReaction,1028,12,hypertension
ZYTIGA,M154,S2,AdverseReaction,1042,11,hypokalemia
ZYTIGA,M155,S2,AdverseReaction,1059,15,fluid retention
