drug,adverse_event,comp_term,is_overlapping,similarity
XEOMIN,injection site pain,pain muscle injection site,1,0.8482754230499268
XEOMIN,eyelid ptosis,eyelid ptosis dry eye dry mouth diarrhea,1,0.806031346321106
XEOMIN,eyelid ptosis,pain muscle injection site,1,0.45307183265686035
XEOMIN,eyelid ptosis,most,0,0.42022502422332764
XEOMIN,dry eye,are eyelid dry eye dry mouth diarrhea headache,1,0.7163903713226318
XEOMIN,dry eye,most,0,0.45671871304512024
XEOMIN,dry eye,nasopharyngitis and,0,0.5598706007003784
XEOMIN,dry eye,dry eye dry mouth diarrhea headache,1,0.7494056224822998
XEOMIN,dry eye,placebo are eyelid dry eye dry mouth diarrhea headache visual,1,0.7062156200408936
XEOMIN,dry eye,eyelid dry,1,0.8713290691375732
XEOMIN,dry eye,placebo are eyelid dry eye dry mouth diarrhea,1,0.7409845590591431
XEOMIN,dry eye,The most commonly observed adverse reactions of patients,0,0.5104530453681946
XEOMIN,dry eye,patients,0,0.570249080657959
XEOMIN,dry eye,are eyelid dry eye dry mouth diarrhea headache visual,1,0.7159132957458496
XEOMIN,dry mouth,are eyelid ptosis dry dry mouth diarrhea headache visual impairment,1,0.6036252379417419
XEOMIN,dry mouth,patients,0,0.5879281759262085
XEOMIN,dry mouth,dry mouth diarrhea headache visual impairment,1,0.7105280160903931
XEOMIN,dry mouth,dry mouth diarrhea headache visual impairment dyspnea,1,0.7159651517868042
XEOMIN,dry mouth,eyelid ptosis dry dry mouth diarrhea headache,1,0.6645389795303345
XEOMIN,dry mouth,dry mouth diarrhea,1,0.8734778165817261
XEOMIN,dry mouth,dry dry mouth diarrhea headache visual impairment,1,0.724425196647644
XEOMIN,dry mouth,are eyelid ptosis dry dry mouth,1,0.7226072549819946
XEOMIN,dry mouth,impairment dyspnea nasopharyngitis and,0,0.5570688843727112
XEOMIN,headache,dry eye dry mouth diarrhea,0,0.5307797789573669
XEOMIN,headache,adverse reactions of patients and placebo are eyelid ptosis dry,0,0.47077763080596924
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis and,1,0.679793119430542
XEOMIN,headache,headache visual,1,0.8200696110725403
XEOMIN,headache,headache,1,0.9999999403953552
XEOMIN,headache,headache visual impairment,1,0.7143943309783936
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis,1,0.6883497834205627
XEOMIN,headache,visual impairment,0,0.5223520994186401
XEOMIN,visual impairment,and respiratory,0,0.5369172096252441
XEOMIN,visual impairment,ptosis dry eye dry mouth diarrhea,0,0.5893401503562927
XEOMIN,visual impairment,infection,0,0.564647912979126
XEOMIN,visual impairment,dry mouth diarrhea visual impairment,1,0.8270418047904968
XEOMIN,visual impairment,eyelid ptosis dry,0,0.5645316243171692
XEOMIN,dyspnea,dyspnea nasopharyngitis,1,0.7913269996643066
XEOMIN,dyspnea,dyspnea nasopharyngitis and respiratory,1,0.7536527514457703
XEOMIN,dyspnea,dyspnea,1,0.9999999403953552
XEOMIN,nasopharyngitis,nasopharyngitis and,1,0.8555668592453003
XEOMIN,nasopharyngitis,headache visual impairment nasopharyngitis,1,0.7205667495727539
XEOMIN,nasopharyngitis,impairment,0,0.4809225797653198
XEOMIN,respiratory tract infection,impairment dyspnea nasopharyngitis respiratory tract infection Glabellar Lines,1,0.617526650428772
XEOMIN,respiratory tract infection,impairment,0,0.5055109262466431
XEOMIN,respiratory tract infection,dyspnea nasopharyngitis respiratory tract infection Glabellar Lines The,1,0.6400718688964844
XEOMIN,respiratory tract infection,Glabellar Lines The most commonly observed adverse reaction of patients and,0,0.4398590326309204
XEOMIN,respiratory tract infection,visual impairment dyspnea nasopharyngitis respiratory tract infection,1,0.6446977853775024
XEOMIN,respiratory tract infection,observed adverse reaction,0,0.5314493179321289
XEOMIN,respiratory tract infection,respiratory tract infection Glabellar Lines The most commonly,1,0.6672170758247375
XEOMIN,headache,ADVERSE REACTIONS contact Merz Pharmaceuticals LLC at,0,0.43782228231430054
XEOMIN,headache,The most,0,0.5098296403884888
XEOMIN,headache,observed adverse reaction of patients and placebo,0,0.5022815465927124
XEOMIN,headache,of patients and placebo headache To report,1,0.6742736101150513
XEOMIN,dysphagia,dysphagia neck pain muscle weakness injection,1,0.6971101760864258
XEOMIN,dysphagia,XEOMIN Units or Units dysphagia neck pain,1,0.6512224674224854
XEOMIN,dysphagia,weakness injection site pain and musculoskeletal pain,0,0.5091745257377625
XEOMIN,dysphagia,pain muscle weakness injection site pain and musculoskeletal pain,0,0.4768005907535553
XEOMIN,dysphagia,or Units dysphagia neck pain muscle weakness injection,1,0.7042816877365112
XEOMIN,dysphagia,Table Most Commo,0,0.5838643312454224
XEOMIN,dysphagia,Units or Units dysphagia neck pain muscle weakness injection,1,0.6724361777305603
XEOMIN,neck pain,included neck,1,0.6614780426025391
XEOMIN,neck pain,Units,0,0.441834419965744
XEOMIN,neck pain,Units or Units included neck,1,0.6096894145011902
XEOMIN,neck pain,and musculoskeletal pain Table,0,0.574042558670044
XEOMIN,neck pain,neck pain muscle weakness injection,1,0.7533562183380127
XEOMIN,neck pain,muscle weakness injection site pain,0,0.5810737013816833
XEOMIN,neck pain,site pain and musculoskeletal pain Table Most Common,0,0.5658226013183594
XEOMIN,neck pain,injection site pain and,0,0.5942240953445435
XEOMIN,neck pain,or Units included neck,1,0.6144869327545166
XEOMIN,neck pain,observed in patients who,0,0.47930896282196045
XEOMIN,muscle weakness,muscle weakness injection site,1,0.7678055763244629
XEOMIN,muscle weakness,TEAEs and Greater t,0,0.47445788979530334
XEOMIN,muscle weakness,Units included dysphagia neck muscle weakness injection site pain and,1,0.6538645029067993
XEOMIN,muscle weakness,muscle weakness injection site pain and,1,0.7746075391769409
XEOMIN,muscle weakness,Units included dysphagia neck muscle weakness injection site pain,1,0.6512159109115601
XEOMIN,muscle weakness,observed in,0,0.46787476539611816
XEOMIN,injection site pain,site pain and musculoskeletal pain,1,0.742850661277771
XEOMIN,injection site pain,neck pain muscle injection site pain and,1,0.807030200958252
XEOMIN,injection site pain,pain muscle,0,0.635964035987854
XEOMIN,injection site pain,pain Table Most Common TEAEs and Greater than,0,0.5538593530654907
XEOMIN,injection site pain,and musculoskeletal,0,0.47362494468688965
XEOMIN,injection site pain,Table Most Common,0,0.3732384741306305
XEOMIN,injection site pain,injection site pain,1,1.0000001192092896
XEOMIN,musculoskeletal pain,and,0,0.49383458495140076
XEOMIN,blepharospasm,blepharospasm previously treated,1,0.8297553658485413
XEOMIN,blepharospasm,the placebocontrolled Phase trial in patients,0,0.514255166053772
XEOMIN,blepharospasm,blepharospasm previously treated with,1,0.8065084218978882
XEOMIN,blepharospasm,blepharospasm previously,1,0.8947765231132507
XEOMIN,blepharospasm,Phase trial in patients blepharospasm previously treated with onabotulinumtoxinA Botox,1,0.775604248046875
XEOMIN,blepharospasm,previously treated with onabotulinumtoxinA Botox see Clinical,0,0.5959962606430054
XEOMIN,blepharospasm,in patients blepharospasm previously treated with,1,0.7990014553070068
XEOMIN,blepharospasm,Botox see Clinical Studies patients,0,0.5022012591362
XEOMIN,eyelid ptosis,Botox see Clinical Studies patients,0,0.5104566216468811
XEOMIN,eyelid ptosis,dry eye dry mouth diarrhea headache visual impairment dyspnea nasopharyngitis,0,0.5545997619628906
XEOMIN,dry mouth,Phase study were eyelid ptosis dry eye,0,0.5419718027114868
XEOMIN,dry mouth,dry mouth diarrhea headache,1,0.7732619643211365
XEOMIN,dry mouth,diarrhea headache visual impairment dyspnea nasopharyngitis and respiratory tract infection,0,0.5538482666015625
XEOMIN,dry mouth,dry,1,0.7164269685745239
XEOMIN,dry mouth,eyelid ptosis dry dry mouth,1,0.7806484699249268
XEOMIN,dry mouth,respiratory,0,0.5660371780395508
XEOMIN,dry mouth,eyelid ptosis dry dry mouth diarrhea headache visual,1,0.6507483720779419
XEOMIN,dry mouth,in,0,0.5067582726478577
XEOMIN,dry mouth,patients and greater than placebo,0,0.5426344871520996
XEOMIN,dry mouth,dry mouth,1,1.0
XEOMIN,diarrhea,diarrhea headache,1,0.6892396211624146
XEOMIN,diarrhea,diarrhea,1,0.9999999403953552
XEOMIN,diarrhea,dyspnea nasopharyngitis,0,0.5452848672866821
XEOMIN,diarrhea,eyelid ptosis dry eye,0,0.4775436520576477
XEOMIN,diarrhea,ptosis dry eye dry diarrhea headache visual impairment dyspnea,1,0.5817309617996216
XEOMIN,headache,and greater than placebo in the Phase study were eyelid ptosis,0,0.4479711651802063
XEOMIN,headache,dry,0,0.6038330793380737
XEOMIN,headache,dry mouth headache visual impairment dyspnea nasopharyngitis,1,0.6123289465904236
XEOMIN,headache,ptosis dry,0,0.5578227043151855
XEOMIN,visual impairment,mouth diarrhea,0,0.5259009003639221
XEOMIN,dyspnea,in patients,0,0.6050034165382385
XEOMIN,dyspnea,headache visual dyspnea nasopharyngitis and,1,0.6659820079803467
XEOMIN,dyspnea,the Phase study were eyelid ptosis dry eye dry mouth diarrhea,0,0.5000471472740173
XEOMIN,dyspnea,in the Phase study were eyelid ptosis dry eye dry,0,0.49667778611183167
XEOMIN,dyspnea,were eyelid ptosis dry eye dry,0,0.4492641091346741
XEOMIN,dyspnea,in the Phase study were eyelid,0,0.4831055998802185
XEOMIN,nasopharyngitis,and respiratory tract infection No serious adverse events occurred in patients,0,0.5116147994995117
XEOMIN,nasopharyngitis,headache visual impairment,0,0.4907894730567932
XEOMIN,nasopharyngitis,nasopharyngitis,1,1.0000001192092896
XEOMIN,nasopharyngitis,ase study were eyelid ptosis dry eye dry mouth,0,0.4839211404323578
XEOMIN,nasopharyngitis,diarrhea headache visual impairment nasopharyngitis and respiratory,1,0.6681870222091675
XEOMIN,nasopharyngitis,nasopharyngitis and respiratory,1,0.8008462190628052
XEOMIN,nasopharyngitis,impairment nasopharyngitis and respiratory,1,0.7031247615814209
XEOMIN,respiratory tract infection,visual impairment dyspnea nasopharyngitis respiratory tract,1,0.6122069358825684
XEOMIN,respiratory tract infection,eye dry mouth diarrhea headache visual,0,0.5341867804527283
XEOMIN,respiratory tract infection,id ptosis dry,0,0.47172626852989197
XEOMIN,respiratory tract infection,respiratory tract infection No,1,0.8057565093040466
XEOMIN,respiratory tract infection,nasopharyngitis respiratory tract infection,1,0.8262922763824463
XEOMIN,dyspnea,of Clinical Tr,0,0.5493549108505249
XEOMIN,dyspnea,than Placebo DoubleBlind Phase of,0,0.477885901927948
XEOMIN,dyspnea,dyspnea Table,1,0.8211492300033569
XEOMIN,dyspnea,serious adverse dyspnea Table Most Common,1,0.7250469326972961
XEOMIN,dyspnea,dyspnea Table Most Common TEAEs and,1,0.7531085014343262
XEOMIN,dyspnea,dyspnea Table Most Common TEAEs,1,0.7628894448280334
XEOMIN,dyspnea,dyspnea Table Most,1,0.8106364011764526
XEOMIN,facial paresis,subjects were headache,0,0.5245420932769775
XEOMIN,facial paresis,adverse events,0,0.4882935881614685
XEOMIN,injection site hematoma,occurred in two placebotreated sub,0,0.46597540378570557
XEOMIN,eyelid edema,were,0,0.39545196294784546
XEOMIN,eyelid edema,hematoma eyelid,1,0.7372004985809326
XEOMIN,eyelid edema,site hematoma eyelid edema Four,1,0.8178398609161377
XEOMIN,eyelid edema,eyelid edema,1,1.0000001192092896
XEOMIN,eyelid edema,eyelid edema Four serious adverse,1,0.835940957069397
XEOMIN,eyelid edema,hematoma eyelid edema Four serious adverse events occurred,1,0.7179408073425293
XEOMIN,eyelid edema,eyelid edema Four,1,0.9183803796768188
XEOMIN,eyelid edema,subjects were headache facial,0,0.5185229182243347
XEOMIN,eyelid edema,subjects Six,0,0.3821605443954468
XEOMIN,brow ptosis,brow ptosis General disorders,1,0.8454505205154419
XEOMIN,brow ptosis,subjects Six,0,0.40105175971984863
XEOMIN,brow ptosis,Facial paresis,0,0.664990246295929
XEOMIN,Injection site hematoma,Injection site,1,0.789292573928833
XEOMIN,Injection site hematoma,conditions,0,0.4534575939178467
XEOMIN,Injection site hematoma,Injection site hematoma,1,1.0000001192092896
XEOMIN,Injection site hematoma,tion,0,0.4293215870857239
XEOMIN,Injection site hematoma,tion site,0,0.5114722847938538
XEOMIN,Injection site hematoma,site hematoma Injection si,1,0.888171911239624
XEOMIN,Injection site hematoma,tion site Injection site hematoma Injection si,1,0.92719566822052
XEOMIN,Injection site hematoma,site Injection,1,0.7417653799057007
XEOMIN,Injection site swelling,pain,0,0.5708926916122437
XEOMIN,Sensation of pressure,Sensation of pressure Eye,1,0.8431847095489502
XEOMIN,Sensation of pressure,pain,0,0.6111898422241211
XEOMIN,injection site hematoma,followed injection site,1,0.7346124649047852
XEOMIN,injection site hematoma,injection site hematoma in subjects Adverse reactions,1,0.8935075402259827
XEOMIN,injection site hematoma,reported for subjects followed injection site hematoma in,1,0.8869339227676392
XEOMIN,injection site hematoma,reported for subjects followed injection site,1,0.7049134969711304
XEOMIN,injection site hematoma,than of subjects were facial paresis,0,0.4219123423099518
XEOMIN,injection site hematoma,subjects followed injection,1,0.6236618757247925
XEOMIN,injection site hematoma,injection site hematoma in subjects Adverse,1,0.9082023501396179
XEOMIN,injection site hematoma,followed injection site hematoma,1,0.948373556137085
XEOMIN,injection site hematoma,site hematoma in,1,0.8495444059371948
XEOMIN,facial paresis,subjects Adverse reactions reported in less than,0,0.49323779344558716
XEOMIN,facial paresis,subjects were,0,0.4333826005458832
XEOMIN,facial paresis,subjects facial,1,0.6599721908569336
XEOMIN,facial paresis,facial paresis brow ptosis muscle disorder elevation,1,0.7744338512420654
XEOMIN,brow ptosis,facial,0,0.5900269150733948
XEOMIN,brow ptosis,brow ptosis muscle disorder,1,0.8863263726234436
XEOMIN,brow ptosis,of eyebrow injection site pain,0,0.662024736404419
XEOMIN,brow ptosis,facial brow ptosis,1,0.9629316329956055
XEOMIN,brow ptosis,subjects were facial brow ptosis muscle disorder elevation of eyebrow,1,0.8207259178161621
XEOMIN,brow ptosis,injection site pain and eyelid edema,0,0.5461190938949585
XEOMIN,brow ptosis,eyelid edema Immunoge,0,0.5414474606513977
XEOMIN,brow ptosis,brow ptosis muscle disorder elevation,1,0.8475586175918579
XEOMIN,brow ptosis,brow,1,0.7894487977027893
XEOMIN,muscle disorder,muscle disorder elevation of eyebrow injection site,1,0.6653270125389099
XEOMIN,muscle disorder,were,0,0.45140188932418823
XEOMIN,elevation of eyebrow,pain and eyelid edema Immunogenicity As with all,0,0.48071804642677307
XEOMIN,elevation of eyebrow,of eyebrow injection site pain and eyelid,1,0.6635717153549194
XEOMIN,injection site pain,elevation of injection site,1,0.7898002862930298
XEOMIN,injection site pain,site pain and eyelid edema Immunogenicity,1,0.6788995265960693
XEOMIN,injection site pain,muscle disorder elevation of injection site pain and,1,0.8067867755889893
XEOMIN,injection site pain,disorder elevation of injection,1,0.6641184091567993
XEOMIN,eyelid edema,eyelid edema Immunogenicity As with,1,0.7983310222625732
XEOMIN,eyelid edema,site pain eyelid edema,1,0.8870761394500732
XEOMIN,eyelid edema,eyelid edema Immunogenicity As with all,1,0.7799135446548462
XEOMIN,eyelid edema,site pain eyelid edema Immunogenicity As with,1,0.7837249040603638
XEOMIN,eye swelling,drug eye,1,0.6634156107902527
XEOMIN,eye swelling,eye swelling eyelid,1,0.9199222326278687
XEOMIN,eyelid edema,eyelid edema dysphagia,1,0.8449175357818604
XEOMIN,eyelid edema,drug eye,1,0.6222390532493591
XEOMIN,eyelid edema,drug exposure,0,0.5247308015823364
XEOMIN,dysphagia,dysphagia nausea flulike symptoms injection site,1,0.6751770377159119
XEOMIN,dysphagia,dysphagia nausea flulike symptoms,1,0.7171726226806641
XEOMIN,dysphagia,dysphagia nausea flulike,1,0.7248269319534302
XEOMIN,dysphagia,causal relationship to drug exposure eye swelling,0,0.46674901247024536
XEOMIN,nausea,nausea flulike symptoms,1,0.7579350471496582
XEOMIN,nausea,causal relationship to drug exposure eye swelling,0,0.5334112644195557
XEOMIN,nausea,edema nausea flulike symptoms injection site,1,0.6673274636268616
XEOMIN,nausea,eye swelling eyelid edema nausea flulike,1,0.7015174031257629
XEOMIN,nausea,nausea flulike symptoms injection,1,0.7125011682510376
XEOMIN,flu-like symptoms,eyelid edema dysphagia flu-like,1,0.7241064310073853
XEOMIN,flu-like symptoms,swelling eyelid edema dysphagia flu-like symptoms injection site,1,0.7103955149650574
XEOMIN,flu-like symptoms,allergic,0,0.6056674718856812
XEOMIN,injection site pain,injection site pain injection site,1,0.9426528811454773
XEOMIN,injection site pain,eye swelling eyelid edema dysphagia nausea,0,0.5040306448936462
XEOMIN,injection site pain,dysphagia nausea flulike injection site pain injection site reaction,1,0.7830145359039307
XEOMIN,injection site pain,dysphagia,0,0.4655294418334961
XEOMIN,injection site pain,site pain injection site,1,0.9131598472595215
XEOMIN,injection site pain,injection,1,0.7031940817832947
XEOMIN,injection site pain,exposure eye swelling eyelid,0,0.486737996339798
XEOMIN,injection site pain,nausea flulike injection site pain injection site reaction allergic,1,0.792745053768158
XEOMIN,injection site pain,drug exposure eye swelling eyelid edema dysphagia nausea flulike,0,0.5389307737350464
XEOMIN,injection site pain,edema dysphagia nausea flulike injection site,1,0.7220041751861572
XEOMIN,injection site reaction,injection,1,0.7331366539001465
XEOMIN,injection site reaction,symptoms,0,0.5320519208908081
XEOMIN,injection site reaction,site injection site reaction,1,0.9015657305717468
XEOMIN,injection site reaction,site injection site reaction allergic dermatitis localized allergic reactions,1,0.8552974462509155
XEOMIN,injection site reaction,site reaction allergic dermatitis localized allergic,1,0.7740727663040161
XEOMIN,injection site reaction,swelling,0,0.570529580116272
XEOMIN,injection site reaction,like swelling edema,0,0.5330972671508789
XEOMIN,injection site reaction,eyelid edema dysphagia nausea flulike,0,0.4731704592704773
XEOMIN,allergic dermatitis,pain injection,0,0.5039210915565491
XEOMIN,allergic dermatitis,reaction,0,0.5775440335273743
XEOMIN,allergic dermatitis,dysphagia nausea flulike symptoms injection site pain injection site,0,0.4702073633670807
XEOMIN,localized allergic reactions,reaction allergic localized,1,0.8944043517112732
XEOMIN,herpes zoster,dermatitis,0,0.6607710719108582
XEOMIN,muscular weakness,edema erythema pruritus or rash,0,0.5300633311271667
XEOMIN,muscular weakness,muscular,1,0.7153282165527344
XEOMIN,muscular weakness,muscular weakness muscle spasm dysarthria myalgia and,1,0.8276740312576294
XEOMIN,muscular weakness,localized allergic reactions like swelling edema erythema,0,0.5326615571975708
XEOMIN,muscular weakness,muscle spasm dysarthria myalgia and,0,0.6786775588989258
XEOMIN,muscular weakness,spasm dysarthria myalgia and hypersensitivity,0,0.6287626028060913
XEOMIN,muscular weakness,pruritus or rash herpes muscular weakness,1,0.7516282796859741
XEOMIN,muscular weakness,muscle spasm dysarthria,0,0.6773166656494141
XEOMIN,muscular weakness,rash herpes muscular weakness muscle,1,0.7779505252838135
XEOMIN,muscle spasm,pruritus or rash herpes zoster muscular weakness,0,0.6214765906333923
XEOMIN,muscle spasm,muscular weakness,0,0.7282364368438721
XEOMIN,muscle spasm,herpes zoster muscular muscle,1,0.6470093727111816
XEOMIN,muscle spasm,muscle,1,0.7585514187812805
XEOMIN,muscle spasm,zoster muscular muscle spasm dysarthria myalgia and hypersensitivity,1,0.697982132434845
XEOMIN,muscle spasm,muscle spasm dysarthria myalgia and hypersensitivity,1,0.7540709972381592
XEOMIN,muscle spasm,muscle spasm dysarthria,1,0.7951017618179321
XEOMIN,muscle spasm,ergic reactions like swelling edema erythema,0,0.6229104399681091
XEOMIN,muscle spasm,muscle spasm,1,1.0000001192092896
XEOMIN,muscle spasm,herpes,0,0.5588822960853577
XEOMIN,dysarthria,muscle dysarthria myalgia,1,0.7555649280548096
XEOMIN,dysarthria,herpes,0,0.48856255412101746
XEOMIN,myalgia,myalgia,1,0.9999999403953552
XEOMIN,myalgia,spasm myalgia and,1,0.7782570123672485
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,REACTIONS following adverse reactions,1,0.6161513924598694
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,scussed in greater detail in o,1,0.5489155054092407
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,to XEOMIN are di,0,0.5301367044448853
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,the labeling Hypersensitivity see Contraindications,0,0.5148839354515076
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,scussed in greater detail in o ther sections,1,0.5413833856582642
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,detail in o ther sections,1,0.4793125092983246
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,XEOMIN are scussed in greater detail in o ther sections,1,0.551746129989624
XEOMIN,spread from the area of injection,"Precautions (5.3)  ]  
 *  Dyspha gia",1,0.5794564485549927
XEOMIN,spread from the area of injection,detail in o ther sections,1,0.5093716382980347
XEOMIN,spread from the area of injection,and Warnings Precautions (5.3) ] *,1,0.5373323559761047
XEOMIN,spread from the area of injection,and,0,0.48097121715545654
XEOMIN,spread from the area of injection,Precautions (5.3) ] * Dyspha gia,1,0.5794565677642822
XEOMIN,spread from the area of injection,gia and Breathing,0,0.48879438638687134
XEOMIN,spread from the area of injection,* Dyspha gia and Breathing Difficulties,1,0.4483681619167328
XEOMIN,spread from the area of injection,"Contraindications and Warnings Precautions (5.3)  ]  
 *  Dyspha gia and Breathing Difficulties in",1,0.4364750385284424
XEOMIN,toxin effects,cervical dyst,1,0.5145308971405029
XEOMIN,toxin effects,of,0,0.439020037651062
XEOMIN,toxin effects,cervical dyst onia see,1,0.5071514248847961
XEOMIN,toxin effects,Difficulties in Treatment cervical,1,0.4869944453239441
XEOMIN,toxin effects,Breathing Difficulties in Treatment cervical dyst onia see Warnings and,1,0.49798664450645447
XEOMIN,toxin effects,cervical dyst onia see Warnings and,1,0.5551581382751465
XEOMIN,toxin effects,of Effects from Toxin see Warnings,0,0.8564662337303162
XEOMIN,toxin effects,and,0,0.4533045291900635
XEOMIN,asthenia,Difficulties in,0,0.5122420787811279
XEOMIN,asthenia,and Pre cautions Spread of Effects from,1,0.46645620465278625
XEOMIN,asthenia,Difficulties in Treatment,0,0.5413150787353516
XEOMIN,asthenia, and Pre cautions Spread of Effects,1,0.4557681679725647
XEOMIN,asthenia,cervical dystonia see  and Pre cautions Spread of Effects,1,0.5207009315490723
XEOMIN,asthenia,see and Pre,1,0.4903522729873657
XEOMIN,asthenia,Toxin see Warnings and Precautions,0,0.46170249581336975
XEOMIN,generalized muscle weakness,(5.4) ] * Sprea,1,0.41681039333343506
XEOMIN,generalized muscle weakness,d of Effects from Toxin see Warnings and Precautions EXCERPT Cervical,0,0.46101635694503784
XEOMIN,generalized muscle weakness,dystonia see Warnings and utions (5.4) ] *,1,0.5678763389587402
XEOMIN,generalized muscle weakness,Warnings and utions (5.4) ] *,1,0.4578673541545868
XEOMIN,generalized muscle weakness,Preca,0,0.4614829421043396
XEOMIN,generalized muscle weakness,utions (5.4) ] *,1,0.4150063991546631
XEOMIN,generalized muscle weakness,and utions (5.4) ] *,1,0.38195180892944336
XEOMIN,generalized muscle weakness,"utions (5.4)   ] 
 *  Sprea d of",1,0.41085803508758545
XEOMIN,generalized muscle weakness,"Warnings and utions (5.4)   ] 
 *  Sprea d of Effects from Toxin",1,0.47095122933387756
XEOMIN,diplopia,see Warnings and Precautions Spread,0,0.42564934492111206
XEOMIN,blurred vision,Toxin [s ee Warnings and,1,0.501628041267395
XEOMIN,blurred vision,Effects,0,0.5810526609420776
XEOMIN,blurred vision,Precautions Spread of from Toxin [s,1,0.5437939167022705
XEOMIN,ptosis,Effects from Toxin   Warn,1,0.4678693413734436
XEOMIN,ptosis,Precautions Spread of from Toxin [s,1,0.4623844027519226
XEOMIN,ptosis,  Warn ings and Precautions EXCERPT,1,0.4436603784561157
XEOMIN,dysphagia,from Toxin see gs and Pr,1,0.5427666902542114
XEOMIN,dysphagia,  Warn ings and Precautions EXCERPT,1,0.4975232183933258
XEOMIN,dysphagia,The most commonly observed,0,0.5296657085418701
XEOMIN,dysphagia,gs and Pr ecautions EXCERPT Cervical Dystonia,1,0.5352575778961182
XEOMIN,dysphagia,gs and Pr ecautions EXCERPT Cervical Dystonia The,1,0.5348770618438721
XEOMIN,dysphagia,ecautions EXCERPT Cervical,0,0.5541986227035522
XEOMIN,dysphagia,Warnings and Precautions Spread,0,0.4978695809841156
XEOMIN,dysphagia,Effects from Toxin see gs and Pr ecautions EXCERPT Cervical Dystonia The,1,0.524494469165802
XEOMIN,dysphagia,Toxin see,0,0.536824107170105
XEOMIN,dysphagia,Effects from Toxin see gs and Pr ecautions EXCERPT Cervical,1,0.5022894144058228
XEOMIN,dysphonia,autions ( EXCERPT Cervical,1,0.5212013721466064
XEOMIN,dysphonia,Warnings and Precautions Spread of Effects from Toxin see Warnings and Prec,0,0.4184269905090332
XEOMIN,dysphonia,Dystonia The,0,0.6152733564376831
XEOMIN,dysphonia,autions ( EXCERPT Cervical Dystonia The most,1,0.5506710410118103
XEOMIN,dysphonia,autions ( EXCERPT Cervical Dystonia,1,0.5860300064086914
XEOMIN,dysphonia,and autions ( EXCERPT Cervical Dystonia The,1,0.5567080974578857
