drug,adverse_event,comp_term,is_overlapping
XEOMIN,dyspnea,dyspnea nasopharyngitis,1
XEOMIN,dyspnea,dyspnea nasopharyngitis and respiratory,1
XEOMIN,dyspnea,dyspnea,1
XEOMIN,nasopharyngitis,nasopharyngitis and,1
XEOMIN,nasopharyngitis,headache visual impairment nasopharyngitis,1
XEOMIN,nasopharyngitis,nasopharyngitis and,1
XEOMIN,nasopharyngitis,nasopharyngitis and,1
XEOMIN,nasopharyngitis,impairment,0
XEOMIN,respiratory tract infection,impairment dyspnea nasopharyngitis respiratory tract infection Glabellar Lines,1
XEOMIN,respiratory tract infection,impairment,0
XEOMIN,respiratory tract infection,dyspnea nasopharyngitis respiratory tract infection Glabellar Lines The,1
XEOMIN,respiratory tract infection,impairment,0
XEOMIN,respiratory tract infection,Glabellar Lines The most commonly observed adverse reaction of patients and,0
XEOMIN,respiratory tract infection,visual impairment dyspnea nasopharyngitis respiratory tract infection,1
XEOMIN,respiratory tract infection,observed adverse reaction,0
XEOMIN,respiratory tract infection,respiratory tract infection Glabellar Lines The most commonly,1
XEOMIN,headache,ADVERSE REACTIONS contact Merz Pharmaceuticals LLC at,0
XEOMIN,headache,The most,0
XEOMIN,headache,headache,1
XEOMIN,headache,observed adverse reaction of patients and placebo,0
XEOMIN,headache,of patients and placebo headache To report,1
XEOMIN,headache,observed adverse reaction of patients and placebo,0
XEOMIN,dysphagia,dysphagia neck pain muscle weakness injection,1
XEOMIN,dysphagia,XEOMIN Units or Units dysphagia neck pain,1
XEOMIN,dysphagia,dysphagia neck pain muscle weakness injection,1
XEOMIN,dysphagia,weakness injection site pain and musculoskeletal pain,0
XEOMIN,dysphagia,pain muscle weakness injection site pain and musculoskeletal pain,0
XEOMIN,dysphagia,or Units dysphagia neck pain muscle weakness injection,1
XEOMIN,dysphagia,pain muscle weakness injection site pain and musculoskeletal pain,0
XEOMIN,dysphagia,Table Most Commo,0
XEOMIN,dysphagia,Units or Units dysphagia neck pain muscle weakness injection,1
XEOMIN,dysphagia,Table Most Commo,0
XEOMIN,neck pain,included neck,1
XEOMIN,neck pain,Units,0
XEOMIN,neck pain,Units or Units included neck,1
XEOMIN,neck pain,and musculoskeletal pain Table,0
XEOMIN,neck pain,neck pain muscle weakness injection,1
XEOMIN,neck pain,muscle weakness injection site pain,0
XEOMIN,neck pain,site pain and musculoskeletal pain Table Most Common,0
XEOMIN,neck pain,injection site pain and,0
XEOMIN,neck pain,or Units included neck,1
XEOMIN,neck pain,observed in patients who,0
XEOMIN,muscle weakness,muscle weakness injection site,1
XEOMIN,muscle weakness,TEAEs and Greater t,0
XEOMIN,muscle weakness,Units included dysphagia neck muscle weakness injection site pain and,1
XEOMIN,muscle weakness,TEAEs and Greater t,0
XEOMIN,muscle weakness,muscle weakness injection site pain and,1
XEOMIN,muscle weakness,Units included dysphagia neck muscle weakness injection site pain,1
XEOMIN,muscle weakness,muscle weakness injection site pain and,1
XEOMIN,muscle weakness,observed in,0
XEOMIN,muscle weakness,muscle weakness injection site,1
XEOMIN,injection site pain,site pain and musculoskeletal pain,1
XEOMIN,injection site pain,pain muscle injection site,1
XEOMIN,injection site pain,neck pain muscle injection site pain and,1
XEOMIN,injection site pain,pain muscle injection site,1
XEOMIN,injection site pain,pain muscle,0
XEOMIN,injection site pain,pain Table Most Common TEAEs and Greater than,0
XEOMIN,injection site pain,and musculoskeletal,0
XEOMIN,injection site pain,Table Most Common,0
XEOMIN,injection site pain,injection site pain,1
XEOMIN,musculoskeletal pain,and,0
XEOMIN,blepharospasm,blepharospasm previously treated,1
XEOMIN,blepharospasm,the placebocontrolled Phase trial in patients,0
XEOMIN,blepharospasm,blepharospasm previously treated with,1
XEOMIN,blepharospasm,the placebocontrolled Phase trial in patients,0
XEOMIN,blepharospasm,blepharospasm previously,1
XEOMIN,blepharospasm,Phase trial in patients blepharospasm previously treated with onabotulinumtoxinA Botox,1
XEOMIN,blepharospasm,blepharospasm previously,1
XEOMIN,blepharospasm,previously treated with onabotulinumtoxinA Botox see Clinical,0
XEOMIN,blepharospasm,in patients blepharospasm previously treated with,1
XEOMIN,blepharospasm,previously treated with onabotulinumtoxinA Botox see Clinical,0
XEOMIN,blepharospasm,Botox see Clinical Studies patients,0
XEOMIN,blepharospasm,Phase trial in patients blepharospasm previously treated with onabotulinumtoxinA Botox,1
XEOMIN,blepharospasm,Botox see Clinical Studies patients,0
XEOMIN,eyelid ptosis,eyelid ptosis dry eye dry mouth diarrhea,1
XEOMIN,eyelid ptosis,Botox see Clinical Studies patients,0
XEOMIN,eyelid ptosis,dry eye dry mouth diarrhea headache visual impairment dyspnea nasopharyngitis,0
XEOMIN,dry mouth,Phase study were eyelid ptosis dry eye,0
XEOMIN,dry mouth,dry mouth diarrhea headache,1
XEOMIN,dry mouth,Phase study were eyelid ptosis dry eye,0
XEOMIN,dry mouth,diarrhea headache visual impairment dyspnea nasopharyngitis and respiratory tract infection,0
XEOMIN,dry mouth,dry,1
XEOMIN,dry mouth,eyelid ptosis dry dry mouth,1
XEOMIN,dry mouth,dry,1
XEOMIN,dry mouth,respiratory,0
XEOMIN,dry mouth,eyelid ptosis dry dry mouth diarrhea headache visual,1
XEOMIN,dry mouth,respiratory,0
XEOMIN,dry mouth,in,0
XEOMIN,dry mouth,patients and greater than placebo,0
XEOMIN,dry mouth,dry mouth,1
XEOMIN,diarrhea,diarrhea headache,1
XEOMIN,diarrhea,diarrhea,1
XEOMIN,diarrhea,diarrhea,1
XEOMIN,diarrhea,dyspnea nasopharyngitis,0
XEOMIN,diarrhea,eyelid ptosis dry eye,0
XEOMIN,diarrhea,ptosis dry eye dry diarrhea headache visual impairment dyspnea,1
XEOMIN,diarrhea,eyelid ptosis dry eye,0
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis and,1
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis,1
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis,1
XEOMIN,headache,and greater than placebo in the Phase study were eyelid ptosis,0
XEOMIN,headache,dry,0
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis,1
XEOMIN,headache,dry mouth headache visual impairment dyspnea nasopharyngitis,1
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis,1
XEOMIN,headache,dry mouth headache visual impairment dyspnea nasopharyngitis,1
XEOMIN,headache,headache visual impairment dyspnea nasopharyngitis,1
XEOMIN,headache,ptosis dry,0
XEOMIN,headache,headache,1
XEOMIN,visual impairment,mouth diarrhea,0
XEOMIN,dyspnea,in patients,0
XEOMIN,dyspnea,headache visual dyspnea nasopharyngitis and,1
XEOMIN,dyspnea,in patients,0
XEOMIN,dyspnea,the Phase study were eyelid ptosis dry eye dry mouth diarrhea,0
XEOMIN,dyspnea,in the Phase study were eyelid ptosis dry eye dry,0
XEOMIN,dyspnea,were eyelid ptosis dry eye dry,0
XEOMIN,dyspnea,in the Phase study were eyelid,0
XEOMIN,dyspnea,dyspnea,1
XEOMIN,nasopharyngitis,and respiratory tract infection No serious adverse events occurred in patients,0
XEOMIN,nasopharyngitis,headache visual impairment,0
XEOMIN,nasopharyngitis,nasopharyngitis,1
XEOMIN,nasopharyngitis,ase study were eyelid ptosis dry eye dry mouth,0
XEOMIN,nasopharyngitis,diarrhea headache visual impairment nasopharyngitis and respiratory,1
XEOMIN,nasopharyngitis,ase study were eyelid ptosis dry eye dry mouth,0
XEOMIN,nasopharyngitis,headache visual impairment,0
XEOMIN,nasopharyngitis,nasopharyngitis,1
XEOMIN,nasopharyngitis,nasopharyngitis and respiratory,1
XEOMIN,nasopharyngitis,impairment nasopharyngitis and respiratory,1
XEOMIN,nasopharyngitis,nasopharyngitis and respiratory,1
XEOMIN,respiratory tract infection,visual impairment dyspnea nasopharyngitis respiratory tract,1
XEOMIN,respiratory tract infection,eye dry mouth diarrhea headache visual,0
XEOMIN,respiratory tract infection,id ptosis dry,0
XEOMIN,respiratory tract infection,respiratory tract infection No,1
XEOMIN,respiratory tract infection,nasopharyngitis respiratory tract infection,1
XEOMIN,respiratory tract infection,respiratory tract infection No,1
XEOMIN,dyspnea,of Clinical Tr,0
XEOMIN,dyspnea,than Placebo DoubleBlind Phase of,0
XEOMIN,dyspnea,dyspnea Table,1
XEOMIN,dyspnea,than Placebo DoubleBlind Phase of,0
XEOMIN,dyspnea,dyspnea Table,1
XEOMIN,dyspnea,serious adverse dyspnea Table Most Common,1
XEOMIN,dyspnea,dyspnea Table,1
XEOMIN,dyspnea,dyspnea Table Most Common TEAEs and,1
XEOMIN,dyspnea,dyspnea Table Most Common TEAEs,1
XEOMIN,dyspnea,dyspnea Table Most Common TEAEs and,1
XEOMIN,dyspnea,dyspnea Table Most,1
XEOMIN,facial paresis,subjects were headache,0
XEOMIN,facial paresis,adverse events,0
XEOMIN,injection site hematoma,occurred in two placebotreated sub,0
XEOMIN,eyelid edema,were,0
XEOMIN,eyelid edema,hematoma eyelid,1
XEOMIN,eyelid edema,site hematoma eyelid edema Four,1
XEOMIN,eyelid edema,hematoma eyelid,1
XEOMIN,eyelid edema,eyelid edema,1
XEOMIN,eyelid edema,eyelid edema Four serious adverse,1
XEOMIN,eyelid edema,hematoma eyelid,1
XEOMIN,eyelid edema,hematoma eyelid edema Four serious adverse events occurred,1
XEOMIN,eyelid edema,hematoma eyelid,1
XEOMIN,eyelid edema,eyelid edema Four,1
XEOMIN,eyelid edema,subjects were headache facial,0
XEOMIN,eyelid edema,subjects Six,0
XEOMIN,brow ptosis,brow ptosis General disorders,1
XEOMIN,brow ptosis,subjects Six,0
XEOMIN,brow ptosis,Facial paresis,0
XEOMIN,Injection site hematoma,Injection site,1
XEOMIN,Injection site hematoma,conditions,0
XEOMIN,Injection site hematoma,Injection site hematoma,1
XEOMIN,Injection site hematoma,conditions,0
XEOMIN,Injection site hematoma,tion,0
XEOMIN,Injection site hematoma,tion site,0
XEOMIN,Injection site hematoma,site hematoma Injection si,1
XEOMIN,Injection site hematoma,tion site Injection site hematoma Injection si,1
XEOMIN,Injection site hematoma,site hematoma Injection si,1
XEOMIN,Injection site hematoma,site Injection,1
XEOMIN,Injection site swelling,pain,0
XEOMIN,Sensation of pressure,Sensation of pressure Eye,1
XEOMIN,Sensation of pressure,pain,0
XEOMIN,Sensation of pressure,Sensation of pressure Eye,1
XEOMIN,Sensation of pressure,pain,0
XEOMIN,injection site hematoma,followed injection site,1
XEOMIN,injection site hematoma,injection site hematoma in subjects Adverse reactions,1
XEOMIN,injection site hematoma,reported for subjects followed injection site hematoma in,1
XEOMIN,injection site hematoma,injection site hematoma in subjects Adverse reactions,1
XEOMIN,injection site hematoma,reported for subjects followed injection site,1
XEOMIN,injection site hematoma,than of subjects were facial paresis,0
XEOMIN,injection site hematoma,subjects followed injection,1
XEOMIN,injection site hematoma,injection site hematoma in subjects Adverse,1
XEOMIN,injection site hematoma,subjects followed injection,1
XEOMIN,injection site hematoma,followed injection site hematoma,1
XEOMIN,injection site hematoma,site hematoma in,1
XEOMIN,facial paresis,subjects Adverse reactions reported in less than,0
XEOMIN,facial paresis,subjects were,0
XEOMIN,facial paresis,subjects facial,1
XEOMIN,facial paresis,facial paresis brow ptosis muscle disorder elevation,1
XEOMIN,brow ptosis,facial,0
XEOMIN,brow ptosis,brow ptosis muscle disorder,1
XEOMIN,brow ptosis,of eyebrow injection site pain,0
XEOMIN,brow ptosis,facial brow ptosis,1
XEOMIN,brow ptosis,subjects were facial brow ptosis muscle disorder elevation of eyebrow,1
XEOMIN,brow ptosis,facial brow ptosis,1
XEOMIN,brow ptosis,injection site pain and eyelid edema,0
XEOMIN,brow ptosis,eyelid edema Immunoge,0
XEOMIN,brow ptosis,brow ptosis muscle disorder elevation,1
XEOMIN,brow ptosis,brow,1
XEOMIN,muscle disorder,muscle disorder elevation of eyebrow injection site,1
XEOMIN,muscle disorder,muscle disorder elevation of eyebrow injection site,1
XEOMIN,muscle disorder,muscle disorder elevation of eyebrow injection site,1
XEOMIN,muscle disorder,were,0
XEOMIN,muscle disorder,muscle disorder elevation of eyebrow injection site,1
XEOMIN,elevation of eyebrow,pain and eyelid edema Immunogenicity As with all,0
XEOMIN,elevation of eyebrow,of eyebrow injection site pain and eyelid,1
XEOMIN,injection site pain,elevation of injection site,1
XEOMIN,injection site pain,site pain and eyelid edema Immunogenicity,1
XEOMIN,injection site pain,muscle disorder elevation of injection site pain and,1
XEOMIN,injection site pain,site pain and eyelid edema Immunogenicity,1
XEOMIN,injection site pain,disorder elevation of injection,1
XEOMIN,eyelid edema,eyelid edema Immunogenicity As with,1
XEOMIN,eyelid edema,site pain eyelid edema,1
XEOMIN,eyelid edema,eyelid edema Immunogenicity As with,1
XEOMIN,eyelid edema,eyelid edema Immunogenicity As with all,1
XEOMIN,eyelid edema,site pain eyelid edema Immunogenicity As with,1
XEOMIN,eyelid edema,eyelid edema Immunogenicity As with all,1
XEOMIN,eye swelling,drug eye,1
XEOMIN,eye swelling,eye swelling eyelid,1
XEOMIN,eye swelling,drug eye,1
XEOMIN,eyelid edema,eyelid edema dysphagia,1
XEOMIN,eyelid edema,drug eye,1
XEOMIN,eyelid edema,eyelid edema,1
XEOMIN,eyelid edema,drug exposure,0
XEOMIN,dysphagia,dysphagia nausea flulike symptoms injection site,1
XEOMIN,dysphagia,dysphagia nausea flulike symptoms,1
XEOMIN,dysphagia,dysphagia nausea flulike symptoms injection site,1
XEOMIN,dysphagia,dysphagia nausea flulike,1
XEOMIN,dysphagia,causal relationship to drug exposure eye swelling,0
XEOMIN,nausea,nausea flulike symptoms,1
XEOMIN,nausea,causal relationship to drug exposure eye swelling,0
XEOMIN,nausea,edema nausea flulike symptoms injection site,1
XEOMIN,nausea,causal relationship to drug exposure eye swelling,0
XEOMIN,nausea,eye swelling eyelid edema nausea flulike,1
XEOMIN,nausea,causal relationship to drug exposure eye swelling,0
XEOMIN,nausea,nausea flulike symptoms injection,1
XEOMIN,flu-like symptoms,eyelid edema dysphagia flu-like,1
XEOMIN,flu-like symptoms,swelling eyelid edema dysphagia flu-like symptoms injection site,1
XEOMIN,flu-like symptoms,eyelid edema dysphagia flu-like,1
XEOMIN,flu-like symptoms,allergic,0
XEOMIN,injection site pain,injection site pain injection site,1
XEOMIN,injection site pain,eye swelling eyelid edema dysphagia nausea,0
XEOMIN,injection site pain,dysphagia nausea flulike injection site pain injection site reaction,1
XEOMIN,injection site pain,eye swelling eyelid edema dysphagia nausea,0
XEOMIN,injection site pain,dysphagia,0
XEOMIN,injection site pain,site pain injection site,1
XEOMIN,injection site pain,injection,1
XEOMIN,injection site pain,exposure eye swelling eyelid,0
XEOMIN,injection site pain,nausea flulike injection site pain injection site reaction allergic,1
XEOMIN,injection site pain,exposure eye swelling eyelid,0
XEOMIN,injection site pain,drug exposure eye swelling eyelid edema dysphagia nausea flulike,0
XEOMIN,injection site pain,edema dysphagia nausea flulike injection site,1
XEOMIN,injection site reaction,injection,1
XEOMIN,injection site reaction,symptoms,0
XEOMIN,injection site reaction,site injection site reaction,1
XEOMIN,injection site reaction,site injection site reaction allergic dermatitis localized allergic reactions,1
XEOMIN,injection site reaction,site injection site reaction,1
XEOMIN,injection site reaction,site reaction allergic dermatitis localized allergic,1
XEOMIN,injection site reaction,swelling,0
XEOMIN,injection site reaction,like swelling edema,0
XEOMIN,injection site reaction,eyelid edema dysphagia nausea flulike,0
XEOMIN,allergic dermatitis,pain injection,0
XEOMIN,allergic dermatitis,reaction,0
XEOMIN,allergic dermatitis,dysphagia nausea flulike symptoms injection site pain injection site,0
XEOMIN,localized allergic reactions,reaction allergic localized,1
XEOMIN,herpes zoster,dermatitis,0
XEOMIN,muscular weakness,edema erythema pruritus or rash,0
XEOMIN,muscular weakness,muscular,1
XEOMIN,muscular weakness,muscular weakness muscle spasm dysarthria myalgia and,1
XEOMIN,muscular weakness,localized allergic reactions like swelling edema erythema,0
XEOMIN,muscular weakness,muscle spasm dysarthria myalgia and,0
XEOMIN,muscular weakness,spasm dysarthria myalgia and hypersensitivity,0
XEOMIN,muscular weakness,pruritus or rash herpes muscular weakness,1
XEOMIN,muscular weakness,muscle spasm dysarthria,0
XEOMIN,muscular weakness,muscular,1
XEOMIN,muscular weakness,rash herpes muscular weakness muscle,1
XEOMIN,muscular weakness,muscular,1
XEOMIN,muscle spasm,pruritus or rash herpes zoster muscular weakness,0
XEOMIN,muscle spasm,muscular weakness,0
XEOMIN,muscle spasm,herpes zoster muscular muscle,1
XEOMIN,muscle spasm,muscle,1
XEOMIN,muscle spasm,zoster muscular muscle spasm dysarthria myalgia and hypersensitivity,1
XEOMIN,muscle spasm,muscle,1
XEOMIN,muscle spasm,muscle spasm dysarthria myalgia and hypersensitivity,1
XEOMIN,muscle spasm,muscle spasm dysarthria,1
XEOMIN,muscle spasm,ergic reactions like swelling edema erythema,0
XEOMIN,muscle spasm,muscle spasm,1
XEOMIN,muscle spasm,herpes,0
XEOMIN,dysarthria,muscle dysarthria myalgia,1
XEOMIN,dysarthria,herpes,0
XEOMIN,myalgia,myalgia,1
XEOMIN,myalgia,spasm myalgia and,1
XEOMIN,myalgia,myalgia,1
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,REACTIONS following adverse reactions,1
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,scussed in greater detail in o,1
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,to XEOMIN are di,0
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,the labeling Hypersensitivity see Contraindications,0
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,scussed in greater detail in o ther sections,1
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,the labeling Hypersensitivity see Contraindications,0
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,detail in o ther sections,1
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,XEOMIN are scussed in greater detail in o ther sections,1
XEOMIN,DISTANT SPREAD OF TOXIN EFFECT,detail in o ther sections,1
XEOMIN,spread from the area of injection,"Precautions (5.3)  ]  
 *  Dyspha gia",1
XEOMIN,spread from the area of injection,detail in o ther sections,1
XEOMIN,spread from the area of injection,and Warnings Precautions (5.3) ] *,1
XEOMIN,spread from the area of injection,and,0
XEOMIN,spread from the area of injection,Precautions (5.3) ] * Dyspha gia,1
XEOMIN,spread from the area of injection,gia and Breathing,0
XEOMIN,spread from the area of injection,* Dyspha gia and Breathing Difficulties,1
XEOMIN,spread from the area of injection,"Contraindications and Warnings Precautions (5.3)  ]  
 *  Dyspha gia and Breathing Difficulties in",1
XEOMIN,spread from the area of injection,* Dyspha gia and Breathing Difficulties,1
XEOMIN,toxin effects,cervical dyst,1
XEOMIN,toxin effects,of,0
XEOMIN,toxin effects,cervical dyst onia see,1
XEOMIN,toxin effects,of,0
XEOMIN,toxin effects,Difficulties in Treatment cervical,1
XEOMIN,toxin effects,Breathing Difficulties in Treatment cervical dyst onia see Warnings and,1
XEOMIN,toxin effects,Difficulties in Treatment cervical,1
XEOMIN,toxin effects,cervical dyst onia see Warnings and,1
XEOMIN,toxin effects,of Effects from Toxin see Warnings,0
XEOMIN,toxin effects,Difficulties in Treatment cervical,1
XEOMIN,toxin effects,cervical dyst,1
XEOMIN,toxin effects,and,0
XEOMIN,asthenia,Difficulties in,0
XEOMIN,asthenia,and Pre cautions Spread of Effects from,1
XEOMIN,asthenia,Difficulties in Treatment,0
XEOMIN,asthenia, and Pre cautions Spread of Effects,1
XEOMIN,asthenia,Difficulties in Treatment,0
XEOMIN,asthenia,cervical dystonia see  and Pre cautions Spread of Effects,1
XEOMIN,asthenia,Difficulties in Treatment,0
XEOMIN,asthenia,see and Pre,1
XEOMIN,asthenia,Toxin see Warnings and Precautions,0
XEOMIN,generalized muscle weakness,(5.4) ] * Sprea,1
XEOMIN,generalized muscle weakness,d of Effects from Toxin see Warnings and Precautions EXCERPT Cervical,0
XEOMIN,generalized muscle weakness,dystonia see Warnings and utions (5.4) ] *,1
XEOMIN,generalized muscle weakness,Warnings and utions (5.4) ] *,1
XEOMIN,generalized muscle weakness,Preca,0
XEOMIN,generalized muscle weakness,utions (5.4) ] *,1
XEOMIN,generalized muscle weakness,and utions (5.4) ] *,1
XEOMIN,generalized muscle weakness,"utions (5.4)   ] 
 *  Sprea d of",1
XEOMIN,generalized muscle weakness,and utions (5.4) ] *,1
XEOMIN,generalized muscle weakness,"Warnings and utions (5.4)   ] 
 *  Sprea d of Effects from Toxin",1
XEOMIN,generalized muscle weakness,and utions (5.4) ] *,1
XEOMIN,diplopia,see Warnings and Precautions Spread,0
XEOMIN,blurred vision,Toxin [s ee Warnings and,1
XEOMIN,blurred vision,Effects,0
XEOMIN,blurred vision,Precautions Spread of from Toxin [s,1
XEOMIN,ptosis,Effects from Toxin   Warn,1
XEOMIN,ptosis,Precautions Spread of from Toxin [s,1
XEOMIN,ptosis,  Warn ings and Precautions EXCERPT,1
XEOMIN,dysphagia,from Toxin see gs and Pr,1
XEOMIN,dysphagia,  Warn ings and Precautions EXCERPT,1
XEOMIN,dysphagia,The most commonly observed,0
XEOMIN,dysphagia,gs and Pr ecautions EXCERPT Cervical Dystonia,1
XEOMIN,dysphagia,The most commonly observed,0
XEOMIN,dysphagia,gs and Pr ecautions EXCERPT Cervical Dystonia The,1
XEOMIN,dysphagia,ecautions EXCERPT Cervical,0
XEOMIN,dysphagia,Warnings and Precautions Spread,0
XEOMIN,dysphagia,Effects from Toxin see gs and Pr ecautions EXCERPT Cervical Dystonia The,1
XEOMIN,dysphagia,Warnings and Precautions Spread,0
XEOMIN,dysphagia,Toxin see,0
XEOMIN,dysphagia,Effects from Toxin see gs and Pr ecautions EXCERPT Cervical,1
XEOMIN,dysphagia,Toxin see,0
XEOMIN,dysphonia,autions ( EXCERPT Cervical,1
XEOMIN,dysphonia,Warnings and Precautions Spread of Effects from Toxin see Warnings and Prec,0
XEOMIN,dysphonia,Dystonia The,0
XEOMIN,dysphonia,autions ( EXCERPT Cervical Dystonia The most,1
XEOMIN,dysphonia,autions ( EXCERPT Cervical Dystonia,1
XEOMIN,dysphonia,and autions ( EXCERPT Cervical Dystonia The,1
