drug_name,section_name,gpt35_output
CIMZIA,adverse reactions,"upper respiratory tract infection, rash, urinary tract infection, serious infections, malignancies, heart failure, abdominal pain, diarrhea, intestinal obstruction, tuberculosis infections, pyrexia, urticaria, pneumonia, nasopharyngitis, laryngitis, viral infection, bladder infection, bacteriuria, cystitis, arthralgia, anemia, leukopenia, lymphadenopathy, pancytopenia, thrombophilia, angina pectoris, arrhythmias, atrial fibrillation, cardiac failure, hypertensive heart disease, myocardial infarction, myocardial ischemia, pericardial effusion, pericarditis, stroke, transient ischemic attack, optic neuritis, retinal hemorrhage, uveitis, bleeding, injection site reactions, elevated liver enzymes, hepatitis, alopecia totalis, anxiety, bipolar disorder, suicide attempt, nephrotic syndrome, renal failure, menstrual disorder, dermatitis, erythema nodosum, vasculitis, thrombophlebitis, systemic vasculitis, Stevens-Johnson syndrome, toxic epidermal necrolysis, sarcoidosis"
CIMZIA,boxed warnings,"serious infections, malignancy, tuberculosis, bacterial sepsis, invasive fungal infections, histoplasmosis, opportunistic pathogens, lymphoma"
CIMZIA,warnings and precautions,"The adverse drug event terms in this text are: Serious infections, Invasive fungal infections, Lymphoma, Malignancies, Heart failure, Anaphylaxis, Allergic reactions, Hepatitis B virus reactivation, Demyelinating disease, Cytopenias, Pancytopenia, Lupus-like syndrome, Hypotension, Hypersensitivity reactions, Neurologic reactions, Hematological reactions, Autoimmunity, Immunizations, and Immunosuppression."
KALYDECO,adverse reactions,"Transaminase Elevations, headache, oropharyngeal pain, upper respiratory tract infection, nasal congestion, abdominal pain, nasopharyngitis, diarrhea, rash, nausea, dizziness, arthralgia, bacteria in sputum, blood glucose increased, musculoskeletal chest pain, myalgia, sinus headache, pharyngeal erythema, pleuritic pain, sinus congestion, wheezing, acne"
KALYDECO,warnings and precautions,"Elevated transaminases, ALT, AST, Cataracts, Lens opacities"
FULYZAQ,adverse reactions,"upper respiratory tract infection, bronchitis, cough, flatulence, increased bilirubin, nausea, back pain, arthralgia, urinary tract infection, nasopharyngitis, musculoskeletal pain, hemorrhoids, giardiasis, anxiety, increased alanine aminotransferase, abdominal distension, abdominal pain, acne, increased aspartate aminotransferase, increased conjugated bilirubin, increased unconjugated blood bilirubin, constipation, depression, dermatitis, dizziness, dry mouth, dyspepsia, gastroenteritis, herpes zoster, nephrolithiasis, pain in extremity, pollakiuria, procedural pain, seasonal allergy, sinusitis, decreased white blood cell count"
FULYZAQ,warnings and precautions,"infectious diarrhea, inappropriate therapy, worsen"
QUTENZA,adverse reactions,"The adverse drug event terms in the text are:

- Application-Associated Pain
- Increase in Blood Pressure
- application site erythema
- application site pain
- application site pruritus
- application site papules
- application site edema
- application site swelling
- application site dryness
- Nasopharyngitis
- Bronchitis
- Sinusitis
- Nausea
- Vomiting
- Pruritus
- Hypertension
- Application site urticaria
- Application site paresthesia
- Application site dermatitis
- Application site hyperesthesia
- Application site excoriation
- Application site warmth
- Application site anesthesia
- Application site bruising
- Application site inflammation
- Application site exfoliation
- Peripheral edema
- Headache
- Burning sensation
- Peripheral sensory neuropathy
- Dizziness
- Dysgeusia
- Hyperesthesia
- Hypoesthesia
- Cough
- Throat irritation
- Abnormal skin odor"
QUTENZA,warnings and precautions,"eye irritation, mucous membrane irritation, coughing, sneezing, increased blood pressure, skin exposure"
GRANIX,adverse reactions,"Splenic Rupture, Acute Respiratory Distress Syndrome, Serious Allergic Reactions, Use in Patients with Sickle Cell Disease, Capillary Leak Syndrome, Potential for Tumor Growth Stimulatory Effects on Malignant Cells, bone pain, leukocytosis, myalgia, headache, vomiting, Sweet's syndrome, cutaneous vasculitis, thrombocytopenia"
GRANIX,warnings and precautions,"splenic rupture,acute respiratory distress syndrome,allergic reactions,sickle cell crisis,capillary leak syndrome"
COARTEM,adverse reactions,"headache, anorexia, dizziness, asthenia, arthralgia, myalgia, pyrexia, cough, vomiting, chills, fatigue, malaise, nausea, abdominal pain, diarrhea, sleep disorder, insomnia, palpitations, hepatomegaly, splenomegaly, anemia, pruritus, rash, vertigo, malaria, nasopharyngitis, eosinophilia, tinnitus, conjunctivitis, constipation, dyspepsia, dysphagia, peptic ulcer, gait disturbance, abscess, acrodermatitis, bronchitis, ear infection, gastroenteritis, helminthic infection, hookworm infection, impetigo, influenza, lower respiratory tract infection, oral herpes, pneumonia, respiratory tract infection, subcutaneous abscess, upper respiratory tract infection, urinary tract infection, alanine aminotransferase increased, aspartate aminotransferase increased, hematocrit decreased, lymphocyte morphology abnormal, platelet count decreased, platelet count increased, white blood cell count decreased, white blood cell count increased, hypokalemia, back pain, ataxia, clonus, fine motor delay, hyperreflexia, hypoesthesia, nystagmus, tremor, agitation, mood swings, hematuria, proteinuria, asthma, pharyngo-laryngeal pain, urticaria, anaphylaxis, angioedema, bullous eruption."
COARTEM,warnings and precautions,"QT prolongation, hypokalemia, hypomagnesemia, arrhythmias, bradycardia, electrolyte imbalance, antipsychotics, antidepressants, antibiotics, CYP3A4 substrates, CYP3A4 inhibitors, CYP3A4 inducers, antiretroviral drugs, hormonal contraceptives, CYP2D6 substrates, hepatic impairment, renal impairment."
APTIOM,adverse reactions,"suicidal behavior, ideation, serious dermatologic reactions, drug reaction with eosinophilia and systemic symptoms, DRESS, multiorgan hypersensitivity, anaphylactic reactions, angioedema, hyponatremia, neurological adverse reactions, drug induced liver injury, abnormal thyroid function tests, dizziness, somnolence, nausea, headache, diplopia, vomiting, fatigue, vertigo, ataxia, blurred vision, tremor, hemoglobin, hematocrit, total cholesterol, triglycerides, LDL, creatine phosphokinase"
APTIOM,warnings and precautions,"suicidal thoughts, suicidal behavior, dermatologic reactions, Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS), Anaphylactic Reactions, Angioedema, Hyponatremia, Neurological Adverse Reactions, withdrawal, Drug Induced Liver Injury"
PROLIA,adverse reactions,"hypocalcemia, serious infections, dermatologic adverse reactions, osteonecrosis of the jaw, atypical subtrochanteric and diaphyseal femoral fractures, back pain, pain in extremity, musculoskeletal pain, hypercholesterolemia, cystitis, arthralgia, nasopharyngitis, constipation, pancreatitis, anemia, angina pectoris, atrial fibrillation, vertigo, abdominal pain upper, flatulence, gastroesophageal reflux disease, edema peripheral, asthenia, upper respiratory tract infection, pneumonia, pharyngitis, herpes zoster, myalgia, spinal osteoarthritis, sciatica, insomnia, rash, pruritus, vertebral osteomyelitis, cellulitis, new malignancies, urticaria, facial swelling, erythema, marked elevation in serum PTH, immunogenicity, anaphylaxis, severe symptomatic hypocalcemia."
PROLIA,warnings and precautions,"anaphylactic reactions, hypersensitivity, hypocalcemia, osteonecrosis of the jaw, atypical femoral fractures, serious infections, dermatologic reactions, musculoskeletal pain, bone turnover suppression"
BLINCYTO,adverse reactions,"Cytokine Release Syndrome, Neurological Toxicities, Infections, Tumor Lysis Syndrome, Neutropenia, Febrile Neutropenia, Elevated Liver Enzymes, Leukoencephalopathy, Hypokalemia, Tremor, Rash, Constipation, Pyrexia, Peripheral edema, Nausea, Hypokalemia, Febrile neutropenia, Constipation, Headache, Leukocytosis, Lymphopenia, Tachycardia, Edema, Cytokine storm, Decreased immunoglobulins, Increased blood bilirubin, Increased gamma-glutamyl-transferase, Increased liver enzymes, Tumor lysis syndrome, Encephalopathy, Paresthesia, Aphasia, Convulsion, Memory impairment, Cognitive disorder, Speech disorder, Confusion, Disorientation, Capillary leak syndrome, Hypersensitivity, Bronchospasm."
BLINCYTO,boxed warnings,"CYTOKINE RELEASE SYNDROME, NEUROLOGICAL TOXICITIES"
BLINCYTO,warnings and precautions,"Cytokine Release Syndrome, infusion reactions, pyrexia, headache, nausea, asthenia, hypotension, increased alanine aminotransferase, increased aspartate aminotransferase, increased total bilirubin, disseminated intravascular coagulation (DIC), capillary leak syndrome (CLS), hemophagocytic lymphohistiocytosis/macrophage activation syndrome (HLH/MAS), neurological toxicities, encephalopathy, convulsions, speech disorders, disturbances in consciousness, confusion, coordination and balance disorders, serious infections, sepsis, pneumonia, bacteremia, opportunistic infections, catheter-site infections, Tumor Lysis Syndrome (TLS), Neutropenia, febrile neutropenia, elevated liver enzymes, liver enzymes, alanine aminotransferase (ALT), aspartate aminotransferase (AST), gamma-glutamyl transferase (GGT), total blood bilirubin, Leukoencephalopathy, Preparation and Administration Errors."
STENDRA,adverse reactions,"headache, flushing, nasal congestion, nasopharyngitis, back pain, upper respiratory infection, bronchitis, influenza, sinusitis, sinus congestion, hypertension, dyspepsia, nausea, constipation, rash, dizziness, arthralgia, diarrhea, edema peripheral, fatigue, angina, unstable angina, deep vein thrombosis, palpitations, gastritis, gastroesophageal reflux disease, hypoglycemia, blood glucose increased, alanine aminotransferase increased, oropharyngeal pain, stomach discomfort, vomiting, muscle spasms, musculoskeletal pain, myalgia, pain in extremity, depression, insomnia, somnolence, vertigo, cough, dyspnea exertional, epistaxis, wheezing, pruritus, balanitis, erection increased, hematuria, nephrolithiasis, pollakiuria, urinary tract infection, electrocardiogram abnormal, gastroenteritis viral, change in color vision, Non-arteritic anterior ischemic optic neuropathy"
STENDRA,warnings and precautions,"adverse event, cardiovascular risk, hypotension, erection, vision loss, hearing loss, alcohol, bleeding"
XIAFLEX,adverse reactions,"tendon ruptures, severe injury, corporal rupture, penile fracture, penile hematoma, penile ecchymoses, sudden penile detumescence, penile ""popping"" sound or sensation, edema peripheral, swelling of the injected hand, contusion, injection site hemorrhage, injection site reaction, pain in the injected extremity, pruritus, lymphadenopathy, axillary mass"
XIAFLEX,boxed warnings,"corporal rupture, penile fracture, penile injury, penile ecchymoses, penile hematoma, penile detumescence"
XIAFLEX,warnings and precautions,"Tendon rupture, serious injury, skin laceration, hypersensitivity reactions, anaphylaxis, abnormal coagulation, coropral rupture, penile fracture, penile hematoma."
XEOMIN,adverse reactions,"hypersensitivity, dysphagia, breathing difficulties, neck pain, muscle weakness, injection site pain, musculoskeletal pain, eyelid ptosis, dry eye, dry mouth, diarrhea, headache, visual impairment, dyspnea, nasopharyngitis, respiratory tract infection, facial paresis, injection site hematoma, eyelid edema, eye swelling, nausea, flu-like symptoms, injection site reaction, allergic dermatitis, localized allergic reactions, swelling, edema, erythema, pruritus, rash, herpes zoster, muscular weakness, muscle spasm, dysarthria, myalgia"
XEOMIN,boxed warnings,"asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties"
XEOMIN,warnings and precautions,"respiratory difficulties, dysphagia, dysphonia, dysarthria, asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, hypersensitivity reactions, anaphylaxis, serum sickness, urticaria, soft tissue edema, an extremely remote risk for transmission of viral diseases, Creutzfeldt-Jakob disease (CJD)"
GILOTRIF,adverse reactions,"Diarrhea, Bullous and Exfoliative Skin Disorders, Interstitial Lung Disease, Hepatic Toxicity, Keratitis, Rash/Dermatitis acneiform, Stomatitis, Paronychia, Dry skin, Decreased appetite, Nausea, Vomiting, Pruritus, Dyspnea, Fatigue, Hypokalemia, Pulmonary toxicity/ILD-like adverse reactions, Sepsis, Pneumonia, IlD, Ventricular dysfunction, Stomatitis, Aphthous stomatitis, Mucosal inflammation, Mouth ulceration, Oral mucosa erosion, Mucosal erosion, Mucosal ulceration, Cheilitis, Paronychia, Nail infection, Nail bed infection, Nausea, Vomiting, Stomatitis, Rash/Dermatitis acneiform, Pruritus, Dry skin, Paronychia, Cystitis, Decreased appetite, Epistaxis, Rhinorrhea, Weight Decreased, Pyrexia, Conjunctivitis, Alanine aminotransferase increased, Hypokalemia, Aspartate aminotransferase increased, Pancreatitis"
GILOTRIF,warnings and precautions,"Diarrhea, dehydration, renal failure, bullous, blistering, exfoliating lesions, cutaneous reactions, interstitial lung disease, ILD, hepatic toxicity, liver testing, keratitis, ulcerative keratitis, embryofetal toxicity, fetal harm, contraception, pregnancy."
TREANDA,adverse reactions,"Myelosuppression, Infections, Anaphylaxis, Infusion Reactions, Tumor Lysis Syndrome, Skin Reactions, Other Malignancies, Extravasation injury, pyrexia, nausea, vomiting, lymphopenia, anemia, leukopenia, thrombocytopenia, neutropenia, asthenia, fatigue, malaise, weakness, dry mouth, somnolence, cough, constipation, headache, mucosal inflammation, stomatitis, worsening hypertension, hypertensive crisis, hypersensitivity, bilirubin elevations, AST and ALT elevations, creatinine levels changes, tachycardia, diarrhea, abdominal pain, chills, edema, chest pain, pneumonia, febrile neutropenia, dehydration, weight decreased, hyperuricemia, rash, pruritus, back pain, arthralgia, bone pain, dizziness, dysgeusia, insomnia, anxiety, depression, pharyngolaryngeal pain, wheezing, nasal congestion, dry skin, night sweats, hyperhidrosis, hypotension, hyperglycemia, elevated creatinine, hyponatremia, hypocalcemia, acute renal failure, cardiac failure, pulmonary fibrosis, myelodysplastic syndrome, hemolysis, taste disorder, atypical pneumonia, sepsis, erythema, dermatitis, skin necrosis, anaphylaxis, phlebitis, pruritus, irritation, pain, swelling, pneumocystis jiroveci pneumonia, pneumonitis, Stevens-Johnson Syndrome (SJS), Toxic Epidermal Necrolysis (TEN)."
TREANDA,warnings and precautions,"Myelosuppression, myelosuppression-related adverse reactions, infections, anaphylaxis, infusion reactions, tumor lysis syndrome, skin reactions, SJS, TEN, other malignancies, extravasation, embryo-fetal toxicity"
CHOLINE,adverse reactions,"injection site reaction, adverse reactions"
CHOLINE,warnings and precautions,"Imaging errors, Allergic reactions, Radiation risk"
ERWINAZE,adverse reactions,"hypersensitivity reactions, pancreatitis, glucose intolerance, thrombosis, hemorrhage, hyperglycemia, transaminases abnormal, fever, local reactions, vomiting, nausea, hyperbilirubinemia, abdominal pain/discomfort, diarrhea"
ERWINAZE,warnings and precautions,"anaphylaxis, hypersensitivity reactions, pancreatitis, glucose intolerance, thrombosis, hemorrhage"
TRULICITY,adverse reactions,"Thyroid C-cell Tumors, Pancreatitis, Hypoglycemia, Hypersensitivity reactions, Renal impairment, Severe Gastrointestinal Disease, Nausea, Diarrhea, Vomiting, Abdominal Pain, Decreased Appetite, Dyspepsia, Fatigue, Constipation, Flatulence, Abdominal distension, Gastroesophageal reflux disease, Eructation, Hypoglycemia, Heart Rate Increase, Tachycardia, Immunogenicity, Hypersensitivity, Injection-site Reactions, PR Interval Prolongation, First Degree Atrioventricular Block, Amylase and Lipase Increase"
TRULICITY,boxed warnings,"thyroid C-cell tumors, adenomas, carcinomas, medullary thyroid carcinoma (MTC), Multiple Endocrine Neoplasia syndrome type 2 (MEN 2)"
TRULICITY,warnings and precautions,"Thyroid C-cell Tumors, Pancreatitis, Hypoglycemia, Hypersensitivity Reactions, Renal Impairment, Severe Gastrointestinal Disease, Macrovascular Outcomes"
ADREVIEW,adverse reactions,"hypersensitivity reactions, dizziness, rash, pruritis, flushing, headache, injection site hemorrhage"
ADREVIEW,warnings and precautions,"hypersensitivity reactions, anaphylactic, benzyl alcohol, toxicity, renal impairment, radiation exposure, thyroid accumulation"
DOTAREM,adverse reactions,"The adverse drug event terms found in the text are:

NSF, bradycardia, tachycardia, arrhythmia, hypersensitivity, anaphylactoid reactions, cardiac arrest, respiratory arrest, cyanosis, pharyngeal edema, laryngospasm, bronchospasm, angioedema, conjunctivitis, ocular hyperemia, eyelid edema, lacrimation increased, hyperhidrosis, urticaria, coma, convulsion, syncope, presyncope, parosmia, tremor, muscle contracture, muscle weakness, diarrhea, salivary hypersecretion, malaise, fever, skin and subcutaneous tissue disorders, superficial phlebitis."
DOTAREM,boxed warnings,"NEPHROGENIC SYSTEMIC FIBROSIS, NSF, Gadolinium-based contrast agents, GBCAs, impaired elimination, chronic kidney disease, severe kidney disease, GFR, acute kidney injury, reduced renal function."
DOTAREM,warnings and precautions,"Nephrogenic Systemic Fibrosis, Hypersensitivity, Anaphylactoid/anaphylactic reactions, cardiovascular, respiratory, cutaneous manifestations, chronic, severe kidney disease, acute kidney injury, fatal, debilitating fibrosis, acute kidney injury, acute kidney injury, renal impairment, extravsation, injection site reactions"
PRADAXA,adverse reactions,"bleeding, gastrointestinal symptoms, dyspepsia, nausea, upper abdominal pain, gastrointestinal hemorrhage, diarrhea, urticaria, rash, pruritus, allergic edema, anaphylactic reaction, anaphylactic shock, angioedema, thrombocytopenia"
PRADAXA,boxed warnings,"thrombotic events, spinal/epidural hematoma, premature discontinuation, pathological bleeding, neuraxial anesthesia, spinal puncture, indwelling epidural catheters, NSAIDs, platelet inhibitors, anticoagulants, neurological impairment, paralysis, hemostasis, anticoagulated"
PRADAXA,warnings and precautions,"risk of bleeding, fatal bleeding, thrombotic events, pathological bleeding, blood loss, hypotension, risk factors for bleeding, reversal of anticoagulant effect, hematoma, major bleeding, pericardial effusions, systemic embolism, deep venous thrombosis, pulmonary embolism"
ELIQUIS,adverse reactions,"thrombotic events, bleeding, spinal/epidural anesthesia, major bleeding, intracranial bleed, hemorrhagic stroke, gastrointestinal bleed, fatal bleeding, hypotension, epistaxis, hematemesis, melena, hematuria, rectal hemorrhage, gingival bleeding, hemoptysis"
ELIQUIS,boxed warnings,"thrombotic events, spinal/epidural hematoma"
ELIQUIS,warnings and precautions,"bleeding, thrombotic events, pathological bleeding, blood loss, epidural hematoma, neurological impairment, prosthetic heart valves"
ZERBAXA,adverse reactions,"Hypersensitivity reactions, Clostridium difficile-associated diarrhea, nausea, diarrhea, headache, pyrexia, constipation, insomnia, vomiting, hypokalemia, ALT increased, AST increased, anemia, thrombocytosis, abdominal pain, anxiety, dizziness, hypotension, atrial fibrillation, rash, increased mortality, tachycardia, angina pectoris, ileus, gastritis, abdominal distension, dyspepsia, flatulence, ileus paralytic, infusion site reactions, candidiasis, oropharyngeal, fungal urinary tract infection, increased serum gamma-glutamyl transpeptidase (GGT), increased serum alkaline phosphatase, positive Coombs test, hyperglycemia, hypomagnesemia, hypophosphatemia, ischemic stroke, renal impairment, renal failure, dyspnea, urticaria, venous thrombosis."
ZERBAXA,warnings and precautions,"decreased efficacy, serious hypersensitivity reactions, anaphylactic, clostridium difficile-associated diarrhea, development of drug-resistant bacteria"
FERRIPROX,adverse reactions,"chromaturia, nausea, vomiting, abdominal pain, alanine aminotransferase increased, arthralgia, neutropenia, agranulocytosis, decreased plasma zinc concentrations, diarrhea, dyspepsia, weight increased, aspartate aminotransferase increased, back pain, pain in extremity, arthropathy, headache, neutrophil count decreased, increased appetite, decreased appetite, thrombocytosis, pancytopenia, atrial fibrillation, cardiac failure, hypospadias, diplopia, papilledema, retinal toxicity, enterocolitis, rectal hemorrhage, gastric ulcer, pancreatitis, parotid gland enlargement, chills, pyrexia, edema peripheral, multi-organ failure, jaundice, hepatomegaly, anaphylactic shock, hypersensitivity, cryptococcal cutaneous infection, enteroviral encephalitis, pharyngitis, pneumonia, sepsis, furuncle, infectious hepatitis, rash pustular, subcutaneous abscess, blood bilirubin increased, blood creatinine phosphokinase increased, metabolic acidosis, dehydration, myositis, chondropathy, trismus, cerebellar syndrome, cerebral hemorrhage, convulsion, gait disturbance, intracranial pressure increased, psychomotor skills impaired, pyramidal tract syndrome, somnolence, bruxism, depression, obsessive-compulsive disorder, glycosuria, hemoglobinuria, acute respiratory distress syndrome, epistaxis, hemoptysis, pulmonary embolism, hyperhidrosis, periorbital edema, photosensitivity reaction, pruritis, urticaria, rash, Henoch-Schonlein purpura, hypotension, hypertension"
FERRIPROX,boxed warnings,"agranulocytosis, neutropenia, infections, death"
FERRIPROX,warnings and precautions,"agranulocytosis, neutropenia, fetal harm, embryofetal toxicity, serum liver enzyme activities"
DALVANCE,adverse reactions,"nausea, headache, diarrhea, vomiting, rash, pruritus, anemia, hemorrhagic anemia, leucopenia, neutropenia, thrombocytopenia, petechiae, eosinophilia, thrombocytosis, gastrointestinal hemorrhage, melena, hematochezia, abdominal pain, infusion-related reactions, hepatotoxicity, anaphylactoid reaction, Clostridium difficile colitis, oral candidiasis, vulvovaginal mycotic infection, hepatic transaminases increased, blood alkaline phosphatase increased, international normalized ratio increased, hypoglycemia, dizziness, bronchospasm, urticaria, flushing, phlebitis, wound hemorrhage, spontaneous hematoma, alanine aminotransferase (ALT) elevations"
DALVANCE,warnings and precautions,"hypersensitivity, anaphylactic, skin reactions, infusion-related reactions, ALT elevations, Clostridium difficile-associated diarrhea, CDAD, drug-resistant bacteria"
