drug_name,section_name,subsection_name,term,meddra_code
XEOMIN,adverse reactions,"Table 2: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ ClassPreferred Term XEOMIN 120 Units(N=77) XEOMIN 240 Units(N=82) Placebo(N=74) Any TEAEs 57% 55% 42% Musculoskeletal and connective tissue disorders 23% 32% 11% Neck pain 7% 15% 4% Muscular weakness 7% 11% 1% Musculoskeletal pain 7% 4% 1% Gastrointestinal disorders 18% 24% 4% Dysphagia 13% 18% 3% Nervous system disorders 16% 17% 7% General disorders and administration site conditions 16% 11% 11% Injection site pain 9% 4% 7% Infections and infestations 14% 13% 11% Respiratory, thoracic and mediastinal disorders 13% 10% 3% Blepharospasm",diarrhea,10012735.0
XEOMIN,adverse reactions,"Table 2: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ ClassPreferred Term XEOMIN 120 Units(N=77) XEOMIN 240 Units(N=82) Placebo(N=74) Any TEAEs 57% 55% 42% Musculoskeletal and connective tissue disorders 23% 32% 11% Neck pain 7% 15% 4% Muscular weakness 7% 11% 1% Musculoskeletal pain 7% 4% 1% Gastrointestinal disorders 18% 24% 4% Dysphagia 13% 18% 3% Nervous system disorders 16% 17% 7% General disorders and administration site conditions 16% 11% 11% Injection site pain 9% 4% 7% Infections and infestations 14% 13% 11% Respiratory, thoracic and mediastinal disorders 13% 10% 3% Blepharospasm",headache,10019211.0
XEOMIN,adverse reactions,"Table 2: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ ClassPreferred Term XEOMIN 120 Units(N=77) XEOMIN 240 Units(N=82) Placebo(N=74) Any TEAEs 57% 55% 42% Musculoskeletal and connective tissue disorders 23% 32% 11% Neck pain 7% 15% 4% Muscular weakness 7% 11% 1% Musculoskeletal pain 7% 4% 1% Gastrointestinal disorders 18% 24% 4% Dysphagia 13% 18% 3% Nervous system disorders 16% 17% 7% General disorders and administration site conditions 16% 11% 11% Injection site pain 9% 4% 7% Infections and infestations 14% 13% 11% Respiratory, thoracic and mediastinal disorders 13% 10% 3% Blepharospasm",visual impairment,10047571.0
XEOMIN,adverse reactions,"Table 2: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ ClassPreferred Term XEOMIN 120 Units(N=77) XEOMIN 240 Units(N=82) Placebo(N=74) Any TEAEs 57% 55% 42% Musculoskeletal and connective tissue disorders 23% 32% 11% Neck pain 7% 15% 4% Muscular weakness 7% 11% 1% Musculoskeletal pain 7% 4% 1% Gastrointestinal disorders 18% 24% 4% Dysphagia 13% 18% 3% Nervous system disorders 16% 17% 7% General disorders and administration site conditions 16% 11% 11% Injection site pain 9% 4% 7% Infections and infestations 14% 13% 11% Respiratory, thoracic and mediastinal disorders 13% 10% 3% Blepharospasm",dyspnea,10013968.0
XEOMIN,adverse reactions,"Table 2: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ ClassPreferred Term XEOMIN 120 Units(N=77) XEOMIN 240 Units(N=82) Placebo(N=74) Any TEAEs 57% 55% 42% Musculoskeletal and connective tissue disorders 23% 32% 11% Neck pain 7% 15% 4% Muscular weakness 7% 11% 1% Musculoskeletal pain 7% 4% 1% Gastrointestinal disorders 18% 24% 4% Dysphagia 13% 18% 3% Nervous system disorders 16% 17% 7% General disorders and administration site conditions 16% 11% 11% Injection site pain 9% 4% 7% Infections and infestations 14% 13% 11% Respiratory, thoracic and mediastinal disorders 13% 10% 3% Blepharospasm",nasopharyngitis,10028810.0
XEOMIN,adverse reactions,"Table 2: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ ClassPreferred Term XEOMIN 120 Units(N=77) XEOMIN 240 Units(N=82) Placebo(N=74) Any TEAEs 57% 55% 42% Musculoskeletal and connective tissue disorders 23% 32% 11% Neck pain 7% 15% 4% Muscular weakness 7% 11% 1% Musculoskeletal pain 7% 4% 1% Gastrointestinal disorders 18% 24% 4% Dysphagia 13% 18% 3% Nervous system disorders 16% 17% 7% General disorders and administration site conditions 16% 11% 11% Injection site pain 9% 4% 7% Infections and infestations 14% 13% 11% Respiratory, thoracic and mediastinal disorders 13% 10% 3% Blepharospasm",respiratory tract infection,10062352.0
XEOMIN,adverse reactions,"Table 3: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ Class Preferred Term XEOMIN(N=74) Placebo(N=34) Subjects with TEAEs 70% 62% Eye disorders 38% 21% Eyelid ptosis 19% 9% Dry eye 16% 12% Visual impairment 12% 6% Gastrointestinal disorders 30% 15% Dry mouth 16% 3% Diarrhoea 8% - Infections and infestations 20% 15% Nasopharyngitis 5% 3% Respiratory tract infection 5% 3% Nervous system disorders 14% 9% Headache 7% 3% General disorders and administration site conditions 11% 9% Respiratory, thoracic and mediastinal disorders 11% 3% Dyspnoea 5% 3% Glabellar Lines",headache,10019211.0
XEOMIN,adverse reactions,"Table 3: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ Class Preferred Term XEOMIN(N=74) Placebo(N=34) Subjects with TEAEs 70% 62% Eye disorders 38% 21% Eyelid ptosis 19% 9% Dry eye 16% 12% Visual impairment 12% 6% Gastrointestinal disorders 30% 15% Dry mouth 16% 3% Diarrhoea 8% - Infections and infestations 20% 15% Nasopharyngitis 5% 3% Respiratory tract infection 5% 3% Nervous system disorders 14% 9% Headache 7% 3% General disorders and administration site conditions 11% 9% Respiratory, thoracic and mediastinal disorders 11% 3% Dyspnoea 5% 3% Glabellar Lines",facial paresis,10051267.0
XEOMIN,adverse reactions,"Table 3: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ Class Preferred Term XEOMIN(N=74) Placebo(N=34) Subjects with TEAEs 70% 62% Eye disorders 38% 21% Eyelid ptosis 19% 9% Dry eye 16% 12% Visual impairment 12% 6% Gastrointestinal disorders 30% 15% Dry mouth 16% 3% Diarrhoea 8% - Infections and infestations 20% 15% Nasopharyngitis 5% 3% Respiratory tract infection 5% 3% Nervous system disorders 14% 9% Headache 7% 3% General disorders and administration site conditions 11% 9% Respiratory, thoracic and mediastinal disorders 11% 3% Dyspnoea 5% 3% Glabellar Lines",injection site hematoma,10022066.0
XEOMIN,adverse reactions,"Table 3: Most Common TEAEs (>=5%) and Greater than Placebo: Double-Blind Phase of Clinical Trial Double-Blind Phase System Organ Class Preferred Term XEOMIN(N=74) Placebo(N=34) Subjects with TEAEs 70% 62% Eye disorders 38% 21% Eyelid ptosis 19% 9% Dry eye 16% 12% Visual impairment 12% 6% Gastrointestinal disorders 30% 15% Dry mouth 16% 3% Diarrhoea 8% - Infections and infestations 20% 15% Nasopharyngitis 5% 3% Respiratory tract infection 5% 3% Nervous system disorders 14% 9% Headache 7% 3% General disorders and administration site conditions 11% 9% Respiratory, thoracic and mediastinal disorders 11% 3% Dyspnoea 5% 3% Glabellar Lines",eyelid edema,10015993.0
XEOMIN,adverse reactions,"Table 4: Adverse Reactions in Placebo-Controlled Trials Adverse reactions XEOMIN(N=535) (%) Placebo(N=268) (%) Nervous system disorders 33 (6.1) 6 (2.2) Headache 1 29 (5.4) 6 (2.2) Facial paresis (brow ptosis) 4 (0.7) 0 General disorders and administration site conditions 5 (0.9) 2 (0.7) Injection site hematoma 3 (0.6) 0 Injection site pain 1 (0.2) 0 Facial pain 1 (0.2) 0 Injection site swelling 0 1 (0.4) Sensation of pressure 0 1 (0.4) Eye disorders 5 (0.9) 0 Eyelid edema 2 (0.4) 0 Blepharospasm 1 (0.2) 0 Eye disorder 1(0.2) 0 Eyelid ptosis 1(0.2) 0 In open label, multiple dose trials, adverse reactions were reported for 105 of the 800 subjects (13.1%). Headache was the most common adverse reaction, reported for 57 subjects (7.1%), followed by injection site hematoma in 8 subjects (1.0%). Adverse reactions reported in less than 1% of subjects were: facial paresis (brow ptosis), muscle disorder (elevation of eyebrow), injection site pain, and eyelid edema.","if the input text on which to find the adverse drug event terms is ""nan""",
XEOMIN,adverse reactions,"Table 4: Adverse Reactions in Placebo-Controlled Trials Adverse reactions XEOMIN(N=535) (%) Placebo(N=268) (%) Nervous system disorders 33 (6.1) 6 (2.2) Headache 1 29 (5.4) 6 (2.2) Facial paresis (brow ptosis) 4 (0.7) 0 General disorders and administration site conditions 5 (0.9) 2 (0.7) Injection site hematoma 3 (0.6) 0 Injection site pain 1 (0.2) 0 Facial pain 1 (0.2) 0 Injection site swelling 0 1 (0.4) Sensation of pressure 0 1 (0.4) Eye disorders 5 (0.9) 0 Eyelid edema 2 (0.4) 0 Blepharospasm 1 (0.2) 0 Eye disorder 1(0.2) 0 Eyelid ptosis 1(0.2) 0 In open label, multiple dose trials, adverse reactions were reported for 105 of the 800 subjects (13.1%). Headache was the most common adverse reaction, reported for 57 subjects (7.1%), followed by injection site hematoma in 8 subjects (1.0%). Adverse reactions reported in less than 1% of subjects were: facial paresis (brow ptosis), muscle disorder (elevation of eyebrow), injection site pain, and eyelid edema.","it appears there might have been an error as ""nan"" typically signifies ""not a number"" or that the data is missing. without an actual drug label excerpt",
XEOMIN,adverse reactions,"Table 4: Adverse Reactions in Placebo-Controlled Trials Adverse reactions XEOMIN(N=535) (%) Placebo(N=268) (%) Nervous system disorders 33 (6.1) 6 (2.2) Headache 1 29 (5.4) 6 (2.2) Facial paresis (brow ptosis) 4 (0.7) 0 General disorders and administration site conditions 5 (0.9) 2 (0.7) Injection site hematoma 3 (0.6) 0 Injection site pain 1 (0.2) 0 Facial pain 1 (0.2) 0 Injection site swelling 0 1 (0.4) Sensation of pressure 0 1 (0.4) Eye disorders 5 (0.9) 0 Eyelid edema 2 (0.4) 0 Blepharospasm 1 (0.2) 0 Eye disorder 1(0.2) 0 Eyelid ptosis 1(0.2) 0 In open label, multiple dose trials, adverse reactions were reported for 105 of the 800 subjects (13.1%). Headache was the most common adverse reaction, reported for 57 subjects (7.1%), followed by injection site hematoma in 8 subjects (1.0%). Adverse reactions reported in less than 1% of subjects were: facial paresis (brow ptosis), muscle disorder (elevation of eyebrow), injection site pain, and eyelid edema.",i cannot identify any adverse drug event terms. please provide the correct text for analysis.,
XEOMIN,adverse reactions,6.2 Immunogenicity,immunogenicity,
XEOMIN,adverse reactions,6.2 Immunogenicity,antibody formation,
XEOMIN,adverse reactions,6.2 Immunogenicity,antibody positivity,
XEOMIN,adverse reactions,6.3 Postmarketing Experience,eye swelling,10015967.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,eyelid edema,10015993.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,dysphagia,10013950.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,nausea,10028813.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,flu-like symptoms,10016797.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,injection site pain,10022086.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,injection site reaction,10022095.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,allergic dermatitis,10001711.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,swelling,10042674.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,edema,10030095.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,erythema,10015150.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,pruritus,10037087.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,rash,10037844.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,herpes zoster,10019974.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,muscular weakness,10028372.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,muscle spasm,10028333.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,dysarthria,10013887.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,myalgia,10028411.0
XEOMIN,adverse reactions,6.3 Postmarketing Experience,hypersensitivity,10020751.0
XEOMIN,boxed warnings,BOXED WARNING: WARNING: DISTANT SPREAD OF TOXIN EFFECT,"if the input text is ""nan""",
XEOMIN,boxed warnings,BOXED WARNING: WARNING: DISTANT SPREAD OF TOXIN EFFECT,this implies that there is no text provided from which i can extract adverse drug event terms. therefore,
XEOMIN,boxed warnings,BOXED WARNING: WARNING: DISTANT SPREAD OF TOXIN EFFECT,i cannot provide a list of terms without the actual content. if you have an excerpt from a drug label you want to analyze,
XEOMIN,boxed warnings,BOXED WARNING: WARNING: DISTANT SPREAD OF TOXIN EFFECT,please provide the text,
XEOMIN,boxed warnings,BOXED WARNING: WARNING: DISTANT SPREAD OF TOXIN EFFECT,and i can help identify the adverse drug event terms.,
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,asthenia,10003549.0
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,generalized muscle weakness,10062572.0
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,diplopia,10013036.0
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,blurred vision,10005886.0
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,ptosis,10037272.0
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,dysphagia,10013950.0
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,dysphonia,10013952.0
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,dysarthria,10013887.0
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,urinary incontinence,10046543.0
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,breathing difficulties,
XEOMIN,boxed warnings,WARNING: DISTANT SPREAD OF TOXIN EFFECT,swallowing difficulties,
XEOMIN,boxed warnings,EXCERPT: WARNING: DISTANT SPREAD OF TOXIN EFFECT,swallowing difficulties,
XEOMIN,boxed warnings,EXCERPT: WARNING: DISTANT SPREAD OF TOXIN EFFECT,breathing difficulties,
XEOMIN,boxed warnings,EXCERPT: WARNING: DISTANT SPREAD OF TOXIN EFFECT,death,10011906.0
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,respiratory difficulties,
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,speech difficulties,
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,swallowing difficulties,
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,compromised respiratory function,
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,dysphagia,10013950.0
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,exacerbate clinical effects,
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,corneal exposure,
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,ulceration,10080913.0
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,reduced blinking,
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,corneal ulceration,10011060.0
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,corneal perforation,10011039.0
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,diplopia,10013036.0
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,ptosis.,
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,asthenia,10003549.0
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,generalized muscle weakness,10062572.0
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,diplopia,10013036.0
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,blurred vision,10005886.0
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,ptosis,10037272.0
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,dysphagia,10013950.0
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,dysphonia,10013952.0
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,dysarthria,10013887.0
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,urinary incontinence,10046543.0
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,breathing difficulties,
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,swallowing difficulties,
XEOMIN,warnings and precautions,5.2 Lack of Interchangeability between Botulinum Toxin Products,the provided text does not contain any specific adverse drug event terms. it primarily discusses the potency units of the drug xeomin and how they are not interchangeable with other botulinum toxin products. it is a caution about dosing rather than a description of side effects or adverse events.,
XEOMIN,warnings and precautions,5.3 Hypersensitivity Reactions,anaphylaxis,10002218.0
XEOMIN,warnings and precautions,5.3 Hypersensitivity Reactions,serum sickness,10040400.0
XEOMIN,warnings and precautions,5.3 Hypersensitivity Reactions,urticaria,10046735.0
XEOMIN,warnings and precautions,5.3 Hypersensitivity Reactions,soft tissue edema,
XEOMIN,warnings and precautions,5.3 Hypersensitivity Reactions,dyspnea,10013968.0
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,swallowing difficulties,
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,breathing difficulties,
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,weakening of muscles,
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,severe dysphagia,
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,use of a feeding tube,
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,aspiration,10003504.0
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,weaken neck muscles,
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,loss of breathing capacity,
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,serious breathing difficulties,
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,respiratory failure,10038695.0
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,dysphagia,10013950.0
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,problems with swallowing,
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,speech disorders,
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,respiratory disorders,
XEOMIN,warnings and precautions,5.5 Pre-existing Neuromuscular Disorders and other Special Populations,peripheral motor neuropathic diseases,
XEOMIN,warnings and precautions,5.5 Pre-existing Neuromuscular Disorders and other Special Populations,amyotrophic lateral sclerosis,10002026.0
XEOMIN,warnings and precautions,5.5 Pre-existing Neuromuscular Disorders and other Special Populations,neuromuscular junctional disorders,
XEOMIN,warnings and precautions,5.5 Pre-existing Neuromuscular Disorders and other Special Populations,myasthenia gravis,10028417.0
XEOMIN,warnings and precautions,5.5 Pre-existing Neuromuscular Disorders and other Special Populations,lambert-eaton syndrome,
XEOMIN,warnings and precautions,5.5 Pre-existing Neuromuscular Disorders and other Special Populations,severe dysphagia,
XEOMIN,warnings and precautions,5.5 Pre-existing Neuromuscular Disorders and other Special Populations,respiratory compromise,10082862.0
XEOMIN,warnings and precautions,"5.6 Corneal Exposure, Corneal Ulceration, and Ectropion in Patients Treated with XEOMIN for Blepharospasm",reduced blinking,
XEOMIN,warnings and precautions,"5.6 Corneal Exposure, Corneal Ulceration, and Ectropion in Patients Treated with XEOMIN for Blepharospasm",corneal exposure,
XEOMIN,warnings and precautions,"5.6 Corneal Exposure, Corneal Ulceration, and Ectropion in Patients Treated with XEOMIN for Blepharospasm",persistent epithelial defect,
XEOMIN,warnings and precautions,"5.6 Corneal Exposure, Corneal Ulceration, and Ectropion in Patients Treated with XEOMIN for Blepharospasm",corneal ulceration,10011060.0
XEOMIN,warnings and precautions,"5.6 Corneal Exposure, Corneal Ulceration, and Ectropion in Patients Treated with XEOMIN for Blepharospasm",ectropion,10014179.0
XEOMIN,warnings and precautions,"5.6 Corneal Exposure, Corneal Ulceration, and Ectropion in Patients Treated with XEOMIN for Blepharospasm",narrow angle glaucoma,
XEOMIN,warnings and precautions,"5.6 Corneal Exposure, Corneal Ulceration, and Ectropion in Patients Treated with XEOMIN for Blepharospasm",ecchymosis,10014080.0
XEOMIN,warnings and precautions,5.7 Risk of Ptosis in Patients Treated with XEOMIN for Glabellar Lines,ptosis,10037272.0
XEOMIN,warnings and precautions,5.7 Risk of Ptosis in Patients Treated with XEOMIN for Glabellar Lines,transmission of viral diseases,
XEOMIN,warnings and precautions,5.7 Risk of Ptosis in Patients Treated with XEOMIN for Glabellar Lines,creutzfeldt-jakob disease (cjd),
QUTENZA,adverse reactions,6 ADVERSE REACTIONS,application-associated pain,
QUTENZA,adverse reactions,6 ADVERSE REACTIONS,increase in blood pressure,
QUTENZA,adverse reactions,6 ADVERSE REACTIONS,application site erythema,10003041.0
QUTENZA,adverse reactions,6 ADVERSE REACTIONS,application site pain,10003051.0
QUTENZA,adverse reactions,6 ADVERSE REACTIONS,application site pruritus,10003053.0
QUTENZA,adverse reactions,6 ADVERSE REACTIONS,application site papules,10049043.0
QUTENZA,adverse reactions,6.1 Clinical Trials Experience,adverse reaction,10067484.0
QUTENZA,adverse reactions,6.1 Clinical Trials Experience,adverse event,10060933.0
QUTENZA,adverse reactions,6.1 Clinical Trials Experience,application site erythema,10003041.0
QUTENZA,adverse reactions,6.1 Clinical Trials Experience,application site pain,10003051.0
QUTENZA,adverse reactions,6.1 Clinical Trials Experience,application site pruritus,10003053.0
QUTENZA,adverse reactions,6.1 Clinical Trials Experience,application site papules,10049043.0
QUTENZA,adverse reactions,"Table 1 summarizes all adverse reactions, regardless of causality, occurring in >= 1% of patients with postherpetic neuralgia in the Qutenza group for which the incidence was greater than in the control group. The majority of application site reactions were transient and self-limited. Transient increases in pain were commonly observed on the day of treatment in patients treated with Qutenza. Pain increases occurring during patch application usually began to resolve after patch removal. On average, pain scores returned to baseline by the end of the treatment day and then remained at or below baseline levels. A majority of Qutenza-treated patients in clinical studies had adverse reactions with a maximum intensity of ""mild"" or ""moderate"".",application site erythema,10003041.0
QUTENZA,adverse reactions,"Table 1 summarizes all adverse reactions, regardless of causality, occurring in >= 1% of patients with postherpetic neuralgia in the Qutenza group for which the incidence was greater than in the control group. The majority of application site reactions were transient and self-limited. Transient increases in pain were commonly observed on the day of treatment in patients treated with Qutenza. Pain increases occurring during patch application usually began to resolve after patch removal. On average, pain scores returned to baseline by the end of the treatment day and then remained at or below baseline levels. A majority of Qutenza-treated patients in clinical studies had adverse reactions with a maximum intensity of ""mild"" or ""moderate"".",application site pain,10003051.0
