drug_name,section_name,subsection_name,gpt4_output
XEOMIN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"respiratory difficulties, speech difficulties, swallowing difficulties, compromised respiratory function, dysphagia, exacerbate clinical effects, corneal exposure, ulceration, reduced blinking, corneal ulceration, corneal perforation, diplopia, ptosis."
XEOMIN,warnings and precautions,5.1 Spread of Toxin Effect,"asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, swallowing difficulties"
XEOMIN,warnings and precautions,5.2 Lack of Interchangeability between Botulinum Toxin Products,The provided text does not contain any specific adverse drug event terms. It primarily discusses the potency units of the drug XEOMIN and how they are not interchangeable with other botulinum toxin products. It is a caution about dosing rather than a description of side effects or adverse events.
XEOMIN,warnings and precautions,5.3 Hypersensitivity Reactions,"anaphylaxis, serum sickness, urticaria, soft tissue edema, dyspnea"
XEOMIN,warnings and precautions,5.4 Dysphagia and Breathing Difficulties in Treatment of Cervical Dystonia,"swallowing difficulties, breathing difficulties, weakening of muscles, severe dysphagia, use of a feeding tube, aspiration, weaken neck muscles, loss of breathing capacity, serious breathing difficulties, respiratory failure, dysphagia, problems with swallowing, speech disorders, respiratory disorders"
XEOMIN,warnings and precautions,5.5 Pre-existing Neuromuscular Disorders and other Special Populations,"peripheral motor neuropathic diseases, amyotrophic lateral sclerosis, neuromuscular junctional disorders, myasthenia gravis, Lambert-Eaton syndrome, severe dysphagia, respiratory compromise"
XEOMIN,warnings and precautions,"5.6 Corneal Exposure, Corneal Ulceration, and Ectropion in Patients Treated with XEOMIN for Blepharospasm","reduced blinking, corneal exposure, persistent epithelial defect, corneal ulceration, ectropion, narrow angle glaucoma, ecchymosis"
XEOMIN,warnings and precautions,5.7 Risk of Ptosis in Patients Treated with XEOMIN for Glabellar Lines,"ptosis, transmission of viral diseases, Creutzfeldt-Jakob disease (CJD)"
QUTENZA,adverse reactions,6 ADVERSE REACTIONS,"Application-Associated Pain, Increase in Blood Pressure, application site erythema, application site pain, application site pruritus, application site papules"
QUTENZA,adverse reactions,6.1 Clinical Trials Experience,"adverse reaction, adverse event, application site erythema, application site pain, application site pruritus, application site papules"
QUTENZA,adverse reactions,"Table 1 summarizes all adverse reactions, regardless of causality, occurring in >= 1% of patients with postherpetic neuralgia in the Qutenza group for which the incidence was greater than in the control group. The majority of application site reactions were transient and self-limited. Transient increases in pain were commonly observed on the day of treatment in patients treated with Qutenza. Pain increases occurring during patch application usually began to resolve after patch removal. On average, pain scores returned to baseline by the end of the treatment day and then remained at or below baseline levels. A majority of Qutenza-treated patients in clinical studies had adverse reactions with a maximum intensity of ""mild"" or ""moderate"".","Application Site Erythema, Application Site Pain, Application Site Pruritus, Application Site Papules, Application Site Edema, Application Site Swelling, Application Site Dryness, Nasopharyngitis, Bronchitis, Sinusitis, Nausea, Vomiting, Pruritus, Hypertension, Application site urticaria, Application site paresthesia, Application site dermatitis, Application site hyperesthesia, Application site excoriation, Application site warmth, Application site anesthesia, Application site bruising, Application site inflammation, Application site exfoliation, Peripheral edema, Headache, Burning sensation, Peripheral sensory neuropathy, Dizziness, Dysgeusia, Hyperesthesia, Hypoesthesia, Cough, Throat irritation, Abnormal skin odor"
QUTENZA,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"eyes irritation, mucous membranes irritation, coughing, sneezing, skin irritation, transient increases in blood pressure"
QUTENZA,warnings and precautions,5.1 Eye and Mucous Membrane Exposure,"exposure to the eyes, mucous membranes"
QUTENZA,warnings and precautions,5.2 Aerosolization of Capsaicin,"aerosolization of capsaicin, irritation of eyes, irritation of airways, coughing, sneezing, shortness of breath"
QUTENZA,warnings and precautions,5.3 Unintended Skin Exposure,There are no specific adverse drug event terms mentioned in this excerpt from a drug label. It merely provides instructions for what to do if the skin comes into contact with the drug Qutenza.
QUTENZA,warnings and precautions,5.4 Application Associated Pain,"procedural pain, acute pain, affect the ability to perform potentially hazardous activities"
QUTENZA,warnings and precautions,5.5 Increase in Blood Pressure,"increases in blood pressure, treatment-related increases in pain, adverse cardiovascular effects"
ZYTIGA,adverse reactions,6 ADVERSE REACTIONS,"hypertension, hypokalemia, fluid retention, adrenocortical insufficiency, hepatotoxicity, fatigue, joint swelling, discomfort, edema, hot flush, diarrhea, vomiting, cough, dyspnea, urinary tract infection, contusion, anemia, elevated alkaline phosphatase, hypertriglyceridemia, lymphopenia, hypercholesterolemia, hyperglycemia, elevated AST, hypophosphatemia, elevated ALT."
ZYTIGA,adverse reactions,6.1 Clinical Trial Experience,"fatigue, joint swelling or discomfort, edema, hot flush, diarrhea, vomiting, cough, hypertension, dyspnea, urinary tract infection, contusion, anemia, elevated alkaline phosphatase, hypertriglyceridemia, lymphopenia, hypercholesterolemia, hyperglycemia, elevated AST, hypophosphatemia, elevated ALT, hypokalemia"
ZYTIGA,adverse reactions,Table 1 shows adverse reactions on the ZYTIGA arm in Study 1 that occurred with a >=2% absolute increase in frequency compared to placebo or were events of special interest. The median duration of treatment with ZYTIGA was 8 months.,"If the input provided is ""nan"", this suggests that it is either a placeholder indicating that the information is not applicable or not available. Without any actual content from a drug label, I cannot identify any adverse drug event terms. Therefore, if ""nan"" is all that is provided, I cannot return a list of terms. If you have an actual excerpt from a drug label you'd like to analyze, please provide it, and I can assist with identifying any adverse drug events listed within that text."
ZYTIGA,adverse reactions,"Table 1: Adverse Reactions due to ZYTIGA in Study 1 ZYTIGA with Prednisone(N=791) Placebo with Prednisone(N=394) System/Organ Class Adverse reaction All Grades% Grade 3-4% All Grades% Grade 3-4% Musculoskeletal and connective tissue disorders Joint swelling/discomfort 29.5 4.2 23.4 4.1 Muscle discomfort 26.2 3.0 23.1 2.3 General disorders Edema 26.7 1.9 18.3 0.8 Vascular disorders Hot flush 19.0 0.3 16.8 0.3 Hypertension 8.5 1.3 6.9 0.3 Gastrointestinal disorders Diarrhea 17.6 0.6 13.5 1.3 Dyspepsia 6.1 0 3.3 0 Infections and infestations Urinary tract infection 11.5 2.1 7.1 0.5 Upper respiratory tract infection 5.4 0 2.5 0 Respiratory, thoracic and mediastinal disorders Cough 10.6 0 7.6 0 Renal and urinary disorders Urinary frequency 7.2 0.3 5.1 0.3 Nocturia 6.2 0 4.1 0 Injury, poisoning and procedural complications Fractures 5.9 1.4 2.3 0 Cardiac disorders Arrhythmia 7.2 1.1 4.6 1.0 Chest pain or chest discomfort 3.8 0.5 2.8 0 Cardiac failure 2.3 1.9 1.0 0.3 Table 2 shows laboratory abnormalities of interest from Study 1. Grade 3-4 low serum phosphorus (7%) and low potassium (5%) occurred at a greater than or equal to 5% rate in the ZYTIGA arm.","Since the input provided is ""nan"" which typically stands for 'not a number' and does not contain any drug label information, there are no adverse drug event terms to list. If you provide an actual excerpt of a drug label, I would be happy to identify any adverse drug event terms for you."
ZYTIGA,adverse reactions,Table 2: Laboratory Abnormalities of Interest in Study 1 Abiraterone (N=791) Placebo (N=394) Laboratory Abnormality All Grades (%) Grade 3-4 (%) All Grades (%) Grade 3-4 (%) Hypertriglyceridemia 62.5 0.4 53.0 0 High AST 30.6 2.1 36.3 1.5 Hypokalemia 28.3 5.3 19.8 1.0 Hypophosphatemia 23.8 7.2 15.7 5.8 High ALT 11.1 1.4 10.4 0.8 High Total Bilirubin 6.6 0.1 4.6 0 Study 2: Metastatic CRPC Prior to Chemotherapy,"AST and/or ALT >=2.5* ULN, liver metastases"
ZYTIGA,adverse reactions,Table 3 shows adverse reactions on the ZYTIGA arm in Study 2 that occurred with a >=2% absolute increase in frequency compared to placebo. The median duration of treatment with ZYTIGA was 13.8 months.,"As the provided input is ""nan"", which generally signifies 'not a number' or 'not applicable' and does not contain any drug label excerpt or adverse drug event terms, I am unable to provide any terms. If you provide an actual excerpt, I would then be able to extract the adverse drug event terms for you."
ZYTIGA,adverse reactions,"Table 3: Adverse Reactions in >=5% of Patients on the ZYTIGA Arm in Study 2 ZYTIGA with Prednisone (N=542) Placebo with Prednisone (N=540) System/Organ Class Adverse reaction All Grades% Grade 3-4% All Grades% Grade 3-4% General disorders Fatigue 39.1 2.2 34.3 1.7 Edema 25.1 0.4 20.7 1.1 Pyrexia 8.7 0.6 5.9 0.2 Musculoskeletal and connective tissue disorders Joint swelling/discomfort 30.3 2.0 25.2 2.0 Groin pain 6.6 0.4 4.1 0.7 Gastrointestinal disorders Constipation 23.1 0.4 19.1 0.6 Diarrhea 21.6 0.9 17.8 0.9 Dyspepsia 11.1 0.0 5.0 0.2 Vascular disorders Hot flush 22.3 0.2 18.1 0.0 Hypertension 21.6 3.9 13.1 3.0 Respiratory, thoracic and mediastinal disorders Cough 17.3 0.0 13.5 0.2 Dyspnea 11.8 2.4 9.6 0.9 Psychiatric disorders Insomnia 13.5 0.2 11.3 0.0 Injury, poisoning and procedural complications Contusion 13.3 0.0 9.1 0.0 Falls 5.9 0.0 3.3 0.0 Infections and infestations Upper respiratory tract infection 12.7 0.0 8.0 0.0 Nasopharyngitis 10.7 0.0 8.1 0.0 Renal and urinary disorders Hematuria 10.3 1.3 5.6 0.6 Skin and subcutaneous tissue disorders Rash 8.1 0.0 3.7 0.0 Table 4 shows laboratory abnormalities that occurred in greater than 15% of patients, and more frequently (>5%) in the ZYTIGA arm compared to placebo in Study 2. Grade 3-4 lymphopenia (9%), hyperglycemia (7%) and high alanine aminotransferase (6%) occurred at a greater than 5% rate in the ZYTIGA arm.","If the input is ""nan"", it seems to be indicating there is no text provided (as ""nan"" typically stands for ""not a number"", which is often used to signify a missing value in data). Without a provided excerpt of a drug label, I cannot extract any adverse drug event terms. Please provide the actual text excerpt from the drug label for analysis."
ZYTIGA,adverse reactions,Table 4: Laboratory Abnormalities in >15% of Patients in the ZYTIGA Arm of Study 2 Abiraterone (N=542) Placebo (N=540) Laboratory Abnormality Grade 1-4% Grade 3-4% Grade 1-4% Grade 3-4% Hematology Lymphopenia 38.2 8.7 31.7 7.4 Chemistry Hyperglycemia 56.6 6.5 50.9 5.2 High ALT 41.9 6.1 29.1 0.7 High AST 37.3 3.1 28.7 1.1 Hypernatremia 32.8 0.4 25.0 0.2 Hypokalemia 17.2 2.8 10.2 1.7 Cardiovascular Adverse Reactions:,"cardiac failure, Grade 3-4 cardiac failure, arrhythmias, sudden death, cardiorespiratory arrest, myocardial ischemia, myocardial infarction"
ZYTIGA,adverse reactions,6.2 Post Marketing Experience,"non-infectious pneumonitis, myopathy, rhabdomyolysis"
ZYTIGA,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"hypertension, hypokalemia, fluid retention, edema, hepatotoxicity, adrenocortical insufficiency"
ZYTIGA,warnings and precautions,5.2 Adrenocortical Insufficiency,"Adrenal insufficiency, Adrenocortical insufficiency, mineralocorticoid excess"
ZYTIGA,warnings and precautions,5.3 Hepatotoxicity,"grade 3 or 4 ALT or AST increases, liver test elevation, Treatment discontinuation due to liver enzyme increases, hepatotoxicity events, hepatotoxicity, Elevations of AST, ALT, or bilirubin."
TOVIAZ,adverse reactions,6 ADVERSE REACTIONS,"dry mouth, constipation"
TOVIAZ,adverse reactions,6.1 Clinical Trials Experience,"angina, chest pain, gastroenteritis, QT prolongation on ECG, dry mouth, constipation"
TOVIAZ,adverse reactions,"Table 1 lists adverse events, regardless of causality, that were reported in the combined Phase 3, randomized, placebo-controlled trials at an incidence greater than placebo and in 1% or more of patients treated with Toviaz 4 or 8 mg once daily for up to 12 weeks.","There seems to be a misunderstanding. If you are providing an excerpt of a drug label for me to find adverse drug event terms, but the input you've provided is ""nan"" (which usually stands for 'not a number' or indicates that some data is missing), then I can't extract any information. If you indeed have a drug label excerpt, please provide the text, and then I can assist you in identifying any adverse drug event terms listed within it.

If the input ""nan"" was a mistake and you would like information regarding typical adverse drug events (ADEs) or another question related to pharmacology, please provide the correct input or question."
TOVIAZ,adverse reactions,"Table 1: Adverse events with an incidence exceeding the placebo rate and reported by >=1% of patients from double-blind, placebo-controlled Phase 3 trials of 12 weeks treatment duration System organ class/Preferred term Placebo N=554 % Toviaz 4 mg/day N=554 % Toviaz 8 mg/day N=566 % ALT = alanine aminotransferase; GGT = gamma glutamyltransferase Gastrointestinal disorders Dry mouth 7.0 18.8 34.6 Constipation 2.0 4.2 6.0 Dyspepsia 0.5 1.6 2.3 Nausea 1.3 0.7 1.9 Abdominal pain upper 0.5 1.1 0.5 Infections Urinary tract infection 3.1 3.2 4.2 Upper respiratory tract infection 2.2 2.5 1.8 Eye disorders Dry eyes 0 1.4 3.7 Renal and urinary disorders Dysuria 0.7 1.3 1.6 Urinary retention 0.2 1.1 1.4 Respiratory disorders Cough 0.5 1.6 0.9 Dry throat 0.4 0.9 2.3 General disorders Edema peripheral 0.7 0.7 1.2 Musculoskeletal disorders Back pain 0.4 2.0 0.9 Psychiatric disorders Insomnia 0.5 1.3 0.4 Investigations ALT increased 0.9 0.5 1.2 GGT increased 0.4 0.4 1.2 Skin disorders Rash 0.5 0.7 1.1 Patients also received Toviaz for up to three years in open-label extension phases of one Phase 2 and two Phase 3 controlled trials. In all open-label trials combined, 857, 701, 529, and 105 patients received Toviaz for at least 6 months, 1 year, 2 years, and 3 years, respectively. The adverse events observed during long-term, open-label studies were similar to those observed in the 12-week, placebo-controlled studies, and included dry mouth, constipation, dry eyes, dyspepsia, and abdominal pain. Similar to the controlled studies, most adverse events of dry mouth and constipation were mild to moderate in intensity. Serious adverse events, judged to be at least possibly related to study medication by the investigator and reported more than once during the open-label treatment period of up to 3 years, included urinary retention (3 cases), diverticulitis (3 cases), constipation (2 cases), irritable bowel syndrome (2 cases), and electrocardiogram QT corrected interval prolongation (2 cases).","As there is no actual text from a drug label provided (the input is 'nan' which usually stands for 'not a number' or represents missing data), I am unable to extract any adverse drug event terms. If you provide the actual excerpt from a drug label, I would be able to assist you in identifying the adverse drug event terms within it."
TOVIAZ,adverse reactions,6.2 Post-marketing Experience,"Blurred vision, Palpitations, Hypersensitivity reactions, Angioedema, Airway obstruction, Face edema, Dizziness, Headache, Somnolence, Urticaria, Pruritus"
TOVIAZ,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"Angioedema of the face, lips, tongue, and/or larynx, urinary retention, severe constipation, somnolence"
TOVIAZ,warnings and precautions,5.1 Angioedema,"Angioedema, swelling, life-threatening"
TOVIAZ,warnings and precautions,5.2 Bladder Outlet Obstruction,"clinically significant bladder outlet obstruction, urinary retention"
TOVIAZ,warnings and precautions,5.3 Decreased Gastrointestinal Motility,"decreased gastrointestinal motility, severe constipation"
TOVIAZ,warnings and precautions,5.4 Controlled Narrow-Angle Glaucoma,narrow-angle glaucoma
TOVIAZ,warnings and precautions,5.5 Central Nervous System Effects,"headache, dizziness, somnolence"
TOVIAZ,warnings and precautions,5.6 Hepatic Impairment,severe hepatic impairment
TOVIAZ,warnings and precautions,5.7 Renal Impairment,severe renal impairment
TOVIAZ,warnings and precautions,5.8 Concomitant Administration with CYP3A4 Inhibitors,myasthenia gravis
STRIBILD,adverse reactions,6 ADVERSE REACTIONS,"Lactic Acidosis, Severe Hepatomegaly with Steatosis, Severe Acute Exacerbations of Hepatitis B, New Onset or Worsening Renal Impairment, Bone Effects of Tenofovir DF, Immune Reconstitution Syndrome, nausea, diarrhea"
STRIBILD,adverse reactions,6.1 Adverse Reactions from Clinical Trials Experience,"adverse reaction rates, adverse events, adverse drug reactions"
STRIBILD,adverse reactions,"Table 2 Adverse Drug ReactionsFrequencies of adverse reactions are based on all treatment-emergent adverse events, attributed to study drugs. (all grades) Reported in >= 5% of Subjects in Any Treatment Arm in Studies 102 and 103 (Week 144 analysis). STRIBILDN=701 ATRIPLAN=352 ATV + RTV + TRUVADAN=355 EYE DISORDERS Ocular icterus <1% 0% 13% GASTROINTESTINAL DISORDERS Diarrhea 12% 11% 17% Flatulence 2% <1% 8% Nausea 16% 9% 14% GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS Fatigue 4% 8% 6% HEPATOBILIARY DISORDERS Jaundice 0% <1% 9% NERVOUS SYSTEM DISORDERS Somnolence 1% 7% 1% Headache 7% 4% 6% Dizziness 3% 21% 5% PSYCHIATRIC DISORDERS Insomnia 3% 9% 1% Abnormal dreams 9% 27% 4% SKIN AND SUBCUTANEOUS TISSUE DISORDERS Rash 4% 15% 6% See Warnings and Precautions (5.3) , for a discussion of renal adverse reactions from clinical trials experience with STRIBILD.","suicidal ideation, suicide attempt, nausea, flatulence, headache, depression, abdominal pain, dyspepsia, vomiting, fever, pain, nasopharyngitis, pneumonia, sinusitis, upper respiratory tract infection, arthralgia, back pain, myalgia, paresthesia, peripheral neuropathy, anxiety, increased cough, rhinitis, skin discoloration"
STRIBILD,adverse reactions,"Table 3 Laboratory Abnormalities (Grades 3-4) Reported in >= 2% of Subjects Receiving STRIBILD in Studies 102 and 103 (Week 144 analysis) STRIBILD ATRIPLA ATV + RTV + TRUVADA Laboratory Parameter Abnormality , N=701 N=352 N=355 AST (>5.0 * ULN) 3% 6% 6% ALT (>3.0 * ULN) 2% 5% 4% Amylase(>2.0 * ULN) 3% 3% 5% Creatine Kinase (>= 10.0 * ULN) 8% 15% 11% Urine RBC (Hematuria) (> 75 RBC/HPF) 4% 2% 4% In Study 103, BMD was assessed by DEXA in a non-random subset of 120 subjects (STRIBILD group N = 54; ATV + RTV + TRUVADA group N = 66). Mean percentage decreases in BMD from baseline to Week 144 in the STRIBILD group were comparable to the ATV + RTV + TRUVADA group at the lumbar spine (-1.43% versus -3.68%, respectively) and at the hip (-2.83% versus -3.77%, respectively). In Studies 102 and 103, bone fractures occurred in 27 subjects (3.9%) in the STRIBILD group, 8 subjects (2.3%) in the ATRIPLA group, and 19 subjects (5.4%) in the ATV + RTV + TRUVADA group. These findings were consistent with data from an earlier 144-week trial of treatment-naive subjects receiving tenofovir DF + lamivudine + efavirenz.","Proteinuria, increase serum creatinine, decrease estimated creatinine clearance, elevations in serum creatinine"
STRIBILD,adverse reactions,"Table 4 Change from Baseline in Serum Creatinine and eGFR and Incidence of Elevated Serum Creatinine (All Grades) in Studies 102 and 103 at Week 144 STRIBILD(N=701) ATRIPLA(N=352) ATV + RTV + TRUVADA(N=355) Serum Creatinine (mg/dL) 0.14 (+/-0.14) 0.01 (+/-0.12) 0.09 (+/-0.15) eGFR by Cockcroft-Gault (mL/minute) -14.0 (+/-16.6) -1.9 (+/-17.9) -9.8 (+/-19.4) Subjects with Elevations in Serum Creatinine (All Grades)(%) 12 2 6 Emtricitabine or Tenofovir DF: In addition to the laboratory abnormalities observed with STRIBILD, the following laboratory abnormalities have been previously reported in subjects treated with emtricitabine or tenofovir DF with other antiretroviral agents in other clinical trials: Grade 3 or 4 laboratory abnormalities of ALT (M: greater than 215 U per L; F: greater than 170 U per L), alkaline phosphatase (greater than 550 U per L), bilirubin (greater than 2.5 * ULN), serum glucose (less than 40 or greater than 250 mg per dL), glycosuria (greater than or equal to 3+), neutrophils (less than 750 per mm 3 ), fasting cholesterol (greater than 240 mg per dL), and fasting triglycerides (greater than 750 mg per dL).","lipid lowering agents, total cholesterol, HDL-cholesterol, LDL-cholesterol, triglycerides"
STRIBILD,adverse reactions,"Table 5 Lipid Values, Mean Change from Baseline at Week 144 in Subjects Receiving STRIBILD or Comparator in Studies 102 and 103 STRIBILDN=701 ATRIPLAN=352 ATV + RTV + TRUVADAN=355 Baseline Week 144 Baseline Week 144 Baseline Week 144 mg/dL Change mg/dL Change mg/dL Change Total Cholesterol (fasted) 166[N=675] +17[N=535] 161[N=343] +22[N=262] 168[N=337] +16[N=243] HDL-cholesterol (fasted) 43[N=675] +7[N=535] 43[N=343] +9[N=262] 42[N=335] +7[N=242] LDL-cholesterol (fasted) 100[N=675] +15[N=535] 97[N=343] +19[N=262] 101[N=337] +18[N=242] Triglycerides (fasted) 122[N=675] +12[N=535] 121[N=343] +5[N=262] 132[N=337] +22[N=242] 6.2 Postmarketing Experience The following adverse reactions have been identified during post approval use of tenofovir DF. Because postmarketing reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. No additional postmarketing adverse reactions specific for emtricitabine have been identified.","allergic reaction, angioedema, lactic acidosis, hypokalemia, hypophosphatemia, dyspnea, pancreatitis, increased amylase, abdominal pain, hepatic steatosis, hepatitis, increased liver enzymes, rash, rhabdomyolysis, osteomalacia, muscular weakness, myopathy, acute renal failure, renal failure, acute tubular necrosis, Fanconi syndrome, proximal renal tubulopathy, interstitial nephritis, nephrogenic diabetes insipidus, renal insufficiency, increased creatinine, proteinuria, polyuria, asthenia"
STRIBILD,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"new onset or worsening renal impairment, acute renal failure, Fanconi syndrome, loss of virologic response, adverse reactions, decreases in bone mineral density (BMD), redistribution/accumulation of body fat, immune reconstitution syndrome"
STRIBILD,warnings and precautions,5.1 Lactic Acidosis/Severe Hepatomegaly with Steatosis,"lactic acidosis, severe hepatomegaly with steatosis, fatal cases, obesity, liver disease, hepatotoxicity, hepatomegaly, steatosis, pronounced transaminase elevations"
STRIBILD,warnings and precautions,5.2 Patients Coinfected with HIV-1 and HBV,"severe acute exacerbations of hepatitis B, liver decompensation, liver failure"
STRIBILD,warnings and precautions,5.3 New Onset or Worsening Renal Impairment,"Renal impairment, acute renal failure, Fanconi syndrome, renal tubular injury, severe hypophosphatemia, discontinuation due to renal adverse reaction, proximal renal tubulopathy, renal replacement therapy, acute renal failure, bone pain, pain in extremities, fractures, muscular pain, weakness, estimated creatinine clearance, serum creatinine, urine glucose, urine protein, serum phosphorus."
STRIBILD,warnings and precautions,5.4 Avoid Use with Other Antiretroviral Products,"Loss of therapeutic effect of STRIBILD, possible development of resistance, clinically significant adverse reactions."
STRIBILD,warnings and precautions,5.6 Bone Effects of Tenofovir DF,"decreases in bone mineral density, increases in biochemical markers of bone metabolism, increased bone turnover, higher serum parathyroid hormone levels, higher 1.25 Vitamin D levels, osteomalacia, bone pain, pain in extremities, fractures, arthralgias, muscle pain, muscle weakness, hypophosphatemia"
STRIBILD,warnings and precautions,5.7 Fat Redistribution,"central obesity, dorsocervical fat enlargement, peripheral wasting, facial wasting, breast enlargement, ""cushingoid appearance"""
STRIBILD,warnings and precautions,5.8 Immune Reconstitution Syndrome,"immune reconstitution syndrome, inflammatory response, Mycobacterium avium infection, cytomegalovirus, Pneumocystis jirovecii pneumonia (PCP), tuberculosis, autoimmune disorders, Graves' disease, polymyositis, Guillain-Barre syndrome"
FARXIGA,adverse reactions,6 ADVERSE REACTIONS,"Hypotension, Impairment in Renal Function, Hypoglycemia, Genital Mycotic Infections, Increases in Low-Density Lipoprotein Cholesterol (LDL-C), Bladder Cancer, female genital mycotic infections, nasopharyngitis, urinary tract infections"
FARXIGA,adverse reactions,6.1 Clinical Trials Experience,"There are no specific adverse drug event terms mentioned in the provided text. This excerpt discusses the conditions under which clinical trials are conducted and describes the demographics and baseline characteristics of the patient population in these trials, but it does not list specific adverse reactions or side effects of the drug FARXIGA."
FARXIGA,adverse reactions,"Table 1 shows common adverse reactions associated with the use of FARXIGA. These adverse reactions were not present at baseline, occurred more commonly on FARXIGA than on placebo, and occurred in at least 2% of patients treated with either FARXIGA 5 mg or FARXIGA 10 mg.","If the input provided is ""nan,"" which typically denotes ""not a number"" or that the data is not applicable or available, then there is no actual drug label text to extract adverse drug event terms from. Therefore, I cannot provide a comma-separated list of terms without the appropriate content. If there is an actual drug label to analyze, please provide the text, and I can assist with identifying the adverse drug event terms."
