section_id,reaction_string,drug_name,meddra_pt,meddra_pt_id,meddra_llt,meddra_llt_id,section_name,section,str,discontinuous_term,negated_term,meddra_exact_term
S1,localized erythema,XEOMIN,Erythema,10015150.0,Localized erythema,10024781.0,adverse reactions,S1,localized erythema,1.0,0.0,1
S1,localized pruritus,XEOMIN,Pruritus,10037087.0,,,adverse reactions,S1,localized pruritus,1.0,0.0,0
S1,localized rash,XEOMIN,Rash,10037844.0,Localized rash,10062705.0,adverse reactions,S1,localized rash,1.0,0.0,1
S1,herpes zoster,XEOMIN,Herpes zoster,10019974.0,,,adverse reactions,S1,herpes zoster,0.0,0.0,1
S1,muscular weakness,XEOMIN,Muscular weakness,10028372.0,,,adverse reactions,S1,muscular weakness,0.0,0.0,1
S1,muscle spasm,XEOMIN,Muscle spasms,10028334.0,Muscle spasm,10028333.0,adverse reactions,S1,muscle spasm,0.0,0.0,1
S1,dysarthria,XEOMIN,Dysarthria,10013887.0,,,adverse reactions,S1,dysarthria,0.0,0.0,1
S1,myalgia,XEOMIN,Myalgia,10028411.0,,,adverse reactions,S1,myalgia,0.0,0.0,1
S1,hypersensitivity,XEOMIN,Hypersensitivity,10020751.0,,,adverse reactions,S1,hypersensitivity,0.0,0.0,1
S2,distant spread of toxin effect,XEOMIN,,,,,boxed warnings,S2,distant spread of toxin effect,0.0,0.0,0
S2,distant spread of toxin effect,XEOMIN,,,,,boxed warnings,S2,distant spread of toxin effect,0.0,0.0,0
S2,spread from the area of injection,XEOMIN,,,,,boxed warnings,S2,spread from the area of injection,0.0,0.0,0
S2,toxin effects,XEOMIN,,,,,boxed warnings,S2,toxin effects,0.0,0.0,0
S2,asthenia,XEOMIN,Asthenia,10003549.0,,,boxed warnings,S2,asthenia,0.0,0.0,1
S2,generalized muscle weakness,XEOMIN,Muscular weakness,10028372.0,Generalized muscle weakness,10062572.0,boxed warnings,S2,generalized muscle weakness,0.0,0.0,1
S2,diplopia,XEOMIN,Diplopia,10013036.0,,,boxed warnings,S2,diplopia,0.0,0.0,1
S2,blurred vision,XEOMIN,Vision blurred,10047513.0,Blurred vision,10005886.0,boxed warnings,S2,blurred vision,0.0,0.0,1
S2,ptosis,XEOMIN,Eyelid ptosis,10015995.0,Ptosis,10037272.0,boxed warnings,S2,ptosis,0.0,0.0,1
S2,dysphagia,XEOMIN,Dysphagia,10013950.0,,,boxed warnings,S2,dysphagia,0.0,0.0,1
S2,dysphonia,XEOMIN,Dysphonia,10013952.0,,,boxed warnings,S2,dysphonia,0.0,0.0,1
S2,dysarthria,XEOMIN,Dysarthria,10013887.0,,,boxed warnings,S2,dysarthria,0.0,0.0,1
S2,urinary incontinence,XEOMIN,Urinary incontinence,10046543.0,,,boxed warnings,S2,urinary incontinence,0.0,0.0,1
S2,breathing difficulties,XEOMIN,Dyspnoea,10013968.0,Difficulty breathing,10012791.0,boxed warnings,S2,breathing difficulties,0.0,0.0,0
S2,swallowing difficulties,XEOMIN,Dysphagia,10013950.0,Swallowing difficult,10042645.0,boxed warnings,S2,swallowing difficulties,1.0,0.0,0
S2,swallowing difficulties,XEOMIN,Dysphagia,10013950.0,Swallowing difficult,10042645.0,boxed warnings,S2,swallowing difficulties,1.0,0.0,0
S2,breathing difficulties,XEOMIN,Dyspnoea,10013968.0,Difficulty breathing,10012791.0,boxed warnings,S2,breathing difficulties,0.0,0.0,0
S2,breathing difficulties,XEOMIN,Dyspnoea,10013968.0,Difficulty breathing,10012791.0,boxed warnings,S2,breathing difficulties,0.0,0.0,0
S2,death,XEOMIN,Death,10011906.0,,,boxed warnings,S2,death,0.0,0.0,1
S2,spread of effect,XEOMIN,,,,,boxed warnings,S2,spread of effect,0.0,0.0,0
S2,distant spread of toxin effect,XEOMIN,,,,,boxed warnings,S2,distant spread of toxin effect,0.0,0.0,0
S2,spread from the area of injection,XEOMIN,,,,,boxed warnings,S2,spread from the area of injection,0.0,0.0,0
S2,toxin effects,XEOMIN,,,,,boxed warnings,S2,toxin effects,0.0,0.0,0
S2,swallowing difficulties,XEOMIN,Dysphagia,10013950.0,Swallowing difficult,10042645.0,boxed warnings,S2,swallowing difficulties,1.0,0.0,0
S2,breathing difficulties,XEOMIN,Dyspnoea,10013968.0,Difficulty breathing,10012791.0,boxed warnings,S2,breathing difficulties,0.0,0.0,0
S2,death,XEOMIN,Death,10011906.0,,,boxed warnings,S2,death,0.0,0.0,1
S3,dysphagia,XEOMIN,Dysphagia,10013950.0,,,warnings and precautions,S3,dysphagia,0.0,0.0,1
S3,corneal exposure,XEOMIN,,,,,warnings and precautions,S3,corneal exposure,0.0,0.0,0
S3,corneal ulceration,XEOMIN,Ulcerative keratitis,10064996.0,Corneal ulceration,10011060.0,warnings and precautions,S3,corneal ulceration,1.0,0.0,1
S3,reduced blinking,XEOMIN,,,,,warnings and precautions,S3,reduced blinking,0.0,0.0,0
S3,corneal exposure,XEOMIN,,,,,warnings and precautions,S3,corneal exposure,0.0,0.0,0
S3,corneal ulceration,XEOMIN,Ulcerative keratitis,10064996.0,Corneal ulceration,10011060.0,warnings and precautions,S3,corneal ulceration,1.0,0.0,1
S3,corneal perforation,XEOMIN,Corneal perforation,10011039.0,,,warnings and precautions,S3,corneal perforation,1.0,0.0,1
S3,ptosis,XEOMIN,Eyelid ptosis,10015995.0,Ptosis,10037272.0,warnings and precautions,S3,ptosis,0.0,0.0,1
S3,toxin effects beyond the site of local injection,XEOMIN,,,,,warnings and precautions,S3,toxin effects beyond the site of local injection,1.0,0.0,0
S3,asthenia,XEOMIN,Asthenia,10003549.0,,,warnings and precautions,S3,asthenia,0.0,0.0,1
S3,generalized muscle weakness,XEOMIN,Muscular weakness,10028372.0,Generalized muscle weakness,10062572.0,warnings and precautions,S3,generalized muscle weakness,0.0,0.0,1
S3,diplopia,XEOMIN,Diplopia,10013036.0,,,warnings and precautions,S3,diplopia,0.0,0.0,1
S3,blurred vision,XEOMIN,Vision blurred,10047513.0,Blurred vision,10005886.0,warnings and precautions,S3,blurred vision,0.0,0.0,1
S3,ptosis,XEOMIN,Eyelid ptosis,10015995.0,Ptosis,10037272.0,warnings and precautions,S3,ptosis,0.0,0.0,1
S3,dysphagia,XEOMIN,Dysphagia,10013950.0,,,warnings and precautions,S3,dysphagia,0.0,0.0,1
S3,dysphonia,XEOMIN,Dysphonia,10013952.0,,,warnings and precautions,S3,dysphonia,0.0,0.0,1
S3,dysarthria,XEOMIN,Dysarthria,10013887.0,,,warnings and precautions,S3,dysarthria,0.0,0.0,1
S3,urinary incontinence,XEOMIN,Urinary incontinence,10046543.0,,,warnings and precautions,S3,urinary incontinence,0.0,0.0,1
S3,breathing difficulties,XEOMIN,Dyspnoea,10013968.0,Difficulty breathing,10012791.0,warnings and precautions,S3,breathing difficulties,0.0,0.0,0
S3,swallowing difficulties,XEOMIN,Dysphagia,10013950.0,Swallowing difficult,10042645.0,warnings and precautions,S3,swallowing difficulties,1.0,0.0,0
S3,breathing difficulties,XEOMIN,Dyspnoea,10013968.0,Difficulty breathing,10012791.0,warnings and precautions,S3,breathing difficulties,0.0,0.0,0
S3,death,XEOMIN,Death,10011906.0,,,warnings and precautions,S3,death,0.0,0.0,1
S3,spread of toxin effects,XEOMIN,,,,,warnings and precautions,S3,spread of toxin effects,0.0,0.0,0
S3,spread of toxin effect,XEOMIN,,,,,warnings and precautions,S3,spread of toxin effect,0.0,0.0,0
S3,hypersensitivity reactions,,,,,,,,,,,0
S3,anaphylaxis,,,,,,,,,,,0
S3,serum sickness,,,,,,,,,,,0
S3,urticaria,,,,,,,,,,,0
S3,soft tissue edema,,,,,,,,,,,0
S3,dyspnea,XEOMIN,Dyspnoea,10013968.0,Dyspnea,10013963.0,warnings and precautions,S3,dyspnea,0.0,0.0,1
S3,swallowing difficulties,XEOMIN,Dysphagia,10013950.0,Swallowing difficult,10042645.0,warnings and precautions,S3,swallowing difficulties,1.0,0.0,0
S3,breathing difficulties,XEOMIN,Dyspnoea,10013968.0,Difficulty breathing,10012791.0,warnings and precautions,S3,breathing difficulties,0.0,0.0,0
S3,deaths,,,,,,,,,,,0
S3,dysphagia,XEOMIN,Dysphagia,10013950.0,,,warnings and precautions,S3,dysphagia,0.0,0.0,1
S3,dysphagia,XEOMIN,Dysphagia,10013950.0,,,warnings and precautions,S3,dysphagia,0.0,0.0,1
S3,aspiration,XEOMIN,Aspiration,10003504.0,,,warnings and precautions,S3,aspiration,0.0,0.0,1
S3,dysphagia,XEOMIN,Dysphagia,10013950.0,,,warnings and precautions,S3,dysphagia,0.0,0.0,1
S3,weaken neck muscles,,,,,,,,,,,0
S3,loss of breathing capacity,XEOMIN,Total lung capacity decreased,10044100.0,,,warnings and precautions,S3,loss of breathing capacity,0.0,0.0,0
S3,breathing difficulties,XEOMIN,Dyspnoea,10013968.0,Difficulty breathing,10012791.0,warnings and precautions,S3,breathing difficulties,0.0,0.0,0
S3,respiratory failure,,,,,,,,,,,0
S3,dysphagia,XEOMIN,Dysphagia,10013950.0,,,warnings and precautions,S3,dysphagia,0.0,0.0,1
S3,dysphagia,XEOMIN,Dysphagia,10013950.0,,,warnings and precautions,S3,dysphagia,0.0,0.0,1
S3,respiratory compromise,XEOMIN,Respiratory failure,10038695.0,Respiratory insufficiency,10038701.0,warnings and precautions,S3,respiratory compromise,0.0,0.0,0
S3,reduced blinking,XEOMIN,,,,,warnings and precautions,S3,reduced blinking,0.0,0.0,0
S3,corneal exposure,XEOMIN,,,,,warnings and precautions,S3,corneal exposure,0.0,0.0,0
S3,corneal persistent epithelial defect,,,,,,,,,,,0
S3,corneal ulceration,XEOMIN,Ulcerative keratitis,10064996.0,Corneal ulceration,10011060.0,warnings and precautions,S3,corneal ulceration,1.0,0.0,1
S3,transmission of viral diseases,XEOMIN,Viral infection,10047461.0,,,warnings and precautions,S3,transmission of viral diseases,0.0,0.0,0
S3,creutzfeldt-jakob disease,XEOMIN,Creutzfeldt-Jakob disease,10011384.0,,,warnings and precautions,S3,creutzfeldt-jakob disease,0.0,0.0,1
S3,cjd,XEOMIN,Creutzfeldt-Jakob disease,10011384.0,CJD,10009217.0,warnings and precautions,S3,cjd,0.0,0.0,1
S3,cjd,XEOMIN,Creutzfeldt-Jakob disease,10011384.0,CJD,10009217.0,warnings and precautions,S3,cjd,0.0,0.0,1
S1,application-associated pain,QUTENZA,Application site pain,10003051.0,Pain after application,10033375.0,adverse reactions,S1,application-associated pain,0.0,0.0,0
S1,increase in blood pressure,QUTENZA,Blood pressure increased,10005750.0,,,adverse reactions,S1,increase in blood pressure,0.0,0.0,0
S1,application site erythema,QUTENZA,Application site erythema,10003041.0,,,adverse reactions,S1,application site erythema,0.0,0.0,1
S1,application site pain,QUTENZA,Application site pain,10003051.0,,,adverse reactions,S1,application site pain,0.0,0.0,1
S1,application site pruritus,QUTENZA,Application site pruritus,10003053.0,,,adverse reactions,S1,application site pruritus,0.0,0.0,1
S1,application site papules,QUTENZA,Application site papules,10049043.0,,,adverse reactions,S1,application site papules,0.0,0.0,1
S1,application site erythema,QUTENZA,Application site erythema,10003041.0,,,adverse reactions,S1,application site erythema,0.0,0.0,1
S1,application site pain,QUTENZA,Application site pain,10003051.0,,,adverse reactions,S1,application site pain,0.0,0.0,1
S1,application site pruritus,QUTENZA,Application site pruritus,10003053.0,,,adverse reactions,S1,application site pruritus,0.0,0.0,1
S1,application site papules,QUTENZA,Application site papules,10049043.0,,,adverse reactions,S1,application site papules,0.0,0.0,1
S1,application site reactions,QUTENZA,Application site reaction,10003055.0,,,adverse reactions,S1,application site reactions,0.0,0.0,0
S1,application site reactions,QUTENZA,Application site reaction,10003055.0,,,adverse reactions,S1,application site reactions,0.0,0.0,0
S1,increases in pain,QUTENZA,Pain,10033371.0,Exacerbation of pain,10015579.0,adverse reactions,S1,increases in pain,0.0,0.0,0
S1,pain increases,QUTENZA,Pain,10033371.0,Pain worsened,10033499.0,adverse reactions,S1,pain increases,0.0,0.0,0
S1,application site erythema,QUTENZA,Application site erythema,10003041.0,,,adverse reactions,S1,application site erythema,0.0,0.0,1
S1,application site pain,QUTENZA,Application site pain,10003051.0,,,adverse reactions,S1,application site pain,0.0,0.0,1
S1,application site pruritus,QUTENZA,Application site pruritus,10003053.0,,,adverse reactions,S1,application site pruritus,0.0,0.0,1
S1,application site papules,QUTENZA,Application site papules,10049043.0,,,adverse reactions,S1,application site papules,0.0,0.0,1
S1,application site edema,QUTENZA,Application site oedema,10003050.0,Application site edema,10003040.0,adverse reactions,S1,application site edema,0.0,0.0,1
S1,application site swelling,QUTENZA,Application site swelling,10053424.0,,,adverse reactions,S1,application site swelling,0.0,0.0,1
S1,application site dryness,QUTENZA,Application site dryness,10048943.0,,,adverse reactions,S1,application site dryness,0.0,0.0,1
S1,nasopharyngitis,QUTENZA,Nasopharyngitis,10028810.0,,,adverse reactions,S1,nasopharyngitis,0.0,0.0,1
S1,bronchitis,QUTENZA,Bronchitis,10006451.0,,,adverse reactions,S1,bronchitis,0.0,0.0,1
S1,sinusitis,QUTENZA,Sinusitis,10040753.0,,,adverse reactions,S1,sinusitis,0.0,0.0,1
S1,nausea,QUTENZA,Nausea,10028813.0,,,adverse reactions,S1,nausea,0.0,0.0,1
S1,vomiting,QUTENZA,Vomiting,10047700.0,,,adverse reactions,S1,vomiting,0.0,0.0,1
S1,pruritus,QUTENZA,Pruritus,10037087.0,,,adverse reactions,S1,pruritus,0.0,0.0,1
S1,hypertension,QUTENZA,Hypertension,10020772.0,,,adverse reactions,S1,hypertension,0.0,0.0,1
S1,application site urticaria,QUTENZA,Application site urticaria,10050104.0,,,adverse reactions,S1,application site urticaria,0.0,0.0,1
S1,application site paresthesia,QUTENZA,Application site paraesthesia,10050103.0,Application site paresthesia,10048940.0,adverse reactions,S1,application site paresthesia,0.0,0.0,1
S1,application site dermatitis,QUTENZA,Application site dermatitis,10003036.0,,,adverse reactions,S1,application site dermatitis,0.0,0.0,1
S1,application site hyperesthesia,QUTENZA,Application site hyperaesthesia,10050100.0,Application site hyperesthesia,10054328.0,adverse reactions,S1,application site hyperesthesia,0.0,0.0,1
S1,application site excoriation,QUTENZA,Application site erosion,10065577.0,Application site excoriation,10059006.0,adverse reactions,S1,application site excoriation,0.0,0.0,1
S1,application site warmth,QUTENZA,Application site warmth,10003060.0,,,adverse reactions,S1,application site warmth,0.0,0.0,1
S1,application site anesthesia,QUTENZA,Application site anaesthesia,10003033.0,Application site anesthesia,10003034.0,adverse reactions,S1,application site anesthesia,0.0,0.0,1
S1,application site bruising,QUTENZA,Application site bruise,10050114.0,Application site bruising,10048939.0,adverse reactions,S1,application site bruising,0.0,0.0,1
S1,application site inflammation,QUTENZA,Application site inflammation,10049042.0,,,adverse reactions,S1,application site inflammation,0.0,0.0,1
S1,application site exfoliation,QUTENZA,Application site exfoliation,10064578.0,,,adverse reactions,S1,application site exfoliation,0.0,0.0,1
S1,peripheral edema,QUTENZA,Oedema peripheral,10030124.0,Peripheral edema,10034570.0,adverse reactions,S1,peripheral edema,0.0,0.0,1
S1,headache,QUTENZA,Headache,10019211.0,,,adverse reactions,S1,headache,0.0,0.0,1
S1,burning sensation,QUTENZA,Burning sensation,10006784.0,,,adverse reactions,S1,burning sensation,0.0,0.0,1
S1,peripheral sensory neuropathy,QUTENZA,Peripheral sensory neuropathy,10034620.0,,,adverse reactions,S1,peripheral sensory neuropathy,0.0,0.0,1
S1,dizziness,QUTENZA,Dizziness,10013573.0,,,adverse reactions,S1,dizziness,0.0,0.0,1
S1,dysgeusia,QUTENZA,Dysgeusia,10013911.0,,,adverse reactions,S1,dysgeusia,0.0,0.0,1
S1,hyperesthesia,QUTENZA,Hyperaesthesia,10020568.0,Hyperesthesia,10020622.0,adverse reactions,S1,hyperesthesia,0.0,0.0,1
S1,hypoesthesia,QUTENZA,Hypoaesthesia,10020937.0,Hypoesthesia,10020976.0,adverse reactions,S1,hypoesthesia,0.0,0.0,1
S1,cough,QUTENZA,Cough,10011224.0,,,adverse reactions,S1,cough,0.0,0.0,1
S1,throat irritation,QUTENZA,Throat irritation,10043521.0,,,adverse reactions,S1,throat irritation,0.0,0.0,1
S1,abnormal skin odor,QUTENZA,Skin odour abnormal,10040904.0,Skin odor abnormal,10040903.0,adverse reactions,S1,abnormal skin odor,0.0,0.0,0
S2,coughing,QUTENZA,Cough,10011224.0,Coughing,10011232.0,warnings and precautions,S2,coughing,0.0,0.0,1
S2,sneezing,QUTENZA,Sneezing,10041232.0,,,warnings and precautions,S2,sneezing,0.0,0.0,1
S2,increases in blood pressure,QUTENZA,Blood pressure increased,10005750.0,,,warnings and precautions,S2,increases in blood pressure,0.0,0.0,0
S2,coughing,QUTENZA,Cough,10011224.0,Coughing,10011232.0,warnings and precautions,S2,coughing,0.0,0.0,1
S2,sneezing,QUTENZA,Sneezing,10041232.0,,,warnings and precautions,S2,sneezing,0.0,0.0,1
S2,procedural pain,QUTENZA,Procedural pain,10064882.0,,,warnings and precautions,S2,procedural pain,0.0,0.0,1
S2,increases in blood pressure,QUTENZA,Blood pressure increased,10005750.0,,,warnings and precautions,S2,increases in blood pressure,0.0,0.0,0
S2,increases in blood pressure,QUTENZA,Blood pressure increased,10005750.0,,,warnings and precautions,S2,increases in blood pressure,0.0,0.0,0
