drug_name,section_name,gpt4_output
TIVICAY,adverse reactions,
TIVICAY,warnings and precautions,"Hypersensitivity reactions, rash, constitutional findings, organ dysfunction, liver injury, transaminase elevations, Redistribution/accumulation of body fat, immune reconstitution syndrome, severe rash, fever, general malaise, fatigue, muscle or joint aches, blisters, peeling of the skin, oral blisters, lesions, conjunctivitis, facial edema, hepatitis, eosinophilia, angioedema, difficulty breathing, central obesity, dorsocervical fat enlargement (buffalo hump), peripheral wasting, facial wasting, breast enlargement, ""cushingoid appearance"", inflammatory response, Mycobacterium avium  infection, cytomegalovirus, Pneumocystis jirovecii  pneumonia, tuberculosis, Autoimmune disorders, Graves' disease, polymyositis, Guillain-Barre syndrome."
TAFINLAR,adverse reactions,
TAFINLAR,warnings and precautions,"Retinal vein occlusion, Interstitial lung disease, New primary malignancies, Increased cell proliferation, Hemorrhage, Venous Thromboembolism, Cardiomyopathy, Ocular Toxicities, Serious Febrile Reactions, Serious Skin Toxicity, Hyperglycemia, Glucose-6-Phosphate Dehydrogenase Deficiency, Embryofetal Toxicity"
HORIZANT,adverse reactions,
HORIZANT,warnings and precautions,
IMBRUVICA,adverse reactions,
IMBRUVICA,warnings and precautions,"Hemorrhage, Infections, Cytopenias, Atrial Fibrillation, Second Primary Malignancies, Tumor Lysis Syndrome, Embryo-Fetal Toxicity"
ULORIC,adverse reactions,
ULORIC,warnings and precautions,"Gout Flare, Cardiovascular Events, Cardiovascular thromboembolic events, MI, stroke, Hepatic Effects, hepatic failure, liver injury, transaminase elevations, fatigue, anorexia, right upper abdominal discomfort, dark urine, jaundice, abnormal liver tests, serum ALT greater than three times the reference range, serum total bilirubin greater than two times the reference range, severe drug-induced liver injury"
CIMZIA,adverse reactions,
CIMZIA,boxed warnings,"Serious infections, Malignancy, Active tuberculosis, Reactivation of latent tuberculosis, Invasive fungal infections, Histoplasmosis, Coccidioidomycosis, Candidiasis, Aspergillosis, Blastomycosis, Pneumocystosis, Bacterial infections, Viral infections, Infections due to opportunistic pathogens, Legionella infection, Listeria infection, Sepsis, Lymphoma"
CIMZIA,warnings and precautions,
KALYDECO,adverse reactions,"Transaminase Elevations, headache, oropharyngeal pain, upper respiratory tract infection, nasal congestion, abdominal pain, nasopharyngitis, diarrhea, rash, nausea, dizziness, increased hepatic enzymes, hypoglycemia, rhinitis, arthralgia, bacteria in sputum, aspartate aminotransferase increased, musculoskeletal chest pain, myalgia, sinus headache, pharyngeal erythema, pleuritic pain, sinus congestion, wheezing, acne"
KALYDECO,warnings and precautions,"Elevated transaminases (ALT or AST), Use with CYP3A inducers, Cataracts, Non-congenital lens opacities"
FULYZAQ,adverse reactions,"Upper respiratory tract infection, Bronchitis, Cough, Flatulence, Increased bilirubin, Nausea, Back pain, Arthralgia, Urinary tract infection, Nasopharyngitis, Musculoskeletal pain, Hemorrhoids, Giardiasis, Anxiety, Increased alanine aminotransferase, Abdominal distension, Abdominal pain, Acne, Increased aspartate aminotransferase, Increased conjugated bilirubin, Increased unconjugated blood bilirubin, Constipation, Depression, Dermatitis, Dizziness, Dry mouth, Dyspepsia, Gastroenteritis, Herpes zoster, Nephrolithiasis, Pain in extremity, Pollakiuria, Procedural pain, Seasonal allergy, Sinusitis, Decreased white blood cell count."
FULYZAQ,warnings and precautions,"Infectious diarrhea, disease may worsen"
QUTENZA,adverse reactions,
QUTENZA,warnings and precautions,"Irritation of eyes or airway, coughing, sneezing, transient increases in blood pressure, substantial procedural pain, increases in blood pressure, treatment related increases in pain, adverse cardiovascular effects"
GRANIX,adverse reactions,"Splenic Rupture, Acute Respiratory Distress Syndrome, Serious Allergic Reactions, Capillary Leak Syndrome, Potential for Tumor Growth Stimulatory Effects on Malignant Cells, Bone pain, Leukocytosis, Myalgia, Headache, Vomiting, Sweet's syndrome, Cutaneous vasculitis, Thrombocytopenia"
GRANIX,warnings and precautions,"Splenic Rupture, Acute Respiratory Distress Syndrome (ARDS), Allergic reactions, Sickle cell crisis, Capillary Leak Syndrome, anaphylaxis, serious allergic reactions, Tumor Growth Stimulatory Effects on Malignant Cells, myeloid malignancies, myelodysplasia"
COARTEM,adverse reactions,
COARTEM,warnings and precautions,
APTIOM,adverse reactions,"Suicidal Behavior and Ideation, Serious Dermatologic Reactions, Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS)/Multiorgan Hypersensitivity, Anaphylactic Reactions and Angioedema, Hyponatremia, Neurological Adverse Reactions, Drug Induced Liver Injury, Abnormal Thyroid Function Tests, dizziness, somnolence, nausea, headache, diplopia, vomiting, fatigue, vertigo, ataxia, blurred vision, tremor, rash, dysarthria, asthenia, Vertigo, Visual impairment, Diarrhea, Constipation, Abdominal pain, Gastritis, Gait disturbance, Peripheral edema, Urinary tract infections, Fall, Balance disorder, Memory impairment, Nystagmus, Depression, Insomnia, Cough, Hypertension, decreases in hemoglobin and hematocrit, increases in total cholesterol, triglycerides, and LDL, and increases in creatine phosphokinase."
APTIOM,warnings and precautions,
PROLIA,adverse reactions,
PROLIA,warnings and precautions,"Hypersensitivity, anaphylactic reactions, Hypocalcemia, Osteonecrosis of the jaw, Atypical femoral fractures, Serious infections including skin infections, Dermatologic reactions: Dermatitis, rashes, eczema, Severe Bone, Joint, Muscle Pain, Suppression of bone turnover, hypotension, dyspnea, throat tightness, facial and upper airway edema, pruritus, urticaria, disturbances of mineral metabolism, hypoparathyroidism, thyroid surgery, parathyroid surgery, malabsorption syndromes, excision of small intestine, severe renal impairment, creatinine clearance, receiving dialysis, marked elevations of serum parathyroid hormone (PTH), tooth extraction, local infection with delayed healing, invasive dental procedures, dental implants, oral surgery, poor oral hygiene, periodontal and/or other pre-existing dental disease, anemia, coagulopathy, infection, ill-fitting dentures, extensive dental surgery, Atypical low-energy or low trauma fractures of the shaft, prodromal pain, glucocorticoids treatment, thigh, hip, or groin pain, incomplete femur fracture, Serious skin infections, infections of the abdomen, urinary tract, and ear, Endocarditis, opportunistic infections, severe and occasionally incapacitating bone, joint, and/or muscle pain, significant suppression of bone remodeling, adverse outcomes."
BLINCYTO,adverse reactions,"Cytokine Release Syndrome, Neurological Toxicities, Infections, Tumor Lysis Syndrome, Neutropenia, Febrile Neutropenia, Effects on Ability to Drive and Use Machines, Elevated Liver Enzymes, Leukoencephalopathy, Preparation and Administration Errors, Pyrexia, Headache, Peripheral Edema, Nausea, Hypokalemia, Tremor, Rash, Constipation, Pneumonia, Sepsis, Device-Related Infection, Encephalopathy, Infection, Overdose, Confusion, Staphylococcal Bacteremia, Anemia, Thrombocytopenia, Leukopenia, Diarrhea, Abdominal Pain, Vomiting, Fatigue, Chills, Chest Pain, Immune System Disorders, Bacterial Infections, Fungal Infections, Viral Infections, Increased Alanine Aminotransferase, Increased Aspartate Aminotransferase, Increased Weight, Hypomagnesemia, Hyperglycemia, Decreased Appetite, Hypophosphatemia, Back Pain, Pain in Extremity, Bone Pain, Arthralgia, Dizziness, Insomnia, Cough, Dyspnea, Hypotension, Hypertension, Leukocytosis, Lymphopenia, Tachycardia, Edema, Cytokine Storm, Decreased Immunoglobulins, Increased Blood Bilirubin, Increased Gamma-Glutamyl-Transferase, Tumor Lysis Syndrome, Hypoalbuminemia, Paresthesia, Aphasia, Convulsion, Memory Impairment, Cognitive Disorder, Speech Disorder, Disorientation, Capillary Leak Syndrome, Hypersensitivity, Bronchospasm."
BLINCYTO,boxed warnings,"Cytokine Release Syndrome, Neurological toxicities"
BLINCYTO,warnings and precautions,"Cytokine Release Syndrome, pyrexia, headache, nausea, asthenia, hypotension, increased alanine aminotransferase, increased aspartate aminotransferase, increased total bilirubin, disseminated intravascular coagulation, capillary leak syndrome, hemophagocytic lymphohistiocytosis/macrophage activation syndrome, encephalopathy, convulsions, speech disorders, disturbances in consciousness, confusion and disorientation, coordination and balance disorders, infections, sepsis, pneumonia, bacteremia, opportunistic infections, catheter-site infections, Tumor Lysis Syndrome, Neutropenia, febrile neutropenia, loss of consciousness, Elevated Liver Enzymes, leukoencephalopathy."
STENDRA,adverse reactions,
STENDRA,warnings and precautions,
XIAFLEX,adverse reactions,
XIAFLEX,boxed warnings,"Corporal rupture, Penile fracture, Serious penile injury, Penile ecchymoses, Hematoma, Sudden penile detumescence, Penile ""popping"" sound or sensation, Severe penile hematoma"
XIAFLEX,warnings and precautions,"Tendon rupture, serious injury to the injected finger/hand, corporal rupture (penile fracture), other serious injury to the penis, hypersensitivity reactions, anaphylaxis, abnormal coagulation, ligament damage, skin laceration, pulley rupture, ligament injury, complex regional pain syndrome (CRPS), sensory abnormality of the hand, penile ecchymoses, penile hematoma, sudden penile detumescence, penile ""popping"" sound or sensation, severe penile hematoma, mild allergic reactions (pruritus), severe allergic reactions, ecchymosis/contusion, injection site hemorrhage."
XEOMIN,adverse reactions,
XEOMIN,boxed warnings,"asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, swallowing difficulties, death"
XEOMIN,warnings and precautions,"Respiratory difficulties, speech difficulties, swallowing difficulties, dysphagia, corneal exposure, corneal ulceration, diplopia, ptosis, asthenia, generalized muscle weakness, blurred vision, dysphonia, dysarthria, urinary incontinence, breathing difficulties, hypersensitivity reactions, anaphylaxis, serum sickness, urticaria, soft tissue edema, dyspnea, severe dysphagia, aspiration, respiratory failure, peripheral motor neuropathic diseases, amyotrophic lateral sclerosis, neuromuscular junctional disorders, myasthenia gravis, Lambert-Eaton syndrome, VII nerve disorders, narrow angle glaucoma, ectropion, ecchymosis, Creutzfeldt-Jakob disease."
GILOTRIF,adverse reactions,
GILOTRIF,warnings and precautions,"Diarrhea, dehydration, renal failure, Bullous and Exfoliative Skin Disorders, severe bullous, blistering, exfoliating lesions, Interstitial lung disease (ILD), acute onset or worsening of pulmonary symptoms, Hepatic toxicity, fatal hepatic impairment, Keratitis, ulcerative keratitis, Embryofetal toxicity, fetal harm, renal impairment, cutaneous reactions, rash, erythema, acneiform rash, palmar-plantar erythrodysesthesia syndrome, life-threatening bullous, blistering, or exfoliating lesions, lung infiltration, pneumonitis, acute respiratory distress syndrome, alveolitis allergic, liver test abnormalities, worsening of liver function, severe hepatic impairment, acute or worsening eye inflammation, lacrimation, light sensitivity, blurred vision, eye pain, red eye, embryotoxic, abortions at late gestational stages."
TREANDA,adverse reactions,
TREANDA,warnings and precautions,"Myelosuppression, Infections, Anaphylaxis, Infusion Reactions, Tumor Lysis Syndrome, Skin Reactions, Other Malignancies, Extravasation, Embryo-fetal toxicity"
CHOLINE,adverse reactions,mild injection site reaction
CHOLINE,warnings and precautions,"Imaging errors, Allergic reactions, Radiation risk, poor performance of 11 C-choline PET imaging, false positive 11 C-choline PET images, Tissue inflammation, prostatic hyperplasia, interference with 11 C-choline PET imaging, anaphylaxis, increased risk for cancer, long-term cumulative radiation exposure"
ERWINAZE,adverse reactions,
ERWINAZE,warnings and precautions,"Serious hypersensitivity reactions, anaphylaxis, severe or hemorrhagic pancreatitis, glucose intolerance, hyperglycemia, thrombosis, hemorrhage, sagittal sinus thrombosis, pulmonary embolism, decreased fibrinogen, decreased protein C activity, decreased protein S activity, decreased anti-thrombin III."
TRULICITY,adverse reactions,
TRULICITY,boxed warnings,"Thyroid C-cell tumors, adenomas, carcinomas, medullary thyroid carcinoma (MTC), Multiple Endocrine Neoplasia syndrome type 2 (MEN 2), mass in the neck, dysphagia, dyspnea, persistent hoarseness"
TRULICITY,warnings and precautions,"Thyroid C-cell Tumors, Pancreatitis, Hypoglycemia, Hypersensitivity Reactions, Renal Impairment, Severe Gastrointestinal Disease, Macrovascular Outcomes"
ADREVIEW,adverse reactions,"Serious hypersensitivity reactions, dizziness, rash, pruritus, flushing, headache, injection site hemorrhage, hematoma, bruising"
ADREVIEW,warnings and precautions,
DOTAREM,adverse reactions,"NSF, Hypersensitivity reactions, Acute kidney injury, Nausea, Headache, Injection site pain, Injection site coldness, Burning sensation, Feeling cold, Rash, Somnolence, Fatigue, Dizziness, Vomiting, Pruritus, Paresthesia, Dysgeusia, Pain in extremity, Anxiety, Hypertension, Palpitations, Oropharyngeal discomfort, Serum creatinine increased, Injection site reactions, Site inflammation, Extravasation, Warmth, Bradycardia, Tachycardia, Arrhythmia, Hypersensitivity /anaphylactoid reactions, Cardiac arrest, Respiratory arrest, Cyanosis pharyngeal edema, Laryngospasm, Bronchospasm, Angioedema, Conjunctivitis, Ocular hyperemia, Eyelid edema, Lacrimation increased, Hyperhidrosis, Urticaria, Coma, Convulsion, Syncope, Presyncope, Parosmia, Tremor, Muscle contracture, Muscle weakness, Diarrhea, Salivary hypersecretion, Malaise, Fever, NSF (in context of other GBCAs), Superficial phlebitis"
DOTAREM,boxed warnings,"Nephrogenic Systemic Fibrosis (NSF), Fatal or debilitating fibrosis affecting the skin, muscle and internal organs, Chronic severe kidney disease, Acute kidney injury, Conditions that may reduce renal function, Chronically reduced renal function"
DOTAREM,warnings and precautions,"Nephrogenic Systemic Fibrosis, Hypersensitivity, Anaphylactoid/anaphylactic reactions, cardiovascular manifestations, respiratory manifestations, cutaneous manifestations, acute kidney injury, drug-induced kidney toxicity, NSF, renal impairment, Extravasation, Injection Site Reactions, tissue irritation"
PRADAXA,adverse reactions,
PRADAXA,boxed warnings,"Premature discontinuation, thrombotic events, spinal/epidural hematoma, pathological bleeding, long-term paralysis, permanent paralysis, neurological impairment."
PRADAXA,warnings and precautions,
ELIQUIS,adverse reactions,
ELIQUIS,boxed warnings,"Thrombotic Events, Spinal/Epidural Hematoma, Pathological Bleeding, Long-term or Permanent Paralysis, Neurological Impairment"
ELIQUIS,warnings and precautions,"Serious, potentially fatal bleeding, signs and symptoms of blood loss, Increased Risk of Thrombotic Events, Increased rate of stroke, bleeding, Concomitant use of drugs affecting hemostasis, active pathological hemorrhage, persist for at least 24 hours after the last dose, epidural or spinal hematoma, long-term or permanent paralysis, signs and symptoms of neurological impairment, numbness or weakness of the legs, bowel, or bladder dysfunction, neurological compromise, prosthetic heart valves, Acute PE in Hemodynamically Unstable Patients, thrombolysis, Pulmonary Embolectomy"
ZERBAXA,adverse reactions,
ZERBAXA,warnings and precautions,"Decreased efficacy, Serious hypersensitivity (anaphylactic) reactions, Clostridium difficile -associated diarrhea (CDAD), fatal hypersensitivity (anaphylactic) reactions, mild diarrhea, fatal colitis, Drug-Resistant Bacteria"
FERRIPROX,adverse reactions,
FERRIPROX,boxed warnings,"Agranulocytosis, Neutropenia, Serious infections, Death, Symptoms indicative of infection"
FERRIPROX,warnings and precautions,"Infection, fetal harm, agranulocytosis, neutropenia, death, symptoms indicative of infection, agranulocytosis leading to death, embryofetal death, malformations, increased ALT values, increase in both ALT and AST, decreased plasma zinc concentrations, deficiency"
DALVANCE,adverse reactions,
DALVANCE,warnings and precautions,"Serious hypersensitivity, skin reactions, reactions due to rapid intravenous infusion, ALT elevations, Clostridium difficile -associated diarrhea, anaphylactic reactions, ""Red-Man Syndrome"", flushing of the upper body, urticaria, pruritus, rash, abnormalities in liver tests, mild diarrhea, fatal colitis, increased morbidity and mortality, drug-resistant bacteria"
ARCAPTA,adverse reactions,
ARCAPTA,boxed warnings,"ASTHMA-RELATED DEATH, increase in asthma-related deaths, increased risk of asthma-related death"
ARCAPTA,warnings and precautions,
CERDELGA,adverse reactions,"fatigue, headache, nausea, diarrhea, back pain, pain in extremities, upper abdominal pain, arthralgia, migraine, flatulence, oropharyngeal pain, dizziness, asthenia, cough, dyspepsia, gastroesophageal reflux disease, constipation, palpitations, rash"
CERDELGA,warnings and precautions,"ECG Changes, Cardiac Arrhythmias, pre-existing cardiac disease, long QT syndrome, concomitant use of Class IA and Class III antiarrhythmics, prolongation of the PR, QTc, and/or QRS cardiac intervals, cardiac arrhythmias, increases in ECG intervals, congestive heart failure, recent acute myocardial infarction, bradycardia, heart block, ventricular arrhythmia"
GADAVIST,adverse reactions,
GADAVIST,boxed warnings,"Nephrogenic Systemic Fibrosis, NSF, fatal fibrosis, debilitating fibrosis, severe kidney disease, Acute kidney injury, reduced renal function, chronically reduced renal function"
GADAVIST,warnings and precautions,"Nephrogenic Systemic Fibrosis, Anaphylactic reactions, hypersensitivity reactions, cardiovascular manifestations, respiratory manifestations, cutaneous manifestations, death, acute kidney injury, drug-induced kidney toxicity, fibrosis, Extravasation, moderate irritation, Overestimation of Extent of Malignant Disease"
ZYKADIA,adverse reactions,
ZYKADIA,warnings and precautions,
XALKORI,adverse reactions,
XALKORI,warnings and precautions,"Hepatotoxicity, Interstitial Lung Disease (ILD)/Pneumonitis, QT Interval Prolongation, Bradycardia, Severe Visual Loss, Embryofetal Toxicity"
BEPREVE,adverse reactions,"mild taste following instillation, eye irritation, headache, nasopharyngitis, hypersensitivity reactions, itching, body rash, swelling of lips, tongue and/or throat"
BEPREVE,warnings and precautions,"contamination, contact lens-related irritation, eye is red, benzalkonium chloride absorption by soft contact lenses"
EDARBI,adverse reactions,"Diarrhea, hypotension/orthostatic hypotension, nausea, asthenia, fatigue, muscle spasm, dizziness, dizziness postural, cough, serum creatinine increases, low hemoglobin, low hematocrit, low RBC counts, low and high markedly abnormal platelet and WBC counts, rash, pruritus, angioedema."
EDARBI,boxed warnings,"Fetal toxicity, injury, death"
EDARBI,warnings and precautions,"fetal renal function reduction, fetal morbidity, fetal death, neonatal morbidity, neonatal death, oligohydramnios, fetal lung hypoplasia, skeletal deformations, skull hypoplasia, anuria, hypotension, renal failure, symptomatic hypotension, changes in renal function, oliguria, progressive azotemia, acute renal failure, increases in serum creatinine, increases in blood urea nitrogen"
POTIGA,adverse reactions,
POTIGA,boxed warnings,"Retinal abnormalities, Potential vision loss, Damage to the photoreceptors, Abnormal visual acuity, Decreased visual acuity, Retinal pigmentary abnormalities, Vision changes"
POTIGA,warnings and precautions,
TUDORZA,adverse reactions,"Paradoxical bronchospasm, Worsening of narrow-angle glaucoma, Worsening of urinary retention, Immediate Hypersensitivity Reactions, headache, nasopharyngitis, cough, Diarrhea, Sinusitis, Rhinitis, Toothache, Fall, Vomiting, diabetes mellitus, dry mouth, 1st degree AV block, osteoarthritis, cardiac failure, cardio-respiratory arrest, anaphylaxis, angioedema, urticaria, rash, bronchospasm, itching"
TUDORZA,warnings and precautions,"Paradoxical bronchospasm, Worsening of narrow-angle glaucoma, Worsening of urinary retention, Immediate hypersensitivity reactions, angioedema, bronchospasm, anaphylaxis, eye pain or discomfort, blurred vision, visual halos or colored images in association with red eyes from conjunctival congestion and corneal edema, difficulty passing urine, painful urination, swelling of the lips, tongue, or throat, urticaria, rash, itching"
PROMACTA,adverse reactions,
PROMACTA,boxed warnings,"Hepatic decompensation, Chronic Hepatitis C"
PROMACTA,warnings and precautions,"Hepatotoxicity, Thrombotic Complications, Thromboembolic Complications, Hepatic Decompensation, Ascites, Encephalopathy, Liver enzyme elevations, Indirect hyperbilirubinemia, Liver injury, Hepatic decompensation, Thrombotic event, Thromboembolism, Portal venous thrombosis, Portal vein thrombosis, Cataracts"
INLYTA,adverse reactions,
INLYTA,warnings and precautions,
NORTHERA,adverse reactions,"Supine Hypertension, Hyperpyrexia, Confusion, Ischemic heart disease, Arrhythmias, Congestive heart failure, Headache, Dizziness, Nausea, Hypertension, Fatigue, Increased blood pressure, Falls, Urinary tract infections, Syncope"
NORTHERA,boxed warnings,Supine Hypertension
NORTHERA,warnings and precautions,"Supine hypertension, Hyperpyrexia, Confusion, Symptoms in patients with existing ischemic heart disease, Arrhythmias, Congestive heart failure, Allergic reactions"
JARDIANCE,adverse reactions,
JARDIANCE,warnings and precautions,"Hypotension, Impairment in renal function, Hypoglycemia, Genital mycotic infections, Urinary tract infections, Increased LDL-C, Macrovascular outcomes"
FANAPT,adverse reactions,
FANAPT,boxed warnings,"Increased mortality, death, cardiovascular events, heart failure, sudden death, infectious events, pneumonia"
FANAPT,warnings and precautions,
TANZEUM,adverse reactions,
TANZEUM,boxed warnings,"Thyroid C-cell tumors, Medullary thyroid carcinoma (MTC), Multiple Endocrine Neoplasia syndrome type 2 (MEN 2)"
TANZEUM,warnings and precautions,"Thyroid C-cell Tumors, Pancreatitis, Hypoglycemia, Hypersensitivity Reactions, Renal Impairment, Macrovascular Outcomes"
EYLEA,adverse reactions,
EYLEA,warnings and precautions,"Endophthalmitis, retinal detachments, increases in intraocular pressure, arterial thromboembolic events"
JEVTANA,adverse reactions,
JEVTANA,boxed warnings,"Neutropenia, Neutropenic deaths, Hypersensitivity, Severe hypersensitivity, Generalized rash/erythema, Hypotension, Bronchospasm"
JEVTANA,warnings and precautions,
YERVOY,adverse reactions,
YERVOY,boxed warnings,"immune-mediated adverse reactions, enterocolitis, hepatitis, dermatitis, toxic epidermal necrolysis, neuropathy, endocrinopathy"
YERVOY,warnings and precautions,
FARXIGA,adverse reactions,
FARXIGA,warnings and precautions,"Hypotension, Impairment in renal function, Hypoglycemia, Genital mycotic infections, Increased LDL-C, Bladder Cancer, Macrovascular outcomes"
PICATO,adverse reactions,"Ophthalmic Adverse Reaction, Hypersensitivity Reactions, local skin reactions, application site pain, application site pruritus, application site irritation, application site infection, periorbital edema, nasopharyngitis, headache, erythema, flaking/scaling, crusting, swelling, vesiculation/pustulation, erosion/ulceration, Application Site Pain, Application Site Pruritus, Application Site Infection, Periorbital Edema, Headache, Application Site Irritation, Nasopharyngitis, eyelid edema, eye pain, conjunctivitis, hypersensitivity, allergic contact dermatitis, herpes zoster, chemical conjunctivitis, corneal burn."
PICATO,warnings and precautions,"Severe eye pain, chemical conjunctivitis, corneal burn, eyelid edema, eyelid ptosis, periorbital edema, vesiculation/pustulation, erosion/ulceration, anaphylaxis, allergic contact dermatitis, erythema, crusting, swelling"
PRISTIQ,adverse reactions,
PRISTIQ,boxed warnings,"Suicidal thoughts and behaviors, worsening, emergence of suicidal thoughts and behaviors"
PRISTIQ,warnings and precautions,
STRIBILD,adverse reactions,
STRIBILD,boxed warnings,"Lactic acidosis, Severe hepatomegaly with steatosis, Acute exacerbations of hepatitis B"
STRIBILD,warnings and precautions,
NULOJIX,adverse reactions,
NULOJIX,boxed warnings,"POST-TRANSPLANT LYMPHOPROLIFERATIVE DISORDER, OTHER MALIGNANCIES, SERIOUS INFECTIONS, Increased susceptibility to infection, possible development of malignancies, increased risk of graft loss, death"
NULOJIX,warnings and precautions,"Post-Transplant Lymphoproliferative Disorder, Other malignancies, Progressive Multifocal Leukoencephalopathy, Other serious infections, Liver transplant, Acute Rejection and Graft Loss with Corticosteroid Minimization, Immunizations, PTLD, EBV Serostatus, Other Risk Factors, Management of Immunosuppression, Serious Infections, Tuberculosis, Polyoma Virus Nephropathy, Liver Transplant, Acute Rejection and Graft Loss with Corticosteroid Minimization, Immunizations."
LUMIZYME,adverse reactions,
