Unnamed: 0,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,api_source,llm_model,llm_model_name,prompt,system,temp,dataset,run,eval_method,base_name
22,warnings and precautions,negated,13.0,,45.0,,0.2241379310344827,,,0.2488425925925926,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
23,warnings and precautions,non-meddra,273.0,,1242.0,,0.1801980198019802,,,0.2537665072617057,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
0,all,all,3838.0,1618.0,4572.0,0.7034457478005866,0.4563614744351962,0.5234192468772301,0.6055742243315145,0.50212983918608,0.53701655599152,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,strict,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
0,adverse reactions,all,4518.0,161.0,891.0,0.9655909382346656,0.8352745424292846,0.8957176843774782,0.9607270113825872,0.8691482321074472,0.9077312250341834,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
1,adverse reactions,discontinuous,198.0,,199.0,,0.4987405541561713,,,0.452188319923175,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
2,adverse reactions,exact-meddra,3768.0,,395.0,,0.9051165025222196,,,0.9329724024598336,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
3,adverse reactions,negated,33.0,,40.0,,0.4520547945205479,,,0.3952380952380952,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
4,adverse reactions,non-meddra,751.0,,496.0,,0.6022453889334403,,,0.6768514521645842,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
5,all-concat,all,5222.0,272.0,2160.0,0.9504914452129596,0.7073963695475481,0.8111214662938802,0.9294290886239106,0.744329011150101,0.8157251219586262,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
6,all-concat,discontinuous,294.0,,507.0,,0.3670411985018726,,,0.3756490133030277,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
7,all-concat,exact-meddra,4093.0,,734.0,,0.8479386782680755,,,0.8761126664314667,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
8,all-concat,negated,58.0,,74.0,,0.4393939393939394,,,0.430328798185941,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
9,all-concat,non-meddra,1129.0,,1427.0,,0.4417057902973396,,,0.5022099729048707,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
10,boxed warnings,all,244.0,99.0,30.0,0.7113702623906706,0.8905109489051095,0.7909238249594813,0.7758611590653112,0.9299906613567606,0.8196218114078386,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
11,boxed warnings,discontinuous,28.0,,9.0,,0.7567567567567568,,,0.7023809523809524,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
12,boxed warnings,exact-meddra,133.0,,3.0,,0.9779411764705882,,,0.974937965260546,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
13,boxed warnings,negated,5.0,,0.0,,1.0,,,1.0,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
14,boxed warnings,non-meddra,111.0,,27.0,,0.8043478260869565,,,0.8424019607843137,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
15,warnings and precautions,all,2004.0,647.0,723.0,0.7559411542814033,0.7348734873487349,0.7452584603941986,0.7109011044006994,0.784121254115032,0.7116357065137233,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
16,warnings and precautions,discontinuous,214.0,,185.0,,0.5363408521303258,,,0.5943487090545914,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
17,warnings and precautions,exact-meddra,1061.0,,152.0,,0.8746908491343776,,,0.9280749991259928,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
18,warnings and precautions,negated,35.0,,23.0,,0.603448275862069,,,0.7175925925925926,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
19,warnings and precautions,non-meddra,943.0,,572.0,,0.6224422442244224,,,0.6803532655036325,,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
0,all,all,6766.0,907.0,1644.0,0.8817933011859768,0.8045184304399524,0.8263144234871175,0.8282777937330126,0.8439973653540981,0.8129455342956845,OpenAI,gpt-4-1106-preview,GPT-4,fatal-prompt-v2,pharmexpert-v1,temp0,train,run3,lenient,gpt-4-1106-preview_fatal-prompt-v2_pharmexpert-v1
0,adverse reactions,all,3783.0,185.0,1626.0,0.9533770161290324,0.6993899057127011,0.80686786818812,0.9315866074682848,0.7597944134180352,0.8134476805579108,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
1,adverse reactions,discontinuous,148.0,,249.0,,0.3727959697732997,,,0.3749000414276973,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
2,adverse reactions,exact-meddra,3120.0,,1043.0,,0.7494595243814557,,,0.8189231746205318,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
3,adverse reactions,negated,28.0,,45.0,,0.3835616438356164,,,0.3885714285714285,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
4,adverse reactions,non-meddra,663.0,,584.0,,0.5316760224538893,,,0.592144938127099,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
5,all-concat,all,3712.0,146.0,3670.0,0.96215655780197,0.5028447575182877,0.6604982206405694,0.946421118062036,0.5772894999669642,0.6831083956120896,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
6,all-concat,discontinuous,232.0,,569.0,,0.2896379525593008,,,0.3022415210944769,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
7,all-concat,exact-meddra,2875.0,,1952.0,,0.5956080381189144,,,0.6780957280370205,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
8,all-concat,negated,45.0,,87.0,,0.3409090909090909,,,0.3679705215419501,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
9,all-concat,non-meddra,837.0,,1719.0,,0.3274647887323944,,,0.3802644321404148,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
10,boxed warnings,all,205.0,82.0,69.0,0.7142857142857143,0.7481751824817519,0.7308377896613192,0.7540328137751853,0.8356945578501306,0.7573761875635756,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
11,boxed warnings,discontinuous,17.0,,20.0,,0.4594594594594595,,,0.4445970695970696,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
12,boxed warnings,exact-meddra,117.0,,19.0,,0.8602941176470589,,,0.9211309912498368,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
13,boxed warnings,negated,3.0,,2.0,,0.6,,,0.5,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
14,boxed warnings,non-meddra,88.0,,50.0,,0.6376811594202898,,,0.7053221288515407,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
15,warnings and precautions,all,1457.0,414.0,1270.0,0.7787279529663281,0.5342867620095343,0.6337538060026099,0.7532030804450787,0.6216408443070391,0.626067283373994,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
16,warnings and precautions,discontinuous,147.0,,252.0,,0.3684210526315789,,,0.3865865299688829,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
17,warnings and precautions,exact-meddra,787.0,,426.0,,0.6488046166529267,,,0.7640779855734713,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
18,warnings and precautions,negated,29.0,,29.0,,0.5,,,0.6631944444444444,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
19,warnings and precautions,non-meddra,671.0,,844.0,,0.4429042904290429,,,0.5167104430363634,,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
0,all,all,5445.0,681.0,2965.0,0.8888344760039177,0.6474435196195006,0.7246710579787713,0.8296787842412136,0.715232164624192,0.7274027006400098,OpenAI,gpt-3.5-turbo-0125,GPT-3.5,fatal-prompt-v2,pharmexpert-v1,temp0,train,run0,lenient,gpt-3.5-turbo-0125_fatal-prompt-v2_pharmexpert-v1
0,adverse reactions,all,4167.0,1242.0,186.0,0.7703826955074875,0.9572708476912474,0.853718500307314,0.8246440134648476,0.9099899892285738,0.8644178817436237,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
1,adverse reactions,discontinuous,261.0,,2208.0,,0.1057108140947752,,,0.1254157152251955,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
2,adverse reactions,exact-meddra,3329.0,,420.0,,0.8879701253667645,,,0.8312147133696969,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
3,adverse reactions,hypothetical,55.0,,731.0,,0.0699745547073791,,,0.080101283349398,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
4,adverse reactions,negated,55.0,,1082.0,,0.0483729111697449,,,0.0541300272650224,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
5,adverse reactions,non-meddra,838.0,,2385.0,,0.2600062053986968,,,0.2825762002311919,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
6,all-concat,all,5179.0,2203.0,136.0,0.7015713898672447,0.974412041392286,0.8157832558872175,0.7452255726724121,0.9484993144312618,0.820725764247384,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
7,all-concat,discontinuous,486.0,,2449.0,,0.165587734241908,,,0.1568394889948312,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
8,all-concat,exact-meddra,3726.0,,361.0,,0.9116711524345484,,,0.8672686518489405,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
9,all-concat,hypothetical,632.0,,2143.0,,0.2277477477477477,,,0.258121770788879,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
10,all-concat,negated,88.0,,1508.0,,0.0551378446115288,,,0.0700391368382308,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
11,all-concat,non-meddra,1453.0,,2070.0,,0.4124325858643202,,,0.3889911888857443,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
12,boxed warnings,all,237.0,37.0,102.0,0.864963503649635,0.6991150442477876,0.7732463295269167,0.888403969325022,0.7121444792709649,0.7753913893631794,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
13,boxed warnings,discontinuous,27.0,,77.0,,0.2596153846153846,,,0.2931623931623931,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
14,boxed warnings,exact-meddra,122.0,,126.0,,0.4919354838709677,,,0.5067755739502124,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
15,boxed warnings,hypothetical,112.0,,149.0,,0.4291187739463601,,,0.5295926716381262,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
16,boxed warnings,negated,5.0,,36.0,,0.1219512195121951,,,0.3497311827956989,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
17,boxed warnings,non-meddra,115.0,,174.0,,0.3979238754325259,,,0.4636945810821243,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
18,warnings and precautions,all,1863.0,864.0,456.0,0.6831683168316832,0.8033635187580854,0.7384066587395958,0.7535662026517969,0.7551493362757863,0.7269534128793655,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
19,warnings and precautions,discontinuous,248.0,,1239.0,,0.1667787491593813,,,0.1929591628773349,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
20,warnings and precautions,exact-meddra,926.0,,772.0,,0.5453474676089517,,,0.5167538419063029,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
21,warnings and precautions,hypothetical,596.0,,1106.0,,0.3501762632197415,,,0.3920969677378036,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
22,warnings and precautions,negated,33.0,,426.0,,0.0718954248366013,,,0.0935265236109758,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
23,warnings and precautions,non-meddra,937.0,,956.0,,0.4949815108293713,,,0.4777560895693277,,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
0,all,all,6267.0,2143.0,744.0,0.7451843043995243,0.8938810440735986,0.7825241366574215,0.805696262082732,0.8144913760302284,0.7936252204441391,,Meta-Llama-3-8B-Instruct,Llama 3,fatal-prompt-v2,pharmexpert-v1,temp0,train,run2,ember-v1,Meta-Llama-3-8B-Instruct_fatal-prompt-v2_pharmexpert-v1
