 ,section_name,gpt_output,manual_output,similarity,discontinuous_term,negated_term,hypothetical_term,meddra_exact_term,sophia,uog,0/0,0/1,1/0,1/1
IMPAVIDO,adverse reactions,testicular pain,testicular pain,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,testicular swelling,testicular swelling,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,urticaria,urticaria,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,rash,rash,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,pyoderma,pyoderma,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,agranulocytosis,agranulocytosis,0.9999999404,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,generalized edema,generalized edema,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,peripheral edema,peripheral edema,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,jaundice,jaundice,1,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,seizure,seizure,1.000000238,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,scrotal pain,scrotal pain,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,adverse reactions,decreased ejaculate volume,decreased ejaculate volume,0.9999998212,0,0,0,0,,,,,,
IMPAVIDO,adverse reactions,absent ejaculation,absent ejaculation,1.000000119,0,0,0,0,,,,,,
IMPAVIDO,adverse reactions,epistaxis,epistaxis,0.9999999404,0,0,0,1,,,,,,
IMPAVIDO,boxed warnings,embryo-fetal toxicity,embryo-fetal toxicity,1.000000119,0,0,0,0,,,,,,
IMPAVIDO,boxed warnings,fetal harm,fetal harm,1,0,0,1,0,,,,,,
IMPAVIDO,boxed warnings,fetal death,fetal death,1,0,0,1,0,,,,,,
IMPAVIDO,boxed warnings,teratogenicity,teratogenicity,1.000000238,0,0,1,0,,,,,,
IMPAVIDO,warnings and precautions,embryo-fetal toxicity,embryo-fetal toxicity,1.000000119,0,0,1,0,,,,,,
IMPAVIDO,warnings and precautions,testicular atrophy,testicular atrophy,1,0,0,1,0,,,,,,
IMPAVIDO,warnings and precautions,impaired fertility in male rats,impaired fertility,0.8177553415,0,0,1,0,1,1,0,0,0,1
IMPAVIDO,warnings and precautions,impaired fertility in female rats,impaired fertility,0.8268609047,0,0,1,0,1,1,0,0,0,1
IMPAVIDO,warnings and precautions,serum creatinine elevations,elevations of serum creatinine,0.977742672,0,0,0,0,1,1,0,0,0,1
IMPAVIDO,warnings and precautions,transaminases elevations,elevations in liver transaminases,0.9522922635,0,0,0,0,1,1,0,0,0,1
IMPAVIDO,warnings and precautions,bilirubin elevations,elevations in bilirubin,0.9722172618,1,0,0,0,1,1,0,0,0,1
IMPAVIDO,warnings and precautions,gastrointestinal effects,gastrointestinal effects,0.9999998808,0,0,0,0,,,,,,
IMPAVIDO,warnings and precautions,thrombocytopenia,thrombocytopenia,1.000000238,0,0,0,1,,,,,,
IMPAVIDO,warnings and precautions,vomiting,vomiting,1.000000119,0,0,0,1,,,,,,
IMPAVIDO,warnings and precautions,diarrhea,diarrhea,0.9999999404,0,0,0,1,,,,,,
IMPAVIDO,warnings and precautions,stevens-johnson syndrome,stevens-johnson syndrome,1.000000238,0,0,0,1,,,,,,
IMPAVIDO,warnings and precautions,scrotal pain,scrotal pain,0.9999998808,0,0,0,1,,,,,,
IMPAVIDO,warnings and precautions,decreased or absent ejaculation,decreased ejaculation,0.9086300731,1,0,0,0,1,1,0,0,0,1
IMPAVIDO,warnings and precautions,reversible follicular atresia,follicular atresia,0.8611377478,0,0,1,0,1,1,0,0,0,1
IMPAVIDO,warnings and precautions,diestrus,diestrus,0.9999998808,0,0,1,0,,,,,,
IMPAVIDO,warnings and precautions,reduced viable sperm counts,reduced viable sperm counts,0.9999998808,0,0,1,0,,,,,,
IMPAVIDO,warnings and precautions,elevations of serum creatinine,elevations of serum creatinine,1,0,0,0,0,,,,,,
IMPAVIDO,warnings and precautions,elevations in liver transaminases (alt,elevations in liver transaminases,0.9246684313,0,0,0,0,1,1,0,0,0,1
IMPAVIDO,warnings and precautions,ast),elevations in ast,0.7462304831,1,0,0,0,1,1,0,0,0,1
IMPAVIDO,warnings and precautions,volume depletion,volume depletion,1,0,0,1,1,,,,,,
LIVALO,adverse reactions,rhabdomyolysis with myoglobinuria and acute renal failure,acute renal failure,0.7847188115,0,0,0,1,1,1,0,0,0,1
LIVALO,adverse reactions,myopathy (including myositis),myopathy,0.8529587388,0,0,0,1,1,1,0,0,0,1
LIVALO,adverse reactions,liver enzyme abnormalities,liver enzyme abnormalities,1,0,0,0,0,,,,,,
LIVALO,adverse reactions,myalgia,myalgia,0.9999999404,0,0,0,1,,,,,,
LIVALO,adverse reactions,back pain,back pain,1.000000119,0,0,0,1,,,,,,
LIVALO,adverse reactions,diarrhea,diarrhea,0.9999999404,0,0,0,1,,,,,,
LIVALO,adverse reactions,constipation,constipation,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,pain in extremity,pain in extremity,0.999999702,0,0,0,1,,,,,,
LIVALO,adverse reactions,arthralgia,arthralgia,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,headache,headache,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,influenza,influenza,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,nasopharyngitis,nasopharyngitis,1.000000119,0,0,0,1,,,,,,
LIVALO,adverse reactions,elevated creatine phosphokinase,elevated creatine phosphokinase,1,0,0,0,0,,,,,,
LIVALO,adverse reactions,transaminases,elevated transaminases,0.8064724207,1,0,0,0,1,1,0,0,0,1
LIVALO,adverse reactions,alkaline phosphatase,elevated alkaline phosphatase,0.7987293005,1,0,0,0,1,1,0,0,0,1
LIVALO,adverse reactions,bilirubin,elevated bilirubin,0.825748682,1,0,0,0,1,1,0,0,0,1
LIVALO,adverse reactions,glucose,elevated glucose,0.7719835043,1,0,0,0,1,1,0,0,0,1
LIVALO,adverse reactions,hypersensitivity reactions including rash,hypersensitivity reactions,0.8688772917,0,0,0,0,1,1,0,0,0,1
LIVALO,adverse reactions,pruritus,pruritus,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,urticaria,urticaria,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,abdominal discomfort,abdominal discomfort,1.000000238,0,0,0,1,,,,,,
LIVALO,adverse reactions,abdominal pain,abdominal pain,0.9999998808,0,0,0,1,,,,,,
LIVALO,adverse reactions,dyspepsia,dyspepsia,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,nausea,nausea,0.9999998808,0,0,0,1,,,,,,
LIVALO,adverse reactions,asthenia,asthenia,0.9999999404,0,0,0,1,,,,,,
LIVALO,adverse reactions,fatigue,fatigue,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,malaise,malaise,1.000000238,0,0,0,1,,,,,,
LIVALO,adverse reactions,hepatitis,hepatitis,1.000000119,0,0,0,1,,,,,,
LIVALO,adverse reactions,jaundice,jaundice,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,fatal and non-fatal hepatic failure,hepatic failure,0.8505228758,0,0,0,1,1,1,0,0,0,1
LIVALO,adverse reactions,dizziness,dizziness,0.9999998808,0,0,0,1,,,,,,
LIVALO,adverse reactions,hypoesthesia,hypoesthesia,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,insomnia,insomnia,0.9999998212,0,0,0,1,,,,,,
LIVALO,adverse reactions,depression,depression,0.9999998808,0,0,0,1,,,,,,
LIVALO,adverse reactions,interstitial lung disease,interstitial lung disease,1,0,0,0,1,,,,,,
LIVALO,adverse reactions,erectile dysfunction,erectile dysfunction,1.000000119,0,0,0,1,,,,,,
LIVALO,adverse reactions,muscle spasms,muscle spasms,0.9999999404,0,0,0,1,,,,,,
LIVALO,adverse reactions,cognitive impairment (eg,cognitive impairment,0.900711596,0,0,1,0,1,1,0,0,0,1
LIVALO,adverse reactions,memory loss,memory loss,0.9999998212,0,0,1,0,,,,,,
LIVALO,adverse reactions,forgetfulness,forgetfulness,0.9999998808,0,0,1,0,,,,,,
LIVALO,adverse reactions,amnesia,amnesia,1.000000119,0,0,1,0,,,,,,
LIVALO,adverse reactions,memory impairment,memory impairment,1.000000119,0,0,1,0,,,,,,
LIVALO,adverse reactions,confusion),confusion,0.9330189228,0,0,1,0,1,1,0,0,0,1
LIVALO,adverse reactions,immune-mediated necrotizing myopathy,immune-mediated necrotizing myopathy,1.000000119,0,0,1,0,,,,,,
LIVALO,warnings and precautions,myopathy,myopathy,1,0,0,1,1,,,,,,
LIVALO,warnings and precautions,rhabdomyolysis,rhabdomyolysis,1,0,0,1,1,,,,,,
LIVALO,warnings and precautions,acute renal failure secondary to myoglobinuria,rhabdomyolysis with acute renal failure,0.8666380644,0,0,0,0,1,1,0,0,0,1
LIVALO,warnings and precautions,liver enzyme abnormalities,elevations in hepatic transaminases,0.7675548792,0,0,1,0,1,1,0,0,0,1
LIVALO,warnings and precautions,persistent elevations in hepatic transaminases,elevations in hepatic transaminases,0.9329316616,0,0,1,0,1,1,0,0,0,1
LIVALO,warnings and precautions,immune-mediated necrotizing myopathy (imnm),immune-mediated necrotizing myopathy,0.9213311672,0,0,1,0,1,1,0,0,0,1
LIVALO,warnings and precautions,proximal muscle weakness,rhabdomyolysis,0.6826006174,0,0,1,1,0,0,1,0,0,0
LIVALO,warnings and precautions,elevated serum creatine kinase,increases in serum glutamic-pyruvic transaminase,0.7453087568,1,0,0,0,0,0,1,0,0,0
LIVALO,warnings and precautions,muscle biopsy showing necrotizing myopathy without significant inflammation,immune-mediated necrotizing myopathy,0.7816056013,0,0,1,0,1,1,0,0,0,1
LIVALO,warnings and precautions,markedly elevated creatine kinase (ck) levels,increases in serum glucose levels,0.6852326393,1,0,0,0,0,0,1,0,0,0
LIVALO,warnings and precautions,unexplained muscle pain,skeletal muscle effects,0.6003590822,0,0,0,0,1,1,0,0,0,1
LIVALO,warnings and precautions,tenderness,myopathy,0.6101227999,0,0,1,1,0,0,1,0,0,0
LIVALO,warnings and precautions,weakness,myopathy,0.6507439613,0,0,1,1,1,0,0,0,1,0
LIVALO,warnings and precautions,malaise,fatal,0.5898020267,0,0,0,0,0,0,1,0,0,0
LIVALO,warnings and precautions,fever,fatal,0.628057003,0,0,0,0,0,0,1,0,0,0
LIVALO,warnings and precautions,increases in serum transaminases (aspartate aminotransferase [ast]/serum glutamic-oxaloacetic transaminase,increases in serum glutamic-oxaloacetic transaminase,0.9458885193,1,0,0,0,1,1,0,0,0,1
LIVALO,warnings and precautions,alanine aminotransferase [alt]/serum glutamic-pyruvic transaminase),increases in serum alanine aminotransferase,0.8142639995,1,0,0,0,1,1,0,0,0,1
LIVALO,warnings and precautions,fatal and non-fatal hepatic failure,hepatic failure,0.8505228758,0,0,0,1,1,1,0,0,0,1
LIVALO,warnings and precautions,serious liver injury with clinical symptoms and/or hyperbilirubinemia or jaundice,elevations in hepatic transaminases,0.6899750233,0,0,1,0,0,0,1,0,0,0
LIVALO,warnings and precautions,increases in hba1c,increases in hba1c,1,0,0,0,0,,,,,,
LIVALO,warnings and precautions,fasting serum glucose levels,increases in serum glucose levels,0.8481756449,1,0,0,0,1,1,0,0,0,1
XENAZINE,adverse reactions,depression and suicidality,suicidality,0.8436019421,0,0,0,0,1,1,0,0,0,1
XENAZINE,adverse reactions,akathisia,akathisia,0.9999999404,0,0,0,1,,,,,,
XENAZINE,adverse reactions,restlessness,restlessness,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,agitation,agitation,0.9999999404,0,0,0,1,,,,,,
XENAZINE,adverse reactions,parkinsonism,parkinsonism,0.9999999404,0,0,0,1,,,,,,
XENAZINE,adverse reactions,dysphagia,dysphagia,0.9999998808,0,0,0,1,,,,,,
XENAZINE,adverse reactions,sedation and somnolence,somnolence,0.8204059601,0,0,0,1,1,1,0,0,0,1
XENAZINE,adverse reactions,sedation/somnolence,sedation,0.8103119731,0,0,0,1,1,1,0,0,0,1
XENAZINE,adverse reactions,fatigue,fatigue,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,insomnia,insomnia,0.9999998212,0,0,0,1,,,,,,
XENAZINE,adverse reactions,depression,depression,0.9999998808,0,0,0,1,,,,,,
XENAZINE,adverse reactions,anxiety,anxiety,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,nausea,nausea,0.9999998808,0,0,0,1,,,,,,
XENAZINE,adverse reactions,anxiety/anxiety aggravated,anxiety aggravated,0.9566324353,0,0,0,1,1,1,0,0,0,1
XENAZINE,adverse reactions,irritability,irritability,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,decreased appetite,decreased appetite,1.000000238,0,0,0,1,,,,,,
XENAZINE,adverse reactions,obsessive reaction,obsessive reaction,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,balance difficulty,balance difficulty,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,parkinsonism/bradykinesia,bradykinesia,0.8541289568,0,0,0,1,1,1,0,0,0,1
XENAZINE,adverse reactions,dizziness,dizziness,0.9999998808,0,0,0,1,,,,,,
XENAZINE,adverse reactions,dysarthria,dysarthria,1.000000238,0,0,0,1,,,,,,
XENAZINE,adverse reactions,unsteady gait,unsteady gait,0.9999999404,0,0,0,1,,,,,,
XENAZINE,adverse reactions,headache,headache,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,vomiting,vomiting,1.000000119,0,0,0,1,,,,,,
XENAZINE,adverse reactions,fall,fall,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,laceration (head),laceration head,0.9480627775,1,0,0,0,1,1,0,0,0,1
XENAZINE,adverse reactions,ecchymosis,ecchymosis,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,upper respiratory tract infection,upper respiratory tract infection,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,shortness of breath,shortness of breath,0.9999998808,0,0,0,1,,,,,,
XENAZINE,adverse reactions,bronchitis,bronchitis,1,0,0,0,1,,,,,,
XENAZINE,adverse reactions,dysuria,dysuria,0.9999998808,0,0,0,1,,,,,,
XENAZINE,adverse reactions,tremor,tremor,0.9999999404,0,0,0,1,,,,,,
XENAZINE,adverse reactions,confusion,confusion,0.9999998808,0,0,0,1,,,,,,
XENAZINE,adverse reactions,worsening aggression,worsening aggression,1,0,0,0,0,,,,,,
XENAZINE,adverse reactions,pneumonia,pneumonia,0.9999997616,0,0,0,1,,,,,,
XENAZINE,adverse reactions,hyperhidrosis,hyperhidrosis,1.000000119,0,0,0,1,,,,,,
XENAZINE,adverse reactions,skin rash,skin rash,1,0,0,0,1,,,,,,
XENAZINE,boxed warnings,depression,depression,0.9999998808,0,0,1,1,,,,,,
XENAZINE,boxed warnings,suicidal thoughts and behavior (suicidality),suicidal behavior,0.8842196465,1,0,1,1,1,1,0,0,0,1
XENAZINE,boxed warnings,worsening of depression,depression,0.7651052475,0,0,1,1,1,1,0,0,0,1
XENAZINE,boxed warnings,unusual changes in behavior,suicidal behavior,0.6289082766,1,0,1,1,0,0,1,0,0,0
XENAZINE,boxed warnings,prior suicide attempts or ideation,suicidal thoughts,0.766720295,0,0,1,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,worsening mood,worsening in mood,0.9861795902,0,0,0,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,cognition,worsening in cognition,0.7248888612,1,0,0,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,rigidity,rigidity,1,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,functional capacity,worsening in functional capacity,0.7821525335,1,0,0,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,strong cyp2d6 inhibitor,elevated creatinine phosphokinase,0.5999965668,0,0,1,0,0,0,1,0,0,0
XENAZINE,warnings and precautions,neuroleptic malignant syndrome (nms),neuroleptic malignant syndrome,0.9064238667,0,0,0,1,1,1,0,0,0,1
XENAZINE,warnings and precautions,restlessness,restlessness,1,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,agitation,agitation,0.9999999404,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,akathisia,akathisia,0.9999999404,0,1,1,1,,,,,,
XENAZINE,warnings and precautions,parkinsonism,parkinsonism,0.9999999404,0,0,1,1,,,,,,
XENAZINE,warnings and precautions,dysphagia,dysphagia,0.9999998808,0,0,1,1,,,,,,
XENAZINE,warnings and precautions,aspiration pneumonia,aspiration pneumonia,1,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,sedation/somnolence,sedation,0.8103119731,0,0,0,1,1,1,0,0,0,1
XENAZINE,warnings and precautions,qtc prolongation,qtc prolongation,0.9999998212,0,0,0,0,,,,,,
XENAZINE,warnings and precautions,extrapyramidal disorders,extrapyramidal symptoms,0.86445117,0,0,1,1,1,1,0,0,0,1
XENAZINE,warnings and precautions,depression,depression,0.9999998808,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,cognitive decline,worsening in cognition,0.8202190399,1,0,0,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,disability,depression,0.6899775863,0,0,0,1,0,0,1,0,0,0
XENAZINE,warnings and precautions,suicidal ideation,suicidal ideation,1,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,behaviors (suicidality),suicidality,0.8090060949,0,0,1,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,depression or worsening depression,worsening depression,0.9164378047,0,0,0,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,suicide,suicide,1.000000119,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,attempted suicide,attempted suicide,0.9999999404,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,hyperpyrexia,hyperpyrexia,1,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,muscle rigidity,muscle rigidity,0.9999998808,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,altered mental status,altered mental status,1,0,0,0,0,,,,,,
XENAZINE,warnings and precautions,autonomic instability,autonomic instability,1,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,irregular pulse,irregular pulse,1.000000238,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,blood pressure,irregular blood pressure,0.7232971191,1,0,0,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,tachycardia,tachycardia,1.000000119,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,diaphoresis,diaphoresis,0.9999999404,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,cardiac dysrhythmia,cardiac dysrhythmia,0.9999998808,0,0,0,0,,,,,,
XENAZINE,warnings and precautions,elevated creatinine phosphokinase,elevated creatinine phosphokinase,1,0,0,1,0,,,,,,
XENAZINE,warnings and precautions,myoglobinuria,myoglobinuria,0.9999998808,0,0,1,1,,,,,,
XENAZINE,warnings and precautions,rhabdomyolysis,rhabdomyolysis,1,0,0,1,1,,,,,,
XENAZINE,warnings and precautions,acute renal failure,acute renal failure,1.000000119,0,0,1,1,,,,,,
XENAZINE,warnings and precautions,bradykinesia,bradykinesia,1,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,hypertonia,hypertonia,1,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,esophageal dysmotility,esophageal dysmotility,1,0,0,1,0,,,,,,
XENAZINE,warnings and precautions,postural dizziness,postural dizziness,1.000000119,0,0,0,0,,,,,,
XENAZINE,warnings and precautions,syncope,syncope,0.9999998808,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,orthostasis,orthostasis,0.9999998212,0,0,0,0,,,,,,
XENAZINE,warnings and precautions,dizziness,dizziness,0.9999998808,0,0,0,1,,,,,,
XENAZINE,warnings and precautions,hypotension,syncope,0.7655465603,0,0,0,1,0,0,1,0,0,0
XENAZINE,warnings and precautions,orthostatic hypotension,orthostasis,0.8503316641,0,0,0,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,hyperprolactinemia,plasma prolactin levels increased,0.7782777548,0,0,0,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,amenorrhea,tachycardia,0.6468218565,0,0,0,1,0,0,1,0,0,0
XENAZINE,warnings and precautions,galactorrhea,elevates serum prolactin concentrations,0.599295795,0,0,0,0,0,1,0,1,0,0
XENAZINE,warnings and precautions,gynecomastia,esophageal dysmotility,0.5874106884,0,0,1,0,0,0,1,0,0,0
XENAZINE,warnings and precautions,impotence,tachycardia,0.6767465472,0,0,0,1,0,0,1,0,0,0
XENAZINE,warnings and precautions,low levels of estrogen,plasma prolactin levels increased,0.6479103565,0,0,0,0,0,0,1,0,0,0
XENAZINE,warnings and precautions,increased risk of osteoporosis,plasma prolactin levels increased,0.7151821256,0,0,0,0,0,1,0,1,0,0
XENAZINE,warnings and precautions,tardive dyskinesia (td),tardive dyskinesia,0.8844944239,0,1,0,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,involuntary,involuntary movements,0.8422248363,1,0,0,0,0,1,0,1,0,0
XENAZINE,warnings and precautions,dyskinetic movements,dyskinetic movements,1,0,0,0,0,,,,,,
XENAZINE,warnings and precautions,vacuous chewing,vacuous chewing,0.9999998808,0,0,1,0,,,,,,
XENAZINE,warnings and precautions,extrapyramidal symptoms,extrapyramidal symptoms,1,0,0,1,1,,,,,,
XENAZINE,warnings and precautions,binding to melanin-containing tissues,muscle rigidity,0.6107285023,0,0,0,1,0,0,1,0,0,0
XENAZINE,warnings and precautions,toxicity in melanin-containing tissues,toxicity,0.6902911663,0,0,1,0,1,1,0,0,0,1
XENAZINE,warnings and precautions,long-term ophthalmologic effects,ophthalmologic injury,0.6764597893,1,0,1,0,1,1,0,0,0,1
LINZESS,adverse reactions,diarrhea,diarrhea,0.9999999404,0,1,0,1,,,,,,
LINZESS,adverse reactions,abdominal pain,abdominal pain,0.9999998808,0,1,0,1,,,,,,
LINZESS,adverse reactions,flatulence,flatulence,0.9999998212,0,0,0,1,,,,,,
LINZESS,adverse reactions,abdominal distension,abdominal distension,1,0,0,0,1,,,,,,
LINZESS,adverse reactions,viral gastroenteritis,viral gastroenteritis,0.9999999404,0,0,0,1,,,,,,
LINZESS,adverse reactions,headache,headache,1,0,0,0,1,,,,,,
LINZESS,adverse reactions,fecal incontinence,fecal incontinence,1.000000119,0,0,0,1,,,,,,
LINZESS,adverse reactions,dehydration,dehydration,1.000000238,0,0,0,1,,,,,,
LINZESS,adverse reactions,gastroesophageal reflux disease,gastroesophageal reflux disease,1,0,0,0,1,,,,,,
LINZESS,adverse reactions,vomiting,vomiting,1.000000119,0,0,0,1,,,,,,
LINZESS,adverse reactions,fatigue,fatigue,1,0,0,0,1,,,,,,
LINZESS,adverse reactions,upper respiratory tract infection,upper respiratory tract infection,1,0,0,0,1,,,,,,
LINZESS,adverse reactions,sinusitis,sinusitis,0.9999997616,0,0,0,1,,,,,,
LINZESS,adverse reactions,dyspepsia,dyspepsia,1,0,0,0,1,,,,,,
LINZESS,adverse reactions,rectal hemorrhage,rectal hemorrhage,0.9999998808,0,0,0,1,,,,,,
LINZESS,adverse reactions,hematochezia,hematochezia,1.000000238,0,0,0,1,,,,,,
LINZESS,adverse reactions,melena,melena,1,0,1,0,1,,,,,,
LINZESS,adverse reactions,allergic reactions,allergic reactions,1,0,0,0,0,,,,,,
LINZESS,adverse reactions,urticaria,urticaria,1,0,0,0,1,,,,,,
LINZESS,adverse reactions,hives,hives,0.9999998808,0,0,0,1,,,,,,
LINZESS,boxed warnings,deaths due to dehydration in young juvenile mice,dehydration,0.6511250734,0,0,1,1,1,1,0,0,0,1
LINZESS,warnings and precautions,severe diarrhea,diarrhea,0.7581444979,0,0,1,1,1,1,0,0,0,1
LINZESS,warnings and precautions,mortality within the first 24 hours due to dehydration,dehydration,0.7054272294,0,0,1,1,1,1,0,0,0,1
LINZESS,warnings and precautions,significant diarrhea,diarrhea,0.7544803619,0,0,1,1,1,1,0,0,0,1
LINZESS,warnings and precautions,its potentially serious consequences,mortality,0.5540734529,0,0,1,0,0,0,1,0,0,0
OPSUMIT,adverse reactions,embryo-fetal toxicity,embryo-fetal toxicity,1.000000119,0,0,0,0,,,,,,
OPSUMIT,adverse reactions,hepatotoxicity,hepatotoxicity,0.9999998808,0,0,0,1,,,,,,
OPSUMIT,adverse reactions,decrease in hemoglobin,decrease in hemoglobin,0.9999998808,0,0,0,0,,,,,,
OPSUMIT,adverse reactions,anemia,anemia,1.000000238,0,0,0,1,,,,,,
OPSUMIT,adverse reactions,nasopharyngitis/pharyngitis,nasopharyngitis,0.8136109114,0,0,0,1,1,1,0,0,0,1
